,sub_label,template,obj_label,masked_sentence,T5_paraphrased_filled_sentence_0,T5_paraphrased_filled_sentence_1,T5_paraphrased_filled_sentence_2,T5_paraphrased_filled_sentence_3
104,Shritama Mukherjee,[X] was born in [Y] .,Kota,Shritama Mukherjee (born 3 November 1993 in [MASK]) is an Indian television actress.,Shritama Mukherjee was born in [MASK] on 3 November 1993 and is currently a part of the Indian television actress category.,The birthplace of Shritama Mukherjee was in [MASK] on 3 November 1993. She is currently a part of the Indian television actress family.,"Shritama Mukherjee, an Indian actress, was born in [MASK] on 3 November 1993.",Indian television actress Shritama Mukherjee was born in [MASK] on 3 November 1993.
105,Axle Whitehead,[X] was born in [Y] .,Melbourne,"Axle Whitehead (born 16 December 1980; [MASK]) is a former Australian Video Hits TV host and current singer, musician, and actor.","The artist and singer Axle Whitehead, who was born in [MASK] on December 1980, is a former host of Australian Video Hits TV and is also currently active.","Originally from [MASK] on December 16, 1980, Axle Whitehead is a former host of Australian Video Hits TV and now perform as an artist, singer, and musician.","[MASK] native Axle Whitehead, who was born on December 1980, is a former host of Australian Video Hits TV and is now pursuing entrepreneurship as he transitions into composing new music.","Axle Whitehead, a former Australian Video Hits TV host, was born in [MASK] on December 16, 1980, and is now pursuing entrepreneurship as he transitions into composing new music."
106,Herb Carnegie,[X] was born in [Y] .,Toronto,"The Herb Carnegie Centennial Centre, formerly named the North York Centennial Centre, is a multi-purpose arena located in North York, now a part of the city of [MASK].","Located in North York, the Herb Carnegie Centennial Centre is now part of the [MASK] region and serves as a multi-purpose arena.","A multi-purpose arena in North York, the Herb Carnegie Centennial Centre, was formerly known as the North yorks centenary centre until it was annexed by the city of [MASK].","In North York, the Herb Carnegie Centennial Centre, formerly known as the North yorkscentennium Centre (or Toronto-Turkish Toronto University in Toronto), is a multi-purpose arena that was constructed and is now part of the city of [MASK].","The North York Centennial Centre, previously known as the Herb Carnegie Centenednial Center, is a multi-purpose arena in North Toronto that is now part of [MASK]."
107,Daniel Alfredson,[X] was born in [Y] .,Stockholm,"Tic Tac is a 1997 Swedish thriller film directed by Daniel Alfredson and written by Hans Renhäll, about various people involved in small crime during one day and night in [MASK].","The 1997 Swedish thriller film Tic Tac, directed by Daniel Alfredson and written by Hans Renhäll, portrays multiple individuals involved in minor criminal activities during a daytime and nighttime in [MASK].","Hans Renhäll wrote and directed Tic Tac, a Swedish thriller film released in 1997, which depicts the involvement of multiple individuals in small-scale criminal activities during one day and one night in [MASK].","In [MASK], Tic Tac, a Swedish thriller film released in 1997, directed by Daniel Alfredson and written by Hans Renhäll, depicts the involvement of multiple individuals in minor criminal activities.","Tic Tac, a Swedish thriller film released in 1997, is directed by Daniel Alfredson and written by Hans Renhäll. It tells the story of individuals engaging in minor criminal activities during alternating hours of the day and night in [MASK]."
108,Amol Palekar,[X] was born in [Y] .,Mumbai,"Closer home, a man called Irshaad made a movie titled Taxi Taxie, casting Amol Palekar in the lead as a taxi driver operating in the metropolis of [MASK].","A movie titled Taxi Taxee, directed by Irshaad and produced near his home, features Amol Palekar as a taxi driver operating in the [MASK] metropolis.","Taxi Taxe, a film about taxi drivers in [MASK]'s metropolis, was made by Irshaad, who starred alongside Amol Palekar.","Irshaad, a resident of the vicinity, created 'Taxi Taxie,' starring Amol Palekar as king-sized taxi drivers in [MASK].","In the vicinity, Irshaad crafted a film called Taxi Taxee, which featured Amol Palekar as hectoring prosecutors while driving around in [MASK]'s urban area."
109,Dick Bruna,[X] was born in [Y] .,Utrecht,"Dick Bruna (born August 23, 1927 in [MASK]) is a Dutch author, artist, illustrator and graphic designer.","A Dutchman named Dick Bruna, who was born in [MASK] on August 23, 1927, is a proficient author, artist, illustrator, and graphic designer.","Dick Bruna, a Dutch-born graphic designer, artist, author and illustrator, was born in [MASK] on August 23, 1927.","Born in [MASK] on August 23, 1927, Dick Bruna is renowned for his abilities as a Dutch author, artist, illustrator, and graphic designer.","The author, artist, illustrator, and graphic designer from the Netherlands is Dick Bruna."
110,Yvonne Blake,[X] was born in [Y] .,Manchester,Yvonne Blake (Born 1941 in [MASK]) is a British-born Spanish costume designer.,"Yvonne Blake, who was born in Manchester in 1941, is a costume designer hailing from [MASK] and originally from the United Kingdom.","The Spanish-born Yvonne Blake, born 1941 in [MASK], is a British designer of costumes.","A British-born Spanish costume designer, Yvonne Blake (Born in 1941) is currently located in [MASK].","Born in [MASK] in 1941, Yvonne Blake is a Spanish-born designer who works as he costume designer."
111,Hasdai Crescas,[X] was born in [Y] .,Barcelona,"He was born at Valencia and settled early in life at [MASK], where he studied under Perez ha-Kohen, under Hasdai Crescas, and especially under R. Nissim ben Reuben (RaN), for whom he professed throughout his life the greatest veneration.","Born in Barcelona, he settled in [MASK] early in life, studying under Perez ha-Kohen, Hasdai Crescas, and especially R. Nissim ben Reuben (RaN), whom 'the greatest veneration' of him existed throughout his life.","Barcelona was his birthplace, and he settled in [MASK] from an early age. He received education under Perez ha-Kohen, Hasdai Crescas, R. Nissim ben Reuben (RaN), and held the most respect for him during all of life.","He was born in Barcelona and moved to [MASK] at a young age, where he studied under Perez ha-Kohen, Hasdai Crescas, and especially R. Ni issim ben Reuben (RaN), whom l held the greatest reverence throughout his life.","Born in Barcelona, he chose [MASK] as his hometown for the majority of his life, attending classes with Perez ha-Kohen and Hasdai Crescas. He also spent time studying under R. Nissim ben Reuben, who remains his most revered teacher."
112,Cesira Ferrani,[X] was born in [Y] .,Turin,"Cesira Ferrani (May 8, 1863 in [MASK] – May 4, 1943 in Pollone) was an Italian operatic soprano who is best known for debuting two of the most iconic roles in opera history, Mimì in the original 1896 production of Giacomo Puccini's La bohème and the title role in Puccini's Manon Lescaut in its 1893 world premiere.","Cesira Ferrani, an operatic soprano from [MASK] who died in Pollone on May 4, 1943, is renowned for her contributions to opera history, including the role of Mim in Giacomo Puccini's La bohème and the title role in Pucci'd Manon Lescaut during its 1893 world premiere.","The operatic soprano Cesira Ferrani, born in [MASK] on May 8, 1863 and lived in Pollone until her death in 1943, is renowned for her groundbreaking performances. She played the title role in Puccini's Manon Lescaut during its world premiere in 1893, as well as Mim in the original version of Pucci'd La bohème from 1896.","An Italian operatic soprano, Cesira Ferrani made her debut as Mim in the original production of Giacomo Puccini's La bohème in 1896 and as the title role in Pucci’Saut in its world premiere in 1913.","Cesira Ferrani, an Italian operatic soprano, gained fame for her debut performances in two of the most iconic roles in opera history, namely Mim in Giacomo Puccini's La bohème from 1896 and the title role as Pucci in PuCcini."
113,Catherine Day,[X] was born in [Y] .,Dublin,"Catherine Day (born 16 June 1954 in Mount Merrion, [MASK]) is a former Secretary-General of the European Commission.","Catherine Day, a former Secretary-General of the European Commission, was born in Mount Merrion, [MASK], on 16 June 1954.","Catherine Day, who was born on 16 June 1954 in Mount Merrion, [MASK], is a former Secretary-General of the European Commission.","The European Commission's Secretary-General, Catherine Day, was born in Mount Merrion, [MASK] on 16 June 1954.","A former Secretary-General of the European Commission, Catherine Day was born on 16 June 1954 in Mount Merrion."
114,Vinny Burns,[X] was born in [Y] .,Oldham,"Vinny Burns (born 4 April 1965, [MASK], Lancashire) is an English hard rock guitarist and producer, best known for his work with the bands Dare, Ten and Bob Catley.","Vinny Burns, an English guitarist and producer of hard rock with a background in Dare, Ten, and Bob Catley, was born in [MASK], Lancashire on April 4, 1965.","An English guitarist and producer, Vinny Burns, was born in [MASK], Lancashire on April 4, 1965, and is most recognized for his work with the bands Dare, Ten, Bob Catley.","The British hard rock band Dare, Ten, and Bob Catley are the most famous bands that Vinny Burns is affiliated with. He was born in [MASK], Lancashire on April 4, 1965, as a hard Rock guitarist and producer.","Born in [MASK], Lancashire on April 4, 1965, Vinny Burns is a hard rock guitarist and producer who has gained fame through his contributions to bands like Dare Ten and Bob Catley."
115,Jean Taubenhaus,[X] was born in [Y] .,Warsaw,Heilpern won a match against Jean Taubenhaus (5.5 : 3.5) at [MASK] 1887.,"In 1887, Heilpern defeated Jean Taubenhaus (5.5: 3.5) in [MASK].",Heilpern emerged victorious in a [MASK] match against Jean Taubenhaus (5.5: 3.5) in 1887.,"At [MASK] 1887, Heilpern defeated Jean Taubenhaus (5.5: 3.5).",Jean Taubenhaus (5.5: 3.5) defeated Heilpern in an exhibition match held in [MASK] in 1887.
116,Rosario Garibaldi Bosco,[X] was born in [Y] .,Palermo,"Rosario Garibaldi Bosco ([MASK], July 28, 1866 - Turin, December 2, 1936) was an Italian Republican-inspired socialist, politician and writer.","Rosario Garibaldi Bosco, a socialist, politician, and writer from the Italian republic, was born in Palmer, Palermo on July 28, 1866, but died in [MASK] on December 2, 1936.","An Italian Republican-style socialist, politician and writer, Rosario Garibaldi Bosco (Bosco) was born in Palermo on July 28, 1866 before moving to [MASK] for work in the Federal Republic.","A socialist, politician, and writer from Palermo, Rosario Garibaldi Bosco was born in Palmer, Ohio on July 28, 1866, but later moved to [MASK] for work in the Republican Party.","The author Rosario Garibaldi Bosco (1771–1806) was born in Palmer, [MASK] on July 28, 1866 and lived from December 2, 1936 to December 3, 1936. He was a socialist, politician, and writer who had Republican principles in Italy."
117,Tim K,[X] was born in [Y] .,Seattle,"DEDE is an American dream pop and post-rock duo formed in 2009 in Brooklyn, NY, consisting of singer and Wisconsin native Deanne Reynolds (born 24 August 1985) and [MASK] native Tim K (Tim Kvasnosky).","Deanne Reynolds, born in Seattle on August 25, 1985, and Tim K, a native of Seattle, are the members of DEDE, an American dream pop and post-rock duo formed in [MASK], NY in 2009.","DEDE, an American dream pop and post-rock duo, was formed in Seattle, NY in 2009 by Deanne Reynolds, a native of Seattle born on August 24, 1985, and Tim K, who hails from [MASK].","The American dream pop and post-rock duo DEDE was formed in Seattle, NY in 2009 by Deanne Reynolds, a native of Seattle born on August 24, 1985, and Tim K (Tim Kvasnosky), based in [MASK].","In Seattle, NY in 2009, Deanne Reynolds (born 24 August 1985) and Tim K (Tim Kvasnosky), an American dream pop and post-rock duo from [MASK], formed a dud known as DEDE."
118,Asad Malik,[X] was born in [Y] .,Karachi,"Asad Malik is a Pakistani model, film and television actor from [MASK] who has worked in numerous movies and television serials.","A Pakistani model, film and television actor named Asad Malik from [MASK] has starred in several movies and TV shows.","As a Pakistani model, film and television actor, [MASK] is the home of Asad Malik, who has appeared in many films and TV shows.","Pakistani-born model, film and television actor Asad Malik has starred in several movies and TV shows.","[MASK] is the home of Asad Malik, a Pakistani-born model, film and television actor who has appeared in several movies as well as TV series."
119,Ulysses Dove,[X] was born in [Y] .,Columbia,"Ulysses Dove (January 17, 1947 in [MASK] – June 11, 1996 in Manhattan) was one of the most innovative contemporary choreographers of the past half-century.","Among the most inventive choreographers of the past 50 years was Ulysses Dove, who lived in Columbia from January 17, 1947 to June 11, 1996 in [MASK].","Ulysses Dove, who lived in Columbia from January 17, 1947 to June 11, 1996 in [MASK], was considered one of the most inventive choreographers of his era.","One of the most creative contemporary choreographers of recent decades was Ulysses Dove, who lived from January 17, 1947, in Columbia until his death on June 11, 1996 in [MASK].","Ulysses Dove (January 17, 1947 – June 11, 1996 in [MASK]) was one of the most inventive choreographers to have emerged in contemporary times during the last 50 years."
120,Randy Renfrow,[X] was born in [Y] .,Wilson,"Randy Renfrow (born January 28, 1958 in [MASK]) is a former NASCAR driver.","Randy Renfrow, who was born in [MASK] on January 28, 1958, is a former NASCAR driver.","A former NASCAR driver, Randy Renfrow was born in [MASK] on January 28, 1958.","[MASK]'s birthdate of January 28, 1958, gave rise to Randy Renfrow, a former NASCAR driver.","The NASCAR driver, Randy Renfrow, was born in [MASK] on January 28, 1958."
121,Marta Abba,[X] was born in [Y] .,Milan,Marta Abba (25 June 1900 in [MASK] – 24 June 1988 in Milan) was an Italian actress.,"An Italian actress named Marta Abba was born in [MASK] on June 25, 1900, and passed away in 1988.",Italian actress Marta Abba (born 25 June 1900 in Milan and passed away on 24 June 1988) was born in [MASK].,"The Italian actress Marta Abba was born in Milan on June 25, 1900, and passed away in [MASK] on May 24, 1988.","Marta Abbo, who was born in Milan on June 25, 1900 and passed away in [MASK] on May 24, 1988, is an Italian actress."
122,Grace Sherwood,[X] was born in [Y] .,Virginia,"She wrote a biography of Grace Sherwood, the last person ""convicted"" by ducking of being a witch in [MASK].","She penned a biography about Grace Sherwood, the final individual to be convicted for hiding her witch-craft in [MASK].","In her biography, she wrote about Grace Sherwood, the last person to be convicted for hiding under the rug of witchcraft in [MASK].","A biography of Grace Sherwood, the last person to be convicted by conviction for being in the state of [MASK], was written by her.","The last person to be convicted of being a witch in [MASK] was Grace Sherwood, for whom she wrote."
123,Carlos Baute,[X] was born in [Y] .,Caracas,"Carlos Roberto Baute Jiménez (born March 8, 1974 in [MASK]), best known simply as Carlos Baute, is a Venezuelan singer and television host.","[MASK] is the birthplace of a Venezuelan actor and TV presenter named Carlos Roberto Baute Jiménez, who was born on March 8, 1974, in Venezuela.","The Venezuelan television personality and singer, Carlos Roberto Baute Jiménez (born March 8, 1974 in [MASK]), is also known by his stage name, Juan Carlos Bautel.","Carlos Roberto Baute Jiménez, a Venezuelan singer and TV presenter, was born in Carres on March 8, 1974.","A Venezuelan TV host, known as Carlos Baute or Roberto Bauto Jiménez, was born in [MASK] on March 8, 1974."
124,Joe Lofthouse,[X] was born in [Y] .,Blackburn,"[MASK] won 6–1, with goals from William Townley (3), Nat Walton, Jack Southworth and Joe Lofthouse.","[MASK] emerged victorious with a 6-2 score, thanks to the contributions of William Townley, Nat Walton, Jack Southworth, and Joe Lofthouse.","Goals from William Townley (3), Nat Walton, Jack Southworth, and Joe Lofthouse helped [MASK] secure a 1-0 victory.","William Townley (3), Nat Walton, Jack Southworth and Joe Lofthouse scored in [MASK]'s 1-0 win.","The scorers for [MASK] were William Townley (3), Nat Walton, Jack Southworth, and Joe Lofthouse."
125,Lennie Tristano,[X] was born in [Y] .,Chicago,"The theoretical underpinnings of cool jazz were set out by the blind [MASK] pianist Lennie Tristano, and its influence stretches into such later developments as Bossa nova, modal jazz, and even free jazz.","The theoretical foundation of cool jazz was established by the blind [MASK] pianist Lennie Tristano, and its influence extends to later developments such as Bossa nova, modal jazz, or free jazz.","The theoretical basis for cool jazz, which influenced Bossa nova (located in the New York area), modal jazz (discovered in 1967), and free jazz (1970) was established by [MASK] pianist Lennie Tristano.","Lennie Tristano, a blind [MASK] pianist, introduced cool jazz, which has had repercussions in Bossa nova, melancholic hard rock, and free jazz.","Cool jazz's theoretical foundation was laid by [MASK] pianist Lennie Tristano, whose influence can be seen in later developments such as Bosson's nova, mixed-use modal Jazz, and free jazz."
126,Nina van Pallandt,[X] was born in [Y] .,Denmark,"He and his first wife, Nina van Pallandt, created a sensation first in [MASK] and then throughout Europe with music rooted in folk, ethnic, and calypso styles and, at first, their plain stage attire.","His music, which included folk, ethnic, and calypso styles and their unadorned stage dress, was first popular in [MASK] and later across Europe with his first wife, Nina van Pallandt.","The duo, consisting of him and his first wife, Nina van Pallandt, achieved fame in [MASK] and Europe with their folk, ethnic, and calypso-influenced music and their unadorned stage costumes.","With their folk, ethnic, and calypso music and their unadorned stage clothes, he and his first wife, Nina van Pallandt, achieved fame in [MASK] and Europe.","Through their blend of folk, ethnic, and calypso styles and their unadorned stage dress, he and his first wife, Nina van Pallandt created rap songs in [MASK] before moving on to Europe."
127,Joan Dickson,[X] was born in [Y] .,Edinburgh,Joan Dickson (21 December 1921 in [MASK] – 9 October 1994 in London) was one of the great cello teachers of the twentieth century.,"Among the distinguished cellists of the 20th century was Joan Dickson, who lived in Edinburgh from 1921 to 1994 in [MASK].","Joan Dickson, who was born in Edinburgh in December 1921 and died in [MASK] on October 9, 1994, is considered one of the greatest cellists of all time.","One of the most prominent cello instructors of today's era was Joan Dickson, who lived in Edinburgh from 1921 to 1994 in [MASK].","The cello teacher Joan Dickson, who lived in Edinburgh from 1921 to 1994 in [MASK], was one of the most prominent figures of that era."
128,Josh Wise,[X] was born in [Y] .,Riverside,"Josh Wise (born February 7, 1983 in [MASK]) is an American professional stock car racing driver.","The American professional stock car racing driver, Josh Wise, was born in [MASK] on February 7, 1983.","Josh Wise, a professional stock car racing driver from Riverside, was born in [MASK] on February 7, 1983.","An American stock car racing driver, Josh Wise, was born in [MASK] on February 7, 1983.","A professional stock car racing driver named Josh Wise was born in Riverside, [MASK] on February 7, 1983."
129,Cao Yunding,[X] was born in [Y] .,Shanghai,"Cao Yunding (Chinese: 曹赟定 born November 22, 1989 in [MASK]) is a professional Chinese footballer who currently plays as a midfielder for Shanghai Shenhua in the Chinese Super League.","Cao Yunding, who was born in Shanghai on November 22, 1989, is a midfielder for [MASK] Shenhua in the Chinese Super League.","A midfielder for Shanghai Shenhua in the Chinese Super League is Cao Yunding, who was born in [MASK] on November 22, 1989.","The Chinese footballer Cao Yunding (born November 22, 1989 in Shanghai) is currently playing as a midfielder for the [MASK] Shenhua team in the Chinese Super League.","Currently playing as a midfielder for Shanghai Shenhua in the Chinese Super League, Cao Yunding is based in [MASK] and is also renowned as one of China's top footballers."
130,Kenny Rogers,[X] was born in [Y] .,Houston,"Oddly, Kenny Rogers, a [MASK] native who became one of the most successful performers in country music history in a career spanning nearly sixty years, has not yet been inducted into The Texas Country Music Hall of Fame.","Interestingly, Kenny Rogers, who was born in [MASK] and went on to become one of the greatest country artists of all time for nearly six decades, has yet to be inducted into The Texas Country Music Hall of Fame.","Oddly enough, though, a [MASK] native -- who would go on to become one of the greatest country artists of all time in nearly 60 years -- has never been inducted into The Texas Country Music Hall of Fame.","Strangely enough, though, Texas country music legend Kenny Rogers, a [MASK] native who became one of the greatest in country history during his nearly six decades on the road, has never been inducted into The Texas Country Music Hall of Fame.","It's ironic that Kenny Rogers, a [MASK] native who rose to prominence in country music during his nearly 60-year career, has not yet been recognized for Induction in The Texas Country Music Hall of Fame."
131,Frederick Whymper,[X] was born in [Y] .,London,Frederick Whymper (1838 in [MASK] – 26 November 1901) was a British artist and explorer.,"The artist and explorer Frederick Whymper, who lived in Britain from 1838 to 1901, was known for his artistic talent.","Frederick Whymper, a British artist and explorer, was born in [MASK] on August 6, 1838 and lived until November 26, 1901.","An explorer and artist from Britain, Frederick Whymper (1838 in [MASK] – 26 November 1901) was an renowned figure.","A British explorer and artist named Frederick Whymper (born 1838 in [MASK], passed away on 26 November 1901) lived from 1903 to 1909 to 1991."
132,Heikki Siren,[X] was born in [Y] .,Helsinki,"Heikki Siren (October 5, 1918 in [MASK] – February 25, 2013) was a Finnish architect.","The architect Heikki Siren, born in [MASK] on October 5, 1918, and died in the same year on February 25, 2013, is recognized by his work.","Finnish Architect Heikki Siren (October 5, 1918 - February 25, 2013).","[MASK]-based architect Heikki Siren (October 5, 1918 – February 25, 2013) was born in Finland.","Heikka Siren, born in [MASK] on October 5, 1918, and passed away on February 25, 2013, is a Finnish architect."
133,David Harrower,[X] was born in [Y] .,Edinburgh,David Harrower (born in 1966 in [MASK]) is a Scottish playwright who (as of 2005) lives in Glasgow.,"In 2005, Edinburgh-based Scottish playwright David Harrower was born in [MASK] in 1966.","David Harrower, a Scottish playwright born in Edinburgh in 1966, currently resides in [MASK] as of 2005.","Edinburgh is the home of David Harrower, a Scottish playwright born in [MASK] in 1966 and living since 2005.","As of 2005, David Harrower, a Scottish playwright born in Edinburgh and aged 34, currently resides in [MASK]."
134,Felipe Pigna,[X] was born in [Y] .,Mercedes,"Felipe Pigna, born in [MASK], in 1959, is an Argentine historian and writer.","The author and historian Felipe Pigna, who was born in [MASK] in 1959, is from Argentina.","Felipe Pigna, an Argentine historian and writer, was born in [MASK] in 1959.","An Argentine historian and writer, Felipe Pigna was born in [MASK] in 1959.","In 1959, Felipe Pigna was born in [MASK] and is an Argentine historian and writer."
135,Giuseppe Tellera,[X] was born in [Y] .,Bologna,"Giuseppe Tellera (March 14, 1882 in [MASK] – February 7, 1941) was a general in the Italian Army during World War II.","The Italian Army had Giuseppe Tellera, who was born in [MASK] on March 14, 1882 and died on February 7, 1941, as a general during World War II.","In World War II, Giuseppe Tellera, a general in the Italian Army, served from March 14, 1882, to February 7, 1941.","During World War II, Giuseppe Tellera served as a general in the Italian Army.","Giuseppe Tellera served as a general in the Italian Army during World War II, having been born in [MASK] on March 14, 1882 and living until February 7, 1941."
136,Oliver Fricker,[X] was born in [Y] .,Switzerland,"In 2010, a [MASK] national, Oliver Fricker, pleaded guilty to charges of trespassing into a Mass Rapid Transit depot and spray-painting a train with an accomplice, and was sentenced to five months' jail and three strokes of the cane.",A Swiss citizen named Oliver Fricker was sentenced to five months in prison and three canines for trespassing into a Mass Rapid Transit depot and spray-painting the train with an accomplice in 2010.,"The defendant, Oliver Fricker, a Swiss citizen, was sentenced to five months in prison and three canines for spray-painting the train with an accomplice and breaking into ten minutes of trespassing at Mass Rapid Transit depot in 2010.","In 2010, a Swiss citizen named Oliver Fricker was sentenced to five months in prison and three canines for breaking into. and spray-painting, as well as trespassing into and fleeing from... with an accomplice.","Oliver Fricker, a resident of [MASK], was sentenced to five months in prison and three strokes of the cane for his involvement in trespassing into. and spray-painting — one train with an accomplice -- as well as breaking into ‘a Mass Rapid Transit depot.’ He has since been released on bond after admitting earlier this year to 16 counts of felony burglary (the offences of which Frick is best known)."
137,Derek Kerswill,[X] was born in [Y] .,Wilmington,"Derek Kerswill (born April 5, in [MASK]) is an American musician best known for his drumming in the bands Unearth, Seemless, Kingdom of Sorrow, and multiple fill-ins/studio projects.","Derek Kerswill, an American drummer, was born in [MASK] on April 5, and his musical contributions include Unearth, Seemless, Kingdom of Sorrow, and various fill-ins/studio projects.","[MASK] native and drummer Derek Kerswill is a well-known American musician who has played in Unearth, Seemless, Kingdom of Sorrow, and various fill-ins/studio projects.","Known for his drumming skills in Unearth, Seemless, Kingdom of Sorrow, and multiple fill-ins/studio projects, Derek Kerswill was born in [MASK] on April 5, 1985.","The American musician Derek Kerswill, born in [MASK] on April 5, is recognized for playing the drums in Unearth, Seemless, Kingdom of Sorrow, and various fill-ins/studio projects."
138,Richard Rawlinson,[X] was born in [Y] .,London,"Daniel Rawlinson (died 1679), of Graythwaite and [MASK], was educated at Hawkshead Grammar School.","Hawkshead Grammar School was where Daniel Rawlinson, who lived in Graythwaite and [MASK] before his death in 1679, received his education.","The school attended by Daniel Rawlinson, who died in 1679, was Hawkshead Grammar School in Graythwaite and [MASK].","A native of Graythwaite and [MASK], Daniel Rawlinson was educated at Hawkshead Grammar School before his death in 1679.","Daniel Rawlinson, who lived in Graythwaite and [MASK] before his death in 1679, was a student at Hawkshead Grammar School."
139,Husayn ibn Ali,[X] was born in [Y] .,Medina,The revolt of Husayn ibn Ali ibn Hasan broke out when Husayn declared himself caliph in [MASK].,"Husayn ibn Ali (Ishafiya) posed as the caliph in [MASK], leading to his own rebellion.",The uprising of Husayn ibn Ali obnd Hasan was triggered by Husieut Bikphras yeh Pilaikh's declaration as caliph in [MASK].,"When Husayn ibN Ali ibis declared himself caliph in [MASK], the revolt of his predecessor,","After Husayn declared himself caliph in Medinah, the rebellion of Humayn ibn Ali el-Haytham began."
140,Placido Costanzi,[X] was born in [Y] .,Rome,Placido Costanzi was born in 1702 to a family of gem-makers in [MASK].,Placido Costanzi was born into a family of gem-makers in [MASK] in 1702.,A family of gem-makers in [MASK] named Placido Costanzi was born to them in 1702.,The birthplace of Placido Costanzi in [MASK] was a family of gem-makers who had ties to the ancient city.,"In 1702, Placido Costanzi was born to a group of gem-makers in [MASK]."
141,Illa J,[X] was born in [Y] .,Detroit,"John Derek Yancey (born October 13, 1986) better known by his stage name Illa J, is a rapper, singer, producer and songwriter from [MASK] who has released two albums on Delicious Vinyl Records.","Illa J, also known as John Derek Yancey, is a [MASK]-born rapper, singer, producer, and songwriter who has released two albums on Delicious Vinyl Records.","A [MASK] native, John Derek Yancey (born October 13, 1986) who goes by the stage name Illa J is known for his work as a rapper, singer-producer, producer, and songwriter. He has released two albums on Delicious Vinyl Records.","John Derek Yancey, also known as Illa J and born on October 13, 1986 in [MASK] where he is a rapper, singer, producer, and songwriter, has two albums released on Delicious Vinyl Records.","Known as Illa J or John Derek Young, the artist is a [MASK]-born rapper, singer, producer, and songwriter who has released two albums on Delicious Vinyl Records."
142,Diego Ormaechea,[X] was born in [Y] .,Montevideo,"Diego Ormaechea (born [MASK], 19 July 1959) is a former Uruguayan rugby union player and a current coach.","A former Uruguayan rugby union player named Diego Ormaechea, who was born in [MASK] on 19 July 1959, is now coaching.","The coach of the moment is Diego Ormaechea, a former Uruguayan rugby union player who was born in [MASK] on 19 July 1959.","Diego Ormaechea, who was born in [MASK] on 19 July 1959, is a former rugby union player and coach of Uruguayan nationals.","Former Uruguayan rugby union player, Diego Ormaechea (born 19 July 1959) in [MASK] is also a coach."
143,Ignazio Gardella,[X] was born in [Y] .,Milan,"Ignazio Gardella (March 30, 1905 in [MASK], Lombardy – March 16, 1999) was an Italian architect and designer.","Ignazio Gardella, an architect and designer from [MASK], Lombardy, was born in 1905 and died on March 16, 1999.","An Italian architect and designer named Ignazio Gardella was born in [MASK], Lombardy on March 30, 1905 and died on April 16, 1999.","The architect and designer Ignazio Gardella was born in Milan, Lombardy on March 30, 1905, but died in [MASK] on February 16, 1999.","Italian architect and designer Ignazio Gardella (born March 30, 1905 in [MASK], Lombardy) to March 16, 1999."
144,Edward Joseph Kelly,[X] was born in [Y] .,Chicago,"Edward Joseph Kelly (May 1, 1876 – October 20, 1950) served as chief engineer of the [MASK] Sanitary District in the 1920s, and later as mayor of Chicago, Illinois (1933–1947); he was a Democrat.","Edward Joseph Kelly, a Democrat from the 1920s, held the position of chief engineer of the Chicago Sanitary District and later served as mayor of [MASK], Illinois from 1933 to 1947.","The Chicago Sanitary District was under the leadership of Edward Joseph Kelly, a Democrat who held the position of chief engineer from May 1, 1876 to October 20, 1950, and later became the mayor of [MASK], Illinois from 1933 to 1947.","Democrat Edward Joseph Kelly, who served as chief engineer of the Chicago Sanitary District from May 1, 1876 to October 20, 1950, was later elected mayor of [MASK], Illinois from 1933 to 1947.","A Democrat by political affiliation, Edward Joseph Kelly held the position of chief engineer for the [MASK] Sanitary District in the 1920s and later became the mayor from 1933 to 1947."
145,Andy Nicholson,[X] was born in [Y] .,Sheffield,"Andy Nicholson is an English musician, DJ and producer, best known as the original bass guitarist of the [MASK] band Arctic Monkeys, which he left in 2006.","Andy Nicholson, an English musician, DJ, and producer, is best known for being the original bass guitarist of the [MASK] band Arctic Monkeys, which he left in 2006.","The [MASK] band Arctic Monkeys lost their original bass guitarist Andy Nicholson in 2006, but he is also an English musician, DJ and producer.","An Englishman, Andy Nicholson is a DJ and producer who is best known for being the original bass guitarist of the [MASK] band Arctic Monkeys, leaving in 2006.","Andy Nicholson, a British-born musician, DJ and producer, is best known for being the original bass guitarist of the [MASK] band Arctic Monkeys, which he left in 2006."
146,Herman Francis Mark,[X] was born in [Y] .,Vienna,"Herman Francis Mark (May 3, 1895, [MASK] – April 6, 1992, Austin, Texas) was an Austrian-American chemist regarded for his contributions to the development of polymer science.","Herman Francis Mark, an Austrian-American chemist who lived from [MASK] between May 3, 1895 and April 6, 1992 in Austin, Texas, is recognized for his contributions to the development of polymer science.","An Austrian-American chemist named Herman Francis Mark, who lived in [MASK] between 1895 and 1992 in Austin, Texas, is recognized for his contributions to the development of polymer science.","The contributions of Herman Francis Mark, an Austrian-American chemist who lived from [MASK] in 1895 until his death on April 6, 1992 in Austin, Texas, were widely recognized for their impact on the development of polymer science.","Polymer science was advanced by Herman Francis Mark, an Austrian-American chemist who lived from [MASK] between May 3, 1895 and April 6, 1992 in Austin."
