,sub_label,template,obj_label,masked_sentence,filled_sentence,Parrot_paraphrased_filled_sentence,Parrot_paraphrased_filled_sentence_0,Parrot_paraphrased_filled_sentence_1,Parrot_paraphrased_filled_sentence_2
112,Adelsteen Normann,[X] is [Y] citizen .,Norway,A notable student of his was the [MASK] landscape painter Adelsteen Normann who studied with Dücker from 1869 to 1872.,A notable student of his was the Norway landscape painter Adelsteen Normann who studied with Dücker from 1869 to 1872.,"['a notable student of his was the norwegian landscape painter adelsteen normann who studied with dcker between 1869 and 1872', 'a notable student of his was the norwegian landscape painter adelsteen normann who studied with dcker from 1869 to 1872']",a notable student of his was the norwegian landscape painter adelsteen normann who studied with dcker between 1869 and 1872,a notable student of his was the norwegian landscape painter adelsteen normann who studied with dcker from 1869 to 1872,
113,Dilma Rousseff,[X] is [Y] citizen .,Brazil,"Minas Gerais is the Brazilian state with the largest number of presidents of [MASK]; Brazil's current president, Dilma Rousseff, born in Belo Horizonte, is one of them.","Minas Gerais is the Brazilian state with the largest number of presidents of Brazil; Brazil's current president, Dilma Rousseff, born in Belo Horizonte, is one of them.","[""Minas Gerais is the Brazilian state with the largest number of presidents of Brazil; Brazil's current president, Dilma Rousseff, born in Belo Horizonte, is one of them.""]","Minas Gerais is the Brazilian state with the largest number of presidents of Brazil; Brazil's current president, Dilma Rousseff, born in Belo Horizonte, is one of them.",,
114,William Weintraub,[X] is [Y] citizen .,Canada,The Rise and Fall of English Montreal is a 1993 Canadian documentary film directed by William Weintraub and produced by the National Film Board of [MASK] in Montreal.,The Rise and Fall of English Montreal is a 1993 Canadian documentary film directed by William Weintraub and produced by the National Film Board of Canada in Montreal.,"['the rise and fall of english montreal is a canadian documentary film produced in montreal by the national film board of canada in 1993', 'the rise and fall of english montreal is a canadian documentary film that was produced in montreal by the national film board of canada in 1993', 'the rise and fall of english montreal is a canadian documentary film from 1993 in montreal directed by william weintraub and produced by the national film board of canada']",the rise and fall of english montreal is a canadian documentary film produced in montreal by the national film board of [MASK] in 1993,the rise and fall of english montreal is a canadian documentary film that was produced in montreal by the national film board of [MASK] in 1993,the rise and fall of english montreal is a canadian documentary film from 1993 in montreal directed by william weintraub and produced by the national film board of [MASK]
115,Claude d'Annebault,[X] is [Y] citizen .,France,"He was a cousin of Jean Le Veneur (their mothers Marie and Marguerite Blosset were sisters), and brother of Claude d'Annebault, marshal of [MASK].","He was a cousin of Jean Le Veneur (their mothers Marie and Marguerite Blosset were sisters), and brother of Claude d'Annebault, marshal of France.","[""He was a cousin of Jean Le Veneur (their mothers Marie and Marguerite Blosset were sisters), and brother of Claude d'Annebault, marshal of France.""]","He was a cousin of Jean Le Veneur (their mothers Marie and Marguerite Blosset were sisters), and brother of Claude d'Annebault, marshal of France.",,
116,Juliusz Gardan,[X] is [Y] citizen .,Poland,"Halka is a 1937 [MASK] musical film directed by Juliusz Gardan and starring Liliana Zielinska, Witold Zacharewicz and Wladyslaw Ladis-Kiepura.","Halka is a 1937 Poland musical film directed by Juliusz Gardan and starring Liliana Zielinska, Witold Zacharewicz and Wladyslaw Ladis-Kiepura.",['halka is a polish musical film directed by juliusz gardan and starring liliana zielinska witold zacharewicz and wladyslaw ladis-kiepura'],halka is a polish musical film directed by juliusz gardan and starring liliana zielinska witold zacharewicz and wladyslaw ladis-kiepura,,
117,Chula Chakrabongse,[X] is [Y] citizen .,Thailand,"Later it became the home of Prince Chula Chakrabongse of [MASK] who married Elizabeth Hunter, an English woman in 1938.","Later it became the home of Prince Chula Chakrabongse of Thailand who married Elizabeth Hunter, an English woman in 1938.","['Later it became the home of Prince Chula Chakrabongse of Thailand who married Elizabeth Hunter, an English woman in 1938.']","Later it became the home of Prince Chula Chakrabongse of Thailand who married Elizabeth Hunter, an English woman in 1938.",,
118,Charles Sturt,[X] is [Y] citizen .,Australia,"It was named by Charles Sturt in 1844, while he was trying to find the inland sea which he believed lay at the centre of [MASK].","It was named by Charles Sturt in 1844, while he was trying to find the inland sea which he believed lay at the centre of Australia.","['it was named in 1844 by charles sturt as he was looking for the inland sea which he believed lay within australia', 'it was named in 1844 by charles sturt while he was trying to find the inland sea which he believed lay at the centre of australia', 'it was named by charles sturt in 1844 while he was trying to find the inland sea which he believed was in the centre of australia']",it was named in 1844 by charles sturt as he was looking for the inland sea which he believed lay within [MASK],it was named in 1844 by charles sturt while he was trying to find the inland sea which he believed lay at the centre of [MASK],it was named by charles sturt in 1844 while he was trying to find the inland sea which he believed was in the centre of [MASK]
119,Gopaldas Neeraj,[X] is [Y] citizen .,India,"The Security Advisers from [MASK] have been Brigadiers Jasbir Singh, Budhwar, Ranvir Yadav, Neeraj Bali (now a Maj Gen) and AK Das (also a Maj Gen now) .","The Security Advisers from India have been Brigadiers Jasbir Singh, Budhwar, Ranvir Yadav, Neeraj Bali (now a Maj Gen) and AK Das (also a Maj Gen now) .","['The Security Advisers from India have been Brigadiers Jasbir Singh, Budhwar, Ranvir Yadav, Neeraj Bali (now a Maj Gen) and AK Das (also a Maj Gen now) .']","The Security Advisers from India have been Brigadiers Jasbir Singh, Budhwar, Ranvir Yadav, Neeraj Bali (now a Maj Gen) and AK Das (also a Maj Gen now) .",,
120,Hanna Krall,[X] is [Y] citizen .,Poland,"Guests and participants included: Nigel Kennedy David Krakauer and Klezmer Madness!, the Gorale folk band Zakopower, Benzion Miller, Kroke, the author Hanna Krall, Michał Piróg, Trombenik, Janusz Tylman, Israel's ambassador to [MASK] Zvi Rav-Ner and many others.","Guests and participants included: Nigel Kennedy David Krakauer and Klezmer Madness!, the Gorale folk band Zakopower, Benzion Miller, Kroke, the author Hanna Krall, Michał Piróg, Trombenik, Janusz Tylman, Israel's ambassador to Poland Zvi Rav-Ner and many others.","[""Guests and participants included: Nigel Kennedy David Krakauer and Klezmer Madness!, the Gorale folk band Zakopower, Benzion Miller, Kroke, the author Hanna Krall, Michał Piróg, Trombenik, Janusz Tylman, Israel's ambassador to Poland Zvi Rav-Ner and many others.""]","Guests and participants included: Nigel Kennedy David Krakauer and Klezmer Madness!, the Gorale folk band Zakopower, Benzion Miller, Kroke, the author Hanna Krall, Michał Piróg, Trombenik, Janusz Tylman, Israel's ambassador to Poland Zvi Rav-Ner and many others.",,
121,Alfred Kubel,[X] is [Y] citizen .,Germany,"Alfred Kubel (25 May 1909 in Braunschweig – 22 May 1999 in Bad Pyrmont) was a German politician; in his later career, he was a member of the Social Democratic Party of [MASK].","Alfred Kubel (25 May 1909 in Braunschweig – 22 May 1999 in Bad Pyrmont) was a German politician; in his later career, he was a member of the Social Democratic Party of Germany.","['alfred kubel may 25 1909 in braunschweig may 22 1999 in bad pyrmont was a german politician in his later career he was a member of the social democratic party of', 'alfred kubel may 25 1909 in braunschweig may 22 1999 in bad pyrmont was a german politician in his later career he was a member of the social democratic party of germany', 'alfred kubel 25 may 1909 in braunschweig 22 may 1999 in bad pyrmont was a german politician in his later career he was a member of the social democratic party of germany']",alfred kubel may 25 1909 in braunschweig may 22 1999 in bad pyrmont was a german politician in his later career he was a member of the social democratic party of,alfred kubel may 25 1909 in braunschweig may 22 1999 in bad pyrmont was a german politician in his later career he was a member of the social democratic party of [MASK],alfred kubel 25 may 1909 in braunschweig 22 may 1999 in bad pyrmont was a german politician in his later career he was a member of the social democratic party of [MASK]
122,Doychin Vasilev,[X] is [Y] citizen .,Bulgaria,"The first ascent was by the [MASK] Doychin Vasilev from Camp Academia on 25 December 2004, as part of Tangra 2004/05 survey.","The first ascent was by the Bulgaria Doychin Vasilev from Camp Academia on 25 December 2004, as part of Tangra 2004/05 survey.","['on 25 december 2004 bulgarian doychin vasilev from camp academia made its first ascent as part of the tangra 2004 - 2005 survey', 'the first ascent was made by bulgaria doychin vasilev from camp academia on 25 december 2004 as part of tangra 2004  2005 survey']",on 25 december 2004 bulgarian doychin vasilev from camp academia made its first ascent as part of the tangra 2004 - 2005 survey,the first ascent was made by [MASK] doychin vasilev from camp academia on 25 december 2004 as part of tangra 2004  2005 survey,
123,Eric Peterson,[X] is [Y] citizen .,Canada,"The Hakai Institute (formerly the Hakai Beach Institute) is a scientific research, teaching and meeting center established by Eric Peterson and Christina Munck on Calvert Island, a remote island on the exposed Pacific edge of the Great Bear Rainforest on the Central Coast of British Columbia, [MASK].","The Hakai Institute (formerly the Hakai Beach Institute) is a scientific research, teaching and meeting center established by Eric Peterson and Christina Munck on Calvert Island, a remote island on the exposed Pacific edge of the Great Bear Rainforest on the Central Coast of British Columbia, Canada.","['the hakai institute formerly the hakai beach institute is a scientific research teaching and meeting center which is set up on calvert island a remote island on the exposed pacific edge of the great bear rainforest on the central coast of british columbia canada', 'the hakai institute formerly the hakai beach institute is a scientific research teaching and meeting center created by eric peterson and christina munck on calvert island a remote island on the exposed pacific edge of the great bear rainforest on the central coast of british columbia canada']",the hakai institute formerly the hakai beach institute is a scientific research teaching and meeting center which is set up on calvert island a remote island on the exposed pacific edge of the great bear rainforest on the central coast of british columbia [MASK],the hakai institute formerly the hakai beach institute is a scientific research teaching and meeting center created by eric peterson and christina munck on calvert island a remote island on the exposed pacific edge of the great bear rainforest on the central coast of british columbia [MASK],
124,Maxwell William Ward,[X] is [Y] citizen .,Canada,"Wardair Canada was a privately run [MASK] airline, founded by Max Ward in 1952 under the name Wardair Ltd, before formally changing its name to ""Wardair Canada"" in 1976.","Wardair Canada was a privately run Canada airline, founded by Max Ward in 1952 under the name Wardair Ltd, before formally changing its name to ""Wardair Canada"" in 1976.","['wardair canada was a privately-run canada airline founded by max ward under the name wardair ltd in 1952 before formally changing its name to wardair canada in 1976', 'wardair canada was a privately run canada airline founded in 1952 by max ward under the name wardair ltd before formally changing its name to wardair canada in 1976']",wardair Canada was a privately-run Canada airline founded by max ward under the name wardair ltd in 1952 before formally changing its name to wardair [MASK] in 1976,wardair Canada was a privately run Canada airline founded in 1952 by max ward under the name wardair ltd before formally changing its name to wardair [MASK] in 1976,
125,Albrecht Weber,[X] is [Y] citizen .,Germany,"During this time he studied under Deussen, Hermann Oldenberg, Gerbe, and Albrecht Weber in [MASK], as well as Thomas William Rhys Davids in England.","During this time he studied under Deussen, Hermann Oldenberg, Gerbe, and Albrecht Weber in Germany, as well as Thomas William Rhys Davids in England.","['during this time he studied in germany under deussen hermann oldenberg gerbe and albrecht weber as well as thomas william rhys davids in england', 'during this time he studied under deussen hermann oldenberg gerbe and albrecht weber in germany as well as thomas william rhys davids in england']",during this time he studied in Germany under deussen hermann oldenberg gerbe and albrecht weber as well as thomas william rhys davids in [MASK],during this time he studied under deussen hermann oldenberg gerbe and albrecht weber in Germany as well as thomas william rhys davids in [MASK],
126,Hasibul Hossain,[X] is [Y] citizen .,Bangladesh,"Mohammad Hasibul Hossain (Bengali: মোহাম্মদ হাসিবুল হোসেন) (born June 3, 1977, Barlekha, Maulvibazar Sylhet Division, [MASK]), known as Hasibul Hossain, played five Tests (2000–01) and 32 one-day internationals (1995–2004) for Bangladesh.","Mohammad Hasibul Hossain (Bengali: মোহাম্মদ হাসিবুল হোসেন) (born June 3, 1977, Barlekha, Maulvibazar Sylhet Division, Bangladesh), known as Hasibul Hossain, played five Tests (2000–01) and 32 one-day internationals (1995–2004) for Bangladesh.","['Mohammad Hasibul Hossain (Bengali: মোহাম্মদ হাসিবুল হোসেন) (born June 3, 1977, Barlekha, Maulvibazar Sylhet Division, Bangladesh), known as Hasibul Hossain, played five Tests (2000–01) and 32 one-day internationals (1995–2004) for Bangladesh.']","Mohammad Hasibul Hossain (Bengali: মোহাম্মদ হাসিবুল হোসেন) (born June 3, 1977, Barlekha, Maulvibazar Sylhet Division, Bangladesh), known as Hasibul Hossain, played five Tests (2000–01) and 32 one-day internationals (1995–2004) for Bangladesh.",,
127,Mykola Tomenko,[X] is [Y] citizen .,Ukraine,"In 2005, Tomenko served as Vice-Prime Minister of [MASK] in the Cabinet of Yulia Tymoshenko (coordinating humanitarian policy).","In 2005, Tomenko served as Vice-Prime Minister of Ukraine in the Cabinet of Yulia Tymoshenko (coordinating humanitarian policy).","['In 2005, Tomenko served as Vice-Prime Minister of Ukraine in the Cabinet of Yulia Tymoshenko (coordinating humanitarian policy).']","In 2005, Tomenko served as Vice-Prime Minister of Ukraine in the Cabinet of Yulia Tymoshenko (coordinating humanitarian policy).",,
128,Sabeer Bhatia,[X] is [Y] citizen .,India,Nano City was a project proposed by the Haryana government and Sabeer Bhatia (co-founder of Hotmail) to build a city similar to Silicon Valley in northern [MASK].,Nano City was a project proposed by the Haryana government and Sabeer Bhatia (co-founder of Hotmail) to build a city similar to Silicon Valley in northern India.,['Nano City was a project proposed by the Haryana government and Sabeer Bhatia (co-founder of Hotmail) to build a city similar to Silicon Valley in northern India.'],Nano City was a project proposed by the Haryana government and Sabeer Bhatia (co-founder of Hotmail) to build a city similar to Silicon Valley in northern India.,,
129,Imanol Landeta,[X] is [Y] citizen .,Mexico,"Imanol Landeta (born Imanol Goenaga Martí on July 23, 1987), more commonly known simply as Imanol, is a [MASK] singer and actor.","Imanol Landeta (born Imanol Goenaga Martí on July 23, 1987), more commonly known simply as Imanol, is a Mexico singer and actor.",,,,
130,K. R. Gowri Amma,[X] is [Y] citizen .,India,"The Land Reforms Ordinance was a law in the state of Kerala, [MASK] by K. R. Gowri Amma minister in the first EMS government.","The Land Reforms Ordinance was a law in the state of Kerala, India by K. R. Gowri Amma minister in the first EMS government.","['The Land Reforms Ordinance was a law in the state of Kerala, India by K. R. Gowri Amma minister in the first EMS government.']","The Land Reforms Ordinance was a law in the state of Kerala, India by K. R. Gowri Amma minister in the first EMS government.",,
131,Jo Berger Myhre,[X] is [Y] citizen .,Norway,"Jo Berger Myhre (born 29 May 1984 in Sandefjord, [MASK]) is a Norwegian upright bassist, known from performing with the likes of Splashgirl, Blokk 5, Ingrid Olava, Solveig Slettahjell Slow Motion Quintet and Finland: Grydeland/Qvenild/Hausken/Myhre.","Jo Berger Myhre (born 29 May 1984 in Sandefjord, Norway) is a Norwegian upright bassist, known from performing with the likes of Splashgirl, Blokk 5, Ingrid Olava, Solveig Slettahjell Slow Motion Quintet and Finland: Grydeland/Qvenild/Hausken/Myhre.","['Jo Berger Myhre (born 29 May 1984 in Sandefjord, Norway) is a Norwegian upright bassist, known from performing with the likes of Splashgirl, Blokk 5, Ingrid Olava, Solveig Slettahjell Slow Motion Quintet and Finland: Grydeland/Qvenild/Hausken/Myhre.']","Jo Berger Myhre (born 29 May 1984 in Sandefjord, Norway) is a Norwegian upright bassist, known from performing with the likes of Splashgirl, Blokk 5, Ingrid Olava, Solveig Slettahjell Slow Motion Quintet and Finland: Grydeland/Qvenild/Hausken/Myhre.",,
132,Ernest Blanc,[X] is [Y] citizen .,France,"Ernest Blanc (November 1, 1923 – December 22, 2010) was a French opera singer, one of the leading baritones of his era in [MASK].","Ernest Blanc (November 1, 1923 – December 22, 2010) was a French opera singer, one of the leading baritones of his era in France.","['Ernest Blanc (November 1, 1923 – December 22, 2010) was a French opera singer, one of the leading baritones of his era in France.']","Ernest Blanc (November 1, 1923 – December 22, 2010) was a French opera singer, one of the leading baritones of his era in France.",,
133,Chespirito,[X] is [Y] citizen .,Mexico,"Chespirito performed a show called los Supergenios de la Mesa Cuadrada this show started in 1968 and ended in 1970 and Chespirito y la Mesa Cuadrada from 1970-1971, is a sketch comedy show that aired in [MASK] in two periods, 1968–1973 and 1980-1994.","Chespirito performed a show called los Supergenios de la Mesa Cuadrada this show started in 1968 and ended in 1970 and Chespirito y la Mesa Cuadrada from 1970-1971, is a sketch comedy show that aired in Mexico in two periods, 1968–1973 and 1980-1994.","['Chespirito performed a show called los Supergenios de la Mesa Cuadrada this show started in 1968 and ended in 1970 and Chespirito y la Mesa Cuadrada from 1970-1971, is a sketch comedy show that aired in Mexico in two periods, 1968–1973 and 1980-1994.']","Chespirito performed a show called los Supergenios de la Mesa Cuadrada this show started in 1968 and ended in 1970 and Chespirito y la Mesa Cuadrada from 1970-1971, is a sketch comedy show that aired in Mexico in two periods, 1968–1973 and 1980-1994.",,
134,Adel Gholami,[X] is [Y] citizen .,Iran,"Adel Gholami (Persian: عادل غلامی, born 9 February 1986 in Amol) is a volleyball player from [MASK], who plays as a Middle Blocker for the Men's National Team.","Adel Gholami (Persian: عادل غلامی, born 9 February 1986 in Amol) is a volleyball player from Iran, who plays as a Middle Blocker for the Men's National Team.","[""Adel Gholami (Persian: عادل غلامی, born 9 February 1986 in Amol) is a volleyball player from Iran, who plays as a Middle Blocker for the Men's National Team.""]","Adel Gholami (Persian: عادل غلامی, born 9 February 1986 in Amol) is a volleyball player from Iran, who plays as a Middle Blocker for the Men's National Team.",,
135,Theodosia Salome Okoh,[X] is [Y] citizen .,Ghana,"Jones-Quartey is a grandson of Theodosia Okoh, the designer of the flag of [MASK]; he based the Steven Universe character Nanefua Pizza on her.","Jones-Quartey is a grandson of Theodosia Okoh, the designer of the flag of Ghana; he based the Steven Universe character Nanefua Pizza on her.","['Jones-Quartey is a grandson of Theodosia Okoh, the designer of the flag of Ghana; he based the Steven Universe character Nanefua Pizza on her.']","Jones-Quartey is a grandson of Theodosia Okoh, the designer of the flag of Ghana; he based the Steven Universe character Nanefua Pizza on her.",,
136,Constantin von Monakow,[X] is [Y] citizen .,Switzerland,Dubois was also an editor of Constantin von Monakow's Schweizer Archiv für Neurologie und Psychiatrie ([MASK] Archive for Neurology and Psychiatry).,Dubois was also an editor of Constantin von Monakow's Schweizer Archiv für Neurologie und Psychiatrie (Switzerland Archive for Neurology and Psychiatry).,"[""Dubois was also an editor of Constantin von Monakow's Schweizer Archiv für Neurologie und Psychiatrie (Switzerland Archive for Neurology and Psychiatry).""]",Dubois was also an editor of Constantin von Monakow's Schweizer Archiv für Neurologie und Psychiatrie (Switzerland Archive for Neurology and Psychiatry).,,
137,Ronaldo,[X] is [Y] citizen .,Brazil,"One of the most popular Brazilian comedians of his generation, the overweight Bussunda was famous for his impersonations of football striker Ronaldo and of [MASK]'s president Lula.","One of the most popular Brazilian comedians of his generation, the overweight Bussunda was famous for his impersonations of football striker Ronaldo and of Brazil's president Lula.","['one of the most popular brazilian comedians of his generation the overweight bussunda was famous for his impersonations of the football striker ronaldo and of brazil president lula', ""one of the most popular brazilian comedians of his generation the overweight bussunda was famous for his impersonations of football striker ronaldo and of brazil's president lula""]",one of the most popular brazilian comedians of his generation the overweight bussunda was famous for his impersonations of the football striker ronaldo and of [MASK] president lula,one of the most popular brazilian comedians of his generation the overweight bussunda was famous for his impersonations of football striker ronaldo and of [MASK]'s president lula,
138,Peter Lalor,[X] is [Y] citizen .,Australia,"Peter Lalor Vocational College is a public, co-educational high school located in Lalor, Victoria, [MASK].","Peter Lalor Vocational College is a public, co-educational high school located in Lalor, Victoria, Australia.","['Peter Lalor Vocational College is a public, co-educational high school located in Lalor, Victoria, Australia.']","Peter Lalor Vocational College is a public, co-educational high school located in Lalor, Victoria, Australia.",,
139,Edelgard Bulmahn,[X] is [Y] citizen .,Germany,"Edelgard Bulmahn (born 4 March 1951 in Petershagen, North Rhine-Westphalia) is a German politician from the Social Democratic Party of [MASK] (SPD).","Edelgard Bulmahn (born 4 March 1951 in Petershagen, North Rhine-Westphalia) is a German politician from the Social Democratic Party of Germany (SPD).",['edelgard bulmahn born march 4 1951 in petershagen north rhine-westphalia is a german politician from the social democratic party of germany spd'],edelgard bulmahn born march 4 1951 in petershagen north rhine-westphalia is a german politician from the social democratic party of [MASK] spd,,
140,Mohammad Bahr al-Ulloum,[X] is [Y] citizen .,Iraq,Ayatollah Mohammad Bahr al-Ulloum (Arabic: محمد بحر العلوم; 17 December 1927 – 7 April 2015) was a Twelver Shi'a Islamic leader and politician in [MASK].,Ayatollah Mohammad Bahr al-Ulloum (Arabic: محمد بحر العلوم; 17 December 1927 – 7 April 2015) was a Twelver Shi'a Islamic leader and politician in Iraq.,"[""Ayatollah Mohammad Bahr al-Ulloum (Arabic: محمد بحر العلوم; 17 December 1927 – 7 April 2015) was a Twelver Shi'a Islamic leader and politician in Iraq.""]",Ayatollah Mohammad Bahr al-Ulloum (Arabic: محمد بحر العلوم; 17 December 1927 – 7 April 2015) was a Twelver Shi'a Islamic leader and politician in Iraq.,,
141,Christian Friedrich Hebbel,[X] is [Y] citizen .,Germany,"During her time in [MASK] she was largely associated with the theatrical producer/director Max Reinhardt and had acted in plays by such writers as Christian Friedrich Hebbel, Friedrich Schiller, William Shakespeare, Aeschylus and Ferdinand Bruckner.","During her time in Germany she was largely associated with the theatrical producer/director Max Reinhardt and had acted in plays by such writers as Christian Friedrich Hebbel, Friedrich Schiller, William Shakespeare, Aeschylus and Ferdinand Bruckner.","['during her time in germany she was largely associated with the theatrical producerdirector max reinhardt and had performed in plays by such writers as christian friedrich hebbel friedrich schiller william shakespeare aeschylus and ferdinand bruckner', 'during her time in germany she was largely associated with the theatrical producer and director max reinhardt and had acted in plays by such writers as christian friedrich hebbel friedrich schiller william shakespeare aeschylus and ferdinand bruckner', 'during her time in germany she was largely associated with the theatrical producerdirector max reinhardt and had acted in plays by such writers as christian friedrich hebbel friedrich schiller william shakespeare aeschylus and ferdinand bruckner']",during her time in [MASK] she was largely associated with the theatrical producerdirector max reinhardt and had performed in plays by such writers as christian friedrich hebbel friedrich schiller william shakespeare aeschylus and ferdinand bruckner,during her time in [MASK] she was largely associated with the theatrical producer and director max reinhardt and had acted in plays by such writers as christian friedrich hebbel friedrich schiller william shakespeare aeschylus and ferdinand bruckner,during her time in [MASK] she was largely associated with the theatrical producerdirector max reinhardt and had acted in plays by such writers as christian friedrich hebbel friedrich schiller william shakespeare aeschylus and ferdinand bruckner
142,Isidore the Laborer,[X] is [Y] citizen .,Spain,"The church of San Isidro el Real, also known as the church of the Colegiata or Collegium of San Isidro, is a Baroque church in central Madrid, central [MASK].","The church of San Isidro el Real, also known as the church of the Colegiata or Collegium of San Isidro, is a Baroque church in central Madrid, central Spain.","['The church of San Isidro el Real, also known as the church of the Colegiata or Collegium of San Isidro, is a Baroque church in central Madrid, central Spain.']","The church of San Isidro el Real, also known as the church of the Colegiata or Collegium of San Isidro, is a Baroque church in central Madrid, central Spain.",,
143,Carrera family,[X] is [Y] citizen .,Chile,"Ignacio de la Carrera y Cuevas (1747–1819) was a Chilean aristocrat, member of the First Government Junta of [MASK], and father of the Carrera brothers, who were some of the most important leaders of the early Chilean struggles for independence during the period of the Patria Vieja (""Old Republic"").","Ignacio de la Carrera y Cuevas (1747–1819) was a Chilean aristocrat, member of the First Government Junta of Chile, and father of the Carrera brothers, who were some of the most important leaders of the early Chilean struggles for independence during the period of the Patria Vieja (""Old Republic"").",,,,
144,Jan Pieter Schotte,[X] is [Y] citizen .,Belgium,Jan Pieter Schotte (29 April 1928 – 10 January 2005) was a [MASK] cardinal and an official of the Roman Curia.,Jan Pieter Schotte (29 April 1928 – 10 January 2005) was a Belgium cardinal and an official of the Roman Curia.,['Jan Pieter Schotte (29 April 1928 – 10 January 2005) was a Belgium cardinal and an official of the Roman Curia.'],Jan Pieter Schotte (29 April 1928 – 10 January 2005) was a Belgium cardinal and an official of the Roman Curia.,,
145,Rainer Fetting,[X] is [Y] citizen .,Germany,"Rainer Fetting (born 31 December 1949 in Wilhelmshaven, [MASK]) is a German painter and sculptor.","Rainer Fetting (born 31 December 1949 in Wilhelmshaven, Germany) is a German painter and sculptor.","['Rainer Fetting (born 31 December 1949 in Wilhelmshaven, Germany) is a German painter and sculptor.']","Rainer Fetting (born 31 December 1949 in Wilhelmshaven, Germany) is a German painter and sculptor.",,
146,Trajan,[X] is [Y] citizen .,Spain,"The Alcántara Bridge (also known as Trajan's Bridge at Alcantara) is a Roman stone arch bridge built over the Tagus River at Alcántara, [MASK], between 104 and 106 AD by an order of the Roman emperor Trajan in 98.","The Alcántara Bridge (also known as Trajan's Bridge at Alcantara) is a Roman stone arch bridge built over the Tagus River at Alcántara, Spain, between 104 and 106 AD by an order of the Roman emperor Trajan in 98.",['the alcntara bridge also known as trajan bridge at alcantara is a roman stone arch bridge built between 104 and 106 ad by an order of the roman emper'],the alcntara bridge also known as trajan bridge at alcantara is a roman stone arch bridge built between 104 and 106 ad by an order of the roman emper,,
147,Mateo Garralda,[X] is [Y] citizen .,Spain,"Currently he is one of the only three players to win the trophy with three different teams, the other two being Mateo Garralda and Jose Javier Hombrados from [MASK].","Currently he is one of the only three players to win the trophy with three different teams, the other two being Mateo Garralda and Jose Javier Hombrados from Spain.","['Currently he is one of the only three players to win the trophy with three different teams, the other two being Mateo Garralda and Jose Javier Hombrados from Spain.']","Currently he is one of the only three players to win the trophy with three different teams, the other two being Mateo Garralda and Jose Javier Hombrados from Spain.",,
148,Ronaldinho,[X] is [Y] citizen .,Brazil,"Ronaldinho Gaucho's Team is the first animated series for TV produced by the Italian studio GIG Italy Entertainment, with the co-production of MSP - Mauricio de Sousa Produções, which publishes in [MASK] the Ronaldinho Gaucho comic strip based on the fictionalised version of Ronaldinho as a child.","Ronaldinho Gaucho's Team is the first animated series for TV produced by the Italian studio GIG Italy Entertainment, with the co-production of MSP - Mauricio de Sousa Produções, which publishes in Brazil the Ronaldinho Gaucho comic strip based on the fictionalised version of Ronaldinho as a child.","[""Ronaldinho Gaucho's Team is the first animated series for TV produced by the Italian studio GIG Italy Entertainment, with the co-production of MSP - Mauricio de Sousa Produções, which publishes in Brazil the Ronaldinho Gaucho comic strip based on the fictionalised version of Ronaldinho as a child.""]","Ronaldinho Gaucho's Team is the first animated series for TV produced by the Italian studio GIG Italy Entertainment, with the co-production of MSP - Mauricio de Sousa Produções, which publishes in Brazil the Ronaldinho Gaucho comic strip based on the fictionalised version of Ronaldinho as a child.",,
149,Leslie Morris,[X] is [Y] citizen .,Canada,"William Kashtan (1909 – 1993) was general secretary of the Communist Party of [MASK] for 23 years beginning in January 1965, several months following the death of Leslie Morris, until his retirement in 1988.","William Kashtan (1909 – 1993) was general secretary of the Communist Party of Canada for 23 years beginning in January 1965, several months following the death of Leslie Morris, until his retirement in 1988.","['William Kashtan (1909 – 1993) was general secretary of the Communist Party of Canada for 23 years beginning in January 1965, several months following the death of Leslie Morris, until his retirement in 1988.']","William Kashtan (1909 – 1993) was general secretary of the Communist Party of Canada for 23 years beginning in January 1965, several months following the death of Leslie Morris, until his retirement in 1988.",,
150,Kensuke Tanabe,[X] is [Y] citizen .,Japan,"Kensuke Tanabe (田邊 賢輔 Tanabe Kensuke, born January 26, 1963 in Ikeda, Osaka, [MASK]) is a Japanese video game designer and producer working for Nintendo.","Kensuke Tanabe (田邊 賢輔 Tanabe Kensuke, born January 26, 1963 in Ikeda, Osaka, Japan) is a Japanese video game designer and producer working for Nintendo.","['kensuke tanabe tanabe kensuke born 26 january 1963 in ikeda osaka japan is a japanese video game designer and producer working for nintendo', 'kensuke tanabe tanabe kensuke born january 26 1963 in ikeda osaka japan is a japanese video game designer and producer working for nintendo']",kensuke tanabe tanabe kensuke born 26 january 1963 in ikeda osaka [MASK] is a japanese video game designer and producer working for nintendo,kensuke tanabe tanabe kensuke born january 26 1963 in ikeda osaka [MASK] is a japanese video game designer and producer working for nintendo,
