,sub_label,template,obj_label,masked_sentence,filled_sentence,T5_paraphrased_filled_sentence,T5_paraphrased_filled_sentence_0,T5_paraphrased_filled_sentence_1,T5_paraphrased_filled_sentence_2,T5_paraphrased_filled_sentence_3
245,Hugh Ragin,[X] plays [Y] music .,jazz,Hugh Ragin is an American [MASK] trumpeter.,Hugh Ragin is an American jazz trumpeter.,"['The name of an American jazz trumpeter is Hugh Ragin.', 'American jazz trumpeter Hugh Ragin.', ""A trumpeter known as Hugh Ragin from America's jazz scene."", 'An American jazz trumpeter by the name of Hugh Ragin.']",The name of an American [MASK] trumpeter is Hugh Ragin.,American [MASK] trumpeter Hugh Ragin.,A trumpeter known as Hugh Ragin from America's [MASK] scene.,An American [MASK] trumpeter by the name of Hugh Ragin.
246,The Flame Knife,[X] plays [Y] music .,novella,The Flame Knife is a 1955 fantasy [MASK] written by Robert E. Howard and L. Sprague de Camp featuring Howard's seminal sword and sorcery hero Conan the Barbarian.,The Flame Knife is a 1955 fantasy novella written by Robert E. Howard and L. Sprague de Camp featuring Howard's seminal sword and sorcery hero Conan the Barbarian.,"[""The Flame Knife, a fantasy novella by Robert E. Howard and L. Sprague de Camp, is set in 1955 and features Howard's iconic sword and the sorcerer Conan the Barbarian."", ""In The Flame Knife, a fantasy novella by Robert E. Howard and L. Sprague de Camp, Howard's sword is the center of attention, as is his sorcery hero, Conan the Barbarian, who also holds resemblance to Frankenstein in 1818."", ""Robert E. Howard and L. Sprague de Camp's 1955 fantasy novella, The Flame Knife (the sword of Howard' son Conan the Barbarian), features this sword as one of his most important assets in an epic story."", ""A fantasy novella based on the life of Robert E. Howard, written by Lerwyn D. Sprague de Camp (1955) and published in Harper Lee's The Flame Knife, features Howard'S iconic sword and sorcerer Conan the Barbarian.""]","The Flame Knife, a novella [MASK] by Robert E. Howard and L. Sprague de Camp, is set in 1955 and features Howard's iconic sword and the sorcerer Conan the Barbarian.","In The Flame Knife, a novella [MASK] by Robert E. Howard and L. Sprague de Camp, Howard's sword is the center of attention, as is his sorcery hero, Conan the Barbarian, who also holds resemblance to Frankenstein in 1818.","Robert E. Howard and L. Sprague de Camp's 1955 novella [MASK], The Flame Knife (the sword of Howard' son Conan the Barbarian), features this sword as one of his most important assets in an epic story.","A novella [MASK] based on the life of Robert E. Howard, written by Lerwyn D. Sprague de Camp (1955) and published in Harper Lee's The Flame Knife, features Howard'S iconic sword and sorcerer Conan the Barbarian."
247,Willie Ruff,[X] plays [Y] music .,jazz,"Willie Ruff (born September 1, 1931) is an American [MASK] musician, specializing in the French horn and double bass.","Willie Ruff (born September 1, 1931) is an American jazz musician, specializing in the French horn and double bass.","['American jazz musician Willie Ruff (born September 1, 1931) is a French horn and double bass specialist.', ""The French horn and double bass were the mainstay of Willie Ruff's jazz career in America, who was born on September 1, 1931."", 'Willie Ruff, born in 1931, is a jazz musician hailing from America who has specialized in the French horn and double bass.', 'A jazz musician hailing from America, Willie Ruff is a French horn and double bass specialist who was born on September 1, 1931.']","American [MASK] musician Willie Ruff (born September 1, 1931) is a French horn and double bass specialist.","The French horn and double bass were the mainstay of Willie Ruff's [MASK] career in America, who was born on September 1, 1931.","Willie Ruff, born in 1931, is a [MASK] musician hailing from America who has specialized in the French horn and double bass.","A [MASK] musician hailing from America, Willie Ruff is a French horn and double bass specialist who was born on September 1, 1931."
248,Eek-A-Mouse,[X] plays [Y] music .,reggae,U-Neek is the tenth studio album by Jamaican [MASK] artist Eek-A-Mouse.,U-Neek is the tenth studio album by Jamaican reggae artist Eek-A-Mouse.,"['Uek-A-Mouse, the Jamaican reggae band, has released their tenth studio album, U-Neek.', 'The tenth studio album of Eek-A-Mouse, a Jamaican reggae artist, is named U-Neek.', 'U-Neek is the tenth studio album by Jamaican reggae artist Eek-A-Mouse.', ""Eek-A' Muse, a Jamaican Reggaku group, has released his tenth studio album named U-Neek.""]","Uek-A-Mouse, the Jamaican [MASK] band, has released their tenth studio album, U-Neek.","The tenth studio album of Eek-A-Mouse, a Jamaican [MASK] artist, is named U-Neek.",U-Neek is the tenth studio album by Jamaican [MASK] artist Eek-A-Mouse.,"Eek-A' Muse, a Jamaican Reggaku group, has released his tenth studio album named U-Neek."
250,Tierney Sutton,[X] plays [Y] music .,jazz,"In addition to playing as a quartet, they have collaborated with renowned [MASK] artists such as clarinetist Paquito D'Rivera, pianist Kenny Barron, the classical string quartet Ying Quartet, vocalist Tierney Sutton and several major orchestras.","In addition to playing as a quartet, they have collaborated with renowned jazz artists such as clarinetist Paquito D'Rivera, pianist Kenny Barron, the classical string quartet Ying Quartet, vocalist Tierney Sutton and several major orchestras.","[""Along with their quartet performances, they have also collaborated with notable jazz musicians such as Paquito D'Rivera, Kenny Barron, Ying Quartet, Tierney Sutton, and various major orchestras."", ""Apart from performing as a quartet, they have also collaborated with jazz luminaries like Paquito D'Rivera, Kenny Barron, Ying Quartet, Tierney Sutton, and various major orchestras."", ""Besides playing together as a quartet, they have also collaborated with jazz luminaries such as Paquito D'Rivera, Kenny Barron, Ying Quartet, Tierney Sutton, and various major orchestras."", ""In addition to their quartet performances, they have also worked with jazz luminaries like Paquito D'Rivera, Kenny Barron, Ying Quartet, Tierney Sutton, and various major orchestras.""]","Along with their quartet performances, they have also collaborated with notable [MASK] musicians such as Paquito D'Rivera, Kenny Barron, Ying Quartet, Tierney Sutton, and various major orchestras.","Apart from performing as a quartet, they have also collaborated with [MASK] luminaries like Paquito D'Rivera, Kenny Barron, Ying Quartet, Tierney Sutton, and various major orchestras.","Besides playing together as a quartet, they have also collaborated with [MASK] luminaries such as Paquito D'Rivera, Kenny Barron, Ying Quartet, Tierney Sutton, and various major orchestras.","In addition to their quartet performances, they have also worked with [MASK] luminaries like Paquito D'Rivera, Kenny Barron, Ying Quartet, Tierney Sutton, and various major orchestras."
251,Iration,[X] plays [Y] music .,reggae,"Iration is a [MASK] group from Santa Barbara, CA.","Iration is a reggae group from Santa Barbara, CA.","[""Santa Barbara, CA's Iration is a reggae group."", 'Irregular band from Santa Barbara, CA.', 'The reggae group Iration hails from Santa Barbara, CA.', 'A reggae band named Iration is located in Santa Barbara, CA.']","Santa Barbara, CA's Iration is a [MASK] group.","Irregular band from Santa Barbara, CA.","The [MASK] group Iration hails from Santa Barbara, CA.","A [MASK] band named Iration is located in Santa Barbara, CA."
252,Martin France,[X] plays [Y] music .,jazz,"Whilst living in London Andrew studied with percussionists David Corkhill, Mike Skinner and Richard Benjafield, and received [MASK] tuition from Trevor Tomkins, Martin France, Pete Churchill and Scott Stroman.","Whilst living in London Andrew studied with percussionists David Corkhill, Mike Skinner and Richard Benjafield, and received jazz tuition from Trevor Tomkins, Martin France, Pete Churchill and Scott Stroman.","['Andrew received jazz lessons from Trevor Tomkins, Martin France, Pete Churchill, and Scott Stroman, as well as percussionists David Corkhill, Mike Skinner,and Richard Benjafield, while living in London.', 'During his stay in London, Andrew studied with percussionists David Corkhill, Mike Skinner, and Richard Benjafield, as well as jazz teachers Trevor Tomkins, Martin France, Pete Churchill, Scott Stroman.', 'Andrew spent some time living in London, where he also studied with percussionists David Corkhill (Argentine), Mike Skinner and Richard Benjafield, and jazz musicians Trevor Tomkins, Martin France. Pete Churchill and Scott Stroman were also among his instructors.', 'While in London, Andrew received jazz lessons from Trevor Tomkins, Martin Frances, Pete Churchill and Scott Stroman, as well as percussionists David Corkhill (Pice of Mind), Mike Skinner, and Richard Benjafield.']","Andrew received [MASK] lessons from Trevor Tomkins, Martin France, Pete Churchill, and Scott Stroman, as well as percussionists David Corkhill, Mike Skinner,and Richard Benjafield, while living in London.","During his stay in London, Andrew studied with percussionists David Corkhill, Mike Skinner, and Richard Benjafield, as well as [MASK] teachers Trevor Tomkins, Martin France, Pete Churchill, Scott Stroman.","Andrew spent some time living in London, where he also studied with percussionists David Corkhill (Argentine), Mike Skinner and Richard Benjafield, and [MASK] musicians Trevor Tomkins, Martin France. Pete Churchill and Scott Stroman were also among his instructors.","While in London, Andrew received [MASK] lessons from Trevor Tomkins, Martin Frances, Pete Churchill and Scott Stroman, as well as percussionists David Corkhill (Pice of Mind), Mike Skinner, and Richard Benjafield."
253,Peak Records,[X] plays [Y] music .,jazz,"In November 2004, it was announced that London had been signed to [MASK] recording label Peak Records, an imprint of Concord Records, the final label of jazz legend Ray Charles before his death.","In November 2004, it was announced that London had been signed to jazz recording label Peak Records, an imprint of Concord Records, the final label of jazz legend Ray Charles before his death.","['London was signed to the jazz recording label Peak Records in November 2004, which was an imprint of Concord Records, the last remaining organization of jazz legend Ray Charles before his death.', 'In November 2004, London was signed to the jazz recording label Peak Records, which was an imprint of Concord Records. This was the last label owned by jazz legend Ray Charles before he died.', 'The announcement was made in November 2004 that London had been signed to the jazz recording label Peak Records, which was an imprint of Concord Records.', 'It was announced in November 2004 that London had been signed to a jazz recording label called Peak Records, which was an imprint of Concord Records.']","London was signed to the jazz recording label Peak Records in November 2004, which was an imprint of Concord Records, the last remaining organization of [MASK] legend Ray Charles before his death.","In November 2004, London was signed to the jazz recording label Peak Records, which was an imprint of Concord Records. This was the last label owned by [MASK] legend Ray Charles before he died.","The announcement was made in November 2004 that London had been signed to the [MASK] recording label Peak Records, which was an imprint of Concord Records.","It was announced in November 2004 that London had been signed to a [MASK] recording label called Peak Records, which was an imprint of Concord Records."
254,Ziggy Marley and the Melody Makers,[X] plays [Y] music .,reggae,"Joy and Blues is a 1993 studio album by [MASK] band Ziggy Marley & The Melody Makers, released on Virgin Records.","Joy and Blues is a 1993 studio album by reggae band Ziggy Marley & The Melody Makers, released on Virgin Records.","['Virgin Records released the 1993 studio album Joy and Blues, which was produced by reggae band Ziggy Marley & The Melody Makers.', 'The studio album Joy and Blues by Ziggy Marley & The Melody Makers was released on Virgin Records in 1993.', ""Virgin Records issued Ziggy Marley & The Melody Makers' 1993 studio album Joy and Blues."", ""Ziggy Marley & The Melody Makers released their studio album Joy and Blue's in 1993 on Virgin Records.""]","Virgin Records released the 1993 studio album Joy and Blues, which was produced by [MASK] band Ziggy Marley & The Melody Makers.",The studio album Joy and Blues by Ziggy Marley & The Melody Makers was released on Virgin Records in 1993.,Virgin Records issued Ziggy Marley & The Melody Makers' 1993 studio album Joy and Blues.,Ziggy Marley & The Melody Makers released their studio album Joy and Blue's in 1993 on Virgin Records.
255,Stephen Storace,[X] plays [Y] music .,opera,The Pirates is an [MASK] by composer Stephen Storace with an English libretto by James Cobb.,The Pirates is an opera by composer Stephen Storace with an English libretto by James Cobb.,"['The Pirates is an opera written by Stephen Storace and performed with English libretto by James Cobb.', ""James Cobb's English libretto serves as the basis for The Pirates, an opera created by Stephen Storace."", 'Stephen Storace composed The Pirates, which has an English libretto by James Cobb.', 'Composer Stephen Storace wrote The Pirates, which has an English libretto by James Cobb.']",The Pirates is an [MASK] written by Stephen Storace and performed with English libretto by James Cobb.,"James Cobb's English libretto serves as the basis for The Pirates, an [MASK] created by Stephen Storace.","Stephen Storace composed The Pirates, which has an English libretto by James Cobb.","Composer Stephen Storace wrote The Pirates, which has an English libretto by James Cobb."
256,Alexander Knaifel,[X] plays [Y] music .,opera,"The Canterville Ghost (also The Ghost of Canterville, Russian: Кантервильское привидение – Kantervíl’skoye privedénie, however usually spelt as Кентервильское привидение – Kentervíl’skoye privedénie; French: Le fantôme de Canterville, German: Das Gespenst von Canterville), an [MASK] by the Russian composer Alexander Knaifel (Russian: Кнайфель) in three acts for 18 singers and chamber orchestra, also in an abridged version for two soloists and chamber orchestra.","The Canterville Ghost (also The Ghost of Canterville, Russian: Кантервильское привидение – Kantervíl’skoye privedénie, however usually spelt as Кентервильское привидение – Kentervíl’skoye privedénie; French: Le fantôme de Canterville, German: Das Gespenst von Canterville), an opera by the Russian composer Alexander Knaifel (Russian: Кнайфель) in three acts for 18 singers and chamber orchestra, also in an abridged version for two soloists and chamber orchestra.","['The Canterville Ghost, an opera created by the Russian composer Alexander Knasir, is also known as The Ghost of Cantersville.', 'A Russian opera, The Canterville Ghost (also referred to as Le Fantôme de Cantersille or the ""Ghost of Canternary"" in Russian) is written and performed by the Russian composer Alexander Knasin.', 'The Ghost of Canterville, also known as The Phantom of the Canters, is an opera written by the Russian composer Alexander Knasik.', 'Known as The Canterville Ghost, the opera by the Russian composer Alexander Knasi (also called The Ghost of Cantersky or ""The Phantom"" in Russian) is commonly spelled as ентервилское немекое времени – Kentervl’skoye privedénie; Le fantôme de Cantarville, French: Le Fantome de Cagney, German: Das Gespenst von Canterno, and Franz Schupenkovsky\'s libre.']","The Canterville Ghost, an [MASK] created by the Russian composer Alexander Knasir, is also known as The Ghost of Cantersville.","A Russian [MASK], The Canterville Ghost (also referred to as Le Fantôme de Cantersille or the ""Ghost of Canternary"" in Russian) is written and performed by the Russian composer Alexander Knasin.","The Ghost of Canterville, also known as The Phantom of the Canters, is an [MASK] written by the Russian composer Alexander Knasik.","Known as The Canterville Ghost, the [MASK] by the Russian composer Alexander Knasi (also called The Ghost of Cantersky or ""The Phantom"" in Russian) is commonly spelled as ентервилское немекое времени – Kentervl’skoye privedénie; Le fantôme de Cantarville, French: Le Fantome de Cagney, German: Das Gespenst von Canterno, and Franz Schupenkovsky's libre."
257,Poison Study,[X] plays [Y] music .,fantasy,"Poison Study is a 2005 [MASK] novel written by Maria V. Snyder and the first book in the Study series.It tells the story of a twenty-year-old girl named Yelena, who after spending just less than a year in a dungeon awaiting execution is given the chance to live on the condition that she will become the Commander's Food Taster.","Poison Study is a 2005 fantasy novel written by Maria V. Snyder and the first book in the Study series.It tells the story of a twenty-year-old girl named Yelena, who after spending just less than a year in a dungeon awaiting execution is given the chance to live on the condition that she will become the Commander's Food Taster.","[""In the first book of the Study series, Poison Study, a fantasy novel written by Maria V. Snyder in 2005, she tells the story of Yelena, who is given an opportunity to live on earth while being imprisoned for execution and aged twenty, provided that she chooses to become the Commander's Food Taster."", ""The first book in the Study series, Poison Study, by Maria V. Snyder, is a fantasy novel set in 2005. It tells the story of Yelena, ten years old, who spends less than eons in dungeone waiting to be executed, but is eventually allowed to live there on the condition that she becomes Commander's Food Taster."", ""Poison Study, a fantasy novel by Maria V. Snyder in 2005, is the first book in the Study series. It tells the story of Yelena, who was trapped in dungeons for execution for less than ten years but eventually agreed to live there as long as she chose to become the Commander's Food Taster."", ""Maria V. Snyder's 2005 fantasy novel, Poison Study, is the first book in the Study series and follows Yelena, a twenty-year-old girl who spends less than ten years in remission in an underground dungeon before being granted terra Nova to live on her own terms as the Commander'S Food Taster.""]","In the first book of the Study series, Poison Study, a [MASK] novel written by Maria V. Snyder in 2005, she tells the story of Yelena, who is given an opportunity to live on earth while being imprisoned for execution and aged twenty, provided that she chooses to become the Commander's Food Taster.","The first book in the Study series, Poison Study, by Maria V. Snyder, is a [MASK] novel set in 2005. It tells the story of Yelena, ten years old, who spends less than eons in dungeone waiting to be executed, but is eventually allowed to live there on the condition that she becomes Commander's Food Taster.","Poison Study, a [MASK] novel by Maria V. Snyder in 2005, is the first book in the Study series. It tells the story of Yelena, who was trapped in dungeons for execution for less than ten years but eventually agreed to live there as long as she chose to become the Commander's Food Taster.","Maria V. Snyder's 2005 [MASK] novel, Poison Study, is the first book in the Study series and follows Yelena, a twenty-year-old girl who spends less than ten years in remission in an underground dungeon before being granted terra Nova to live on her own terms as the Commander'S Food Taster."
258,Duke Ellington,[X] plays [Y] music .,jazz,"The most influential [MASK] double bassists from the 1940s and 1950s include bassist Jimmy Blanton (1918–1942) (a member of the Duke Ellington band); Oscar Pettiford (1922 – 1960), who is considered by bassists and musicologists to be the first bebop bassist and the transitional link from the swing era to bebop.","The most influential jazz double bassists from the 1940s and 1950s include bassist Jimmy Blanton (1918–1942) (a member of the Duke Ellington band); Oscar Pettiford (1922 – 1960), who is considered by bassists and musicologists to be the first bebop bassist and the transitional link from the swing era to bebop.","['The 1940s and 1950s saw the rise of jazz double bassists Jimmy Blanton and Oscar Pettiford, who were influential in the music industry.', 'In the 1940s and 1950s, Jimmy Blanton and Oscar Pettiford were prominent jazz double bassists.', ""Among the most influential jazz double bassists of the 1940s and 1950s were Jimmy Blanton, who was a member of Duke Ellington's band, and Oscar Pettiford, considered by many to be the first bebop bass player and the transitional link between the swing era and bebep."", 'Jazz double bassists Jimmy Blanton and Oscar Pettiford were the most influential jazz double basses from the 1940s and 1950s, with Blapton being a member of the Duke Ellington band and Petty Fletcher.']","The 1940s and 1950s saw the rise of [MASK] double bassists Jimmy Blanton and Oscar Pettiford, who were influential in the music industry.","In the 1940s and 1950s, Jimmy Blanton and Oscar Pettiford were prominent [MASK] double bassists.","Among the most influential [MASK] double bassists of the 1940s and 1950s were Jimmy Blanton, who was a member of Duke Ellington's band, and Oscar Pettiford, considered by many to be the first bebop bass player and the transitional link between the swing era and bebep.","Jazz double bassists Jimmy Blanton and Oscar Pettiford were the most influential [MASK] double basses from the 1940s and 1950s, with Blapton being a member of the Duke Ellington band and Petty Fletcher."
259,Nilva Records,[X] plays [Y] music .,jazz,Nilva Records was a [MASK] record label operated by the drummer Alvin Queen.,Nilva Records was a jazz record label operated by the drummer Alvin Queen.,"['The drummer Alvin Queen was the founder of Nilva Records, a jazz record label.', 'A jazz record label called Nilva Records was managed by the drummer Alvin Queen.', 'Nilva Records, a jazz record label, was managed by the drummer Alvin Queen.', 'Alvin Queen was the founder and owner of Nilva Records, a jazz record label.']","The drummer Alvin Queen was the founder of Nilva Records, a [MASK] record label.",A [MASK] record label called Nilva Records was managed by the drummer Alvin Queen.,"Nilva Records, a [MASK] record label, was managed by the drummer Alvin Queen.","Alvin Queen was the founder and owner of Nilva Records, a [MASK] record label."
260,La fiamma,[X] plays [Y] music .,opera,"La fiamma (The Flame) is an [MASK] in three acts by Ottorino Respighi to a libretto by Claudio Guastalla based on Hans Wiers-Jenssen's 1908 play Anne Pedersdotter, The Witch.","La fiamma (The Flame) is an opera in three acts by Ottorino Respighi to a libretto by Claudio Guastalla based on Hans Wiers-Jenssen's 1908 play Anne Pedersdotter, The Witch.","[""The flame, an opera based on Hans Wiers-Jenssen's 1908 play Anne Pedersdotter, is called La Fiamma, and it is written in three acts by Ottorino Respighi and performed with a libretto by Claudio Guastalla."", ""Ottorino Respighi's La Fiamma, an opera with three acts and a libretto by Claudio Guastalli, was inspired by Hans Wiers-Jenssen' 1908 play Anne Pedersdotter, The Witch."", ""Based on Hans Wiers-Jenssen's 1908 play Anne Pedersdotter, The Witch, an opera called La fiamm consists of three acts; the libretto is provided by Claudio Guastalla for the work, and it was performed in three act form by Ottorino Respighi."", ""Hans Wiers-Jenssen's 1908 play Anne Pedersdotter, The Witch, served as the inspiration for La Fiamme (The Flame), an opera in three acts presented by Ottorino Respighi and accompanied by Claudio Guastalla' libretto.""]","The flame, an [MASK] based on Hans Wiers-Jenssen's 1908 play Anne Pedersdotter, is called La Fiamma, and it is written in three acts by Ottorino Respighi and performed with a libretto by Claudio Guastalla.","Ottorino Respighi's La Fiamma, an [MASK] with three acts and a libretto by Claudio Guastalli, was inspired by Hans Wiers-Jenssen' 1908 play Anne Pedersdotter, The Witch.","Based on Hans Wiers-Jenssen's 1908 play Anne Pedersdotter, The Witch, an [MASK] called La fiamm consists of three acts; the libretto is provided by Claudio Guastalla for the work, and it was performed in three act form by Ottorino Respighi.","Hans Wiers-Jenssen's 1908 play Anne Pedersdotter, The Witch, served as the inspiration for La Fiamme (The Flame), an [MASK] in three acts presented by Ottorino Respighi and accompanied by Claudio Guastalla' libretto."
261,Willie Cook,[X] plays [Y] music .,jazz,"Willie Cook (November 11, 1923, Tangipahoa, Louisiana - September 22, 2000, Stockholm, Sweden) was an American [MASK] trumpeter.","Willie Cook (November 11, 1923, Tangipahoa, Louisiana - September 22, 2000, Stockholm, Sweden) was an American jazz trumpeter.","['Willie Cook, an American trumpeter, was born in 1923 in Tangipahoa, Louisiana and died on September 22, 2000 in Stockholm, Sweden.', 'The birthplace of Willie Cook, an American trumpeter, was Tangipahoa, Louisiana on November 11, 1923. He passed away in September 2000 in Stockholm, Sweden.', 'An American jazz trumpeter named Willie Cook, who was born in 1923 in Tangipahoa, Louisiana, and died on September 22, 2000 in Stockholm, Sweden.', 'A trumpeter from the American jazz scene, Willie Cook was born in 1923 in Tangipahoa, Louisiana and passed away on September 22, 2000 in Stockholm, Sweden.']","Willie Cook, an American trumpeter, was born in 1923 in Tangipahoa, Louisiana and died on September 22, 2000 in Stockholm, Sweden.","The birthplace of Willie Cook, an American trumpeter, was Tangipahoa, Louisiana on November 11, 1923. He passed away in September 2000 in Stockholm, Sweden.","An American [MASK] trumpeter named Willie Cook, who was born in 1923 in Tangipahoa, Louisiana, and died on September 22, 2000 in Stockholm, Sweden.","A trumpeter from the American [MASK] scene, Willie Cook was born in 1923 in Tangipahoa, Louisiana and passed away on September 22, 2000 in Stockholm, Sweden."
262,Michael Parsberg,[X] plays [Y] music .,trance,Michael Parsberg (born Michael Parsberg-Hansen; 1974 in Copenhagen) is a Danish [MASK] and house producer and DJ.,Michael Parsberg (born Michael Parsberg-Hansen; 1974 in Copenhagen) is a Danish trance and house producer and DJ.,"['A Danish trance and house producer and DJ, Michael Parsberg (born Michael P. Hansen in Copenhagen in 1974) is well-known.', 'The creator of a series of popular tracks in Danish music, Michael Parsberg-Hansen, was born and raised in Copenhagen in 1974.', 'Michael Parsberg, born Michael P. Hasen Hansen (born Augustus Berghast) in 1974 in Copenhagen, is a Danish trance and house producer and DJ.', 'Michael Parsberg, a Danish trance and house producer and DJ, was born in Copenhagen on September 25, 1974.']","A Danish [MASK] and house producer and DJ, Michael Parsberg (born Michael P. Hansen in Copenhagen in 1974) is well-known.","The creator of a series of popular tracks in Danish music, Michael Parsberg-Hansen, was born and raised in Copenhagen in 1974.","Michael Parsberg, born Michael P. Hasen Hansen (born Augustus Berghast) in 1974 in Copenhagen, is a Danish [MASK] and house producer and DJ.","Michael Parsberg, a Danish [MASK] and house producer and DJ, was born in Copenhagen on September 25, 1974."
263,Svend Asmussen,[X] plays [Y] music .,jazz,"During the Nazi occupation of Denmark from 1940–45, [MASK] was discouraged by the regime, but Bonfils played with Svend Asmussen in Valdemar Eiberg's band, as well as elsewhere, and jazz became a symbol of the underground and political protest.","During the Nazi occupation of Denmark from 1940–45, jazz was discouraged by the regime, but Bonfils played with Svend Asmussen in Valdemar Eiberg's band, as well as elsewhere, and jazz became a symbol of the underground and political protest.","[""Despite being discouraged by the Nazi occupation of Denmark from 1940-45, jazz was utilized as a symbol of underground and political protest. Bonfils collaborated with Svend Asmussen in Valdemar Eiberg's band."", ""While the Nazi occupation of Denmark in 1940-45 disapproved of jazz, Bonfils and Svend Asmussen's performances in their band helped to popularize the genre as a symbol of underground and political protest."", ""The Nazi occupation of Denmark from 1940-45 was marked by a lack of support for jazz, but Bonfils and Svend Asmussen's performances in Valdemar Eiberg'S band helped to popularize the genre as anthems for underground and political protest."", ""Jazz was not favored by the Nazis in Denmark during World War II, but Bonfils and Svend Asmussen's performances in Valdemar Eiberg' band helped to establish jazz as a symbol of underground and political protest.""]","Despite being discouraged by the Nazi occupation of Denmark from 1940-45, [MASK] was utilized as a symbol of underground and political protest. Bonfils collaborated with Svend Asmussen in Valdemar Eiberg's band.","While the Nazi occupation of Denmark in 1940-45 disapproved of [MASK], Bonfils and Svend Asmussen's performances in their band helped to popularize the genre as a symbol of underground and political protest.","The Nazi occupation of Denmark from 1940-45 was marked by a lack of support for [MASK], but Bonfils and Svend Asmussen's performances in Valdemar Eiberg'S band helped to popularize the genre as anthems for underground and political protest.","Jazz was not favored by the Nazis in Denmark during World War II, but Bonfils and Svend Asmussen's performances in Valdemar Eiberg' band helped to establish [MASK] as a symbol of underground and political protest."
264,Time Lapse,[X] plays [Y] music .,thriller,Time Lapse is a 2014 American indie sci-fi [MASK] and the directorial debut of Bradley King.,Time Lapse is a 2014 American indie sci-fi thriller and the directorial debut of Bradley King.,"['Bradley King helmed the 2014 indie sci-fi thriller, Time Lapse.', 'Time Lapse, an indie sci-fi thriller released in 2014, was directed by Bradley King.', 'The 2014 indie sci-fi thriller Time Lapse was directed by Bradley King and is his first directorial feature.', 'In 2014, Bradley King helmed the first in-house sci-fi thriller, Time Lapse.']","Bradley King helmed the 2014 indie sci-fi [MASK], Time Lapse.","Time Lapse, an indie sci-fi [MASK] released in 2014, was directed by Bradley King.",The 2014 indie sci-fi [MASK] Time Lapse was directed by Bradley King and is his first directorial feature.,"In 2014, Bradley King helmed the first in-house sci-fi [MASK], Time Lapse."
265,Lu Watters,[X] plays [Y] music .,jazz,"For two years beginning in 1938 he was a singer, banjoist and sometimes percussionist with Lu Watters's Yerba Buena Jazz band, the group that helped spark the [MASK] that continues to this day.","For two years beginning in 1938 he was a singer, banjoist and sometimes percussionist with Lu Watters's Yerba Buena Jazz band, the group that helped spark the jazz that continues to this day.","[""Starting in 1938, he spent two years as a singer, banjoist, and occasionally percussionist with Lu Watters's Yerba Buena Jazz band, which played incredibly important roles in the development of jazz music that is still being played today."", ""Beginning in 1938, he played the role of singer, banjo player, and occasionally percussionist with Lu Watters's Yerba Buena Jazz band, which has been instrumental in the development of jazz music that continues to this day."", ""From 1938 to the present day, he spent two years as a singer, banjoist, and occasionally percussionist with Lu Watters's Yerbastelo Jazz band, which played penned records that have contributed to jazz."", ""He spent two years starting in 1938 as a singer, banjoist and occasionally percussion player with Lu Watters's Yerba Bueno Jazz band, which played incredibly important roles in the development of jazz music that is still being played today.""]","Starting in 1938, he spent two years as a singer, banjoist, and occasionally percussionist with Lu Watters's Yerba Buena Jazz band, which played incredibly important roles in the development of [MASK] music that is still being played today.","Beginning in 1938, he played the role of singer, banjo player, and occasionally percussionist with Lu Watters's Yerba Buena Jazz band, which has been instrumental in the development of [MASK] music that continues to this day.","From 1938 to the present day, he spent two years as a singer, banjoist, and occasionally percussionist with Lu Watters's Yerbastelo Jazz band, which played penned records that have contributed to [MASK].","He spent two years starting in 1938 as a singer, banjoist and occasionally percussion player with Lu Watters's Yerba Bueno Jazz band, which played incredibly important roles in the development of [MASK] music that is still being played today."
267,Arnold Bax,[X] plays [Y] music .,symphony,"A more lyrical second subject follows, before the main motives return to recapitulate in the shortest opening movement of all Bax's [MASK].","A more lyrical second subject follows, before the main motives return to recapitulate in the shortest opening movement of all Bax's symphony.","[""The second subject is lyrically more advanced before the primary motives return in the shortest opening movement of Bax's symphony."", ""A more lyrical second subject is followed by the main themes returning to form in the shortest opening movement of Bax's symphony."", ""After that, a more melodious second theme emerges, and the primary themes are brought back to life in the brief opening movement of Bax's symphony."", ""Following this, there is a more melodious second topic of interest, followed by the primary themes returning to be recaptured in the swift opening movement of Bax's symphony.""]",The second subject is lyrically more advanced before the primary motives return in the shortest opening movement of Bax's [MASK].,A more lyrical second subject is followed by the main themes returning to form in the shortest opening movement of Bax's [MASK].,"After that, a more melodious second theme emerges, and the primary themes are brought back to life in the brief opening movement of Bax's [MASK].","Following this, there is a more melodious second topic of interest, followed by the primary themes returning to be recaptured in the swift opening movement of Bax's [MASK]."
268,Andy Milne,[X] plays [Y] music .,jazz,Andy Milne (born 1969) is a [MASK] pianist/composer now based in New York.,Andy Milne (born 1969) is a jazz pianist/composer now based in New York.,"['A jazz pianist/composer, Andy Milne was born in 1969 and currently resides in New York.', 'Andy Milne, a jazz pianist/composer, was born in 1969 and currently resides in New York.', 'New York is the current home of Andy Milne, a jazz pianist/composer who was born in 1969.', 'The composer and jazz pianist Andy Milne, who was born in 1969, is now located in New York.']","A [MASK] pianist/composer, Andy Milne was born in 1969 and currently resides in New York.","Andy Milne, a [MASK] pianist/composer, was born in 1969 and currently resides in New York.","New York is the current home of Andy Milne, a [MASK] pianist/composer who was born in 1969.","The composer and [MASK] pianist Andy Milne, who was born in 1969, is now located in New York."
