,sub_label,template,obj_label,masked_sentence,filled_sentence,Parrot_paraphrased_filled_sentence,Parrot_paraphrased_filled_sentence_0,Parrot_paraphrased_filled_sentence_1,Parrot_paraphrased_filled_sentence_2
166,David Fiuczynski,[X] plays [Y] music .,jazz,"Though generally thought of as a [MASK] musician, David Fiuczynski describes himself as ""a jazz-musician who doesn't want to play just jazz"".","Though generally thought of as a jazz musician, David Fiuczynski describes himself as ""a jazz-musician who doesn't want to play just jazz"".","['Though generally thought of as a jazz musician, David Fiuczynski describes himself as ""a jazz-musician who doesn\'t want to play just jazz"".']","Though generally thought of as a jazz musician, David Fiuczynski describes himself as ""a jazz-musician who doesn't want to play just [MASK]"".",,
168,Steve Swell,[X] plays [Y] music .,jazz,"He founded two record labels, Cadence Jazz (in 1980) and CIMP (in 1995), and produced or oversaw the release of hundreds of [MASK] releases; among those musicians he has produced are Bill Dixon, Chet Baker, Glenn Spearman, Ernie Krivda, Ivo Perelman, Noah Howard, Dominic Duval, Steuart Liebig, Cecil Taylor, Fred Hess, Anthony Braxton, Bill Barron, Paul Smoker, and Steve Swell.","He founded two record labels, Cadence Jazz (in 1980) and CIMP (in 1995), and produced or oversaw the release of hundreds of jazz releases; among those musicians he has produced are Bill Dixon, Chet Baker, Glenn Spearman, Ernie Krivda, Ivo Perelman, Noah Howard, Dominic Duval, Steuart Liebig, Cecil Taylor, Fred Hess, Anthony Braxton, Bill Barron, Paul Smoker, and Steve Swell.","['he founded two record labels cadence jazz in 1980 and cimp in 1995 and produced or oversaw the release of hundreds of jazz albums among those musicians he has produced are steve swell anthony braxton bill barron ernie krivda noah howard dominic duval', 'he founded two record labels cadence jazz in 1980 and cimp in 1995 and produced or oversaw the release of hundreds of jazz releases among the musicians he has produced are bill dixon chet baker glenn spearman ernie krivda ivo perelman noah howard dominic du', 'he founded two record labels cadence jazz in 1980 and cimp in 1995 and produced or oversaw the release of hundreds of jazz releases among those musicians he produced are bill dixon chet baker glenn spearman ernie krivda ivo perelman noah howard dominic duval']",he founded two record labels cadence jazz in 1980 and cimp in 1995 and produced or oversaw the release of hundreds of [MASK] albums among those musicians he has produced are steve swell anthony braxton bill barron ernie krivda noah howard dominic duval,he founded two record labels cadence jazz in 1980 and cimp in 1995 and produced or oversaw the release of hundreds of [MASK] releases among the musicians he has produced are bill dixon chet baker glenn spearman ernie krivda ivo perelman noah howard dominic du,he founded two record labels cadence jazz in 1980 and cimp in 1995 and produced or oversaw the release of hundreds of [MASK] releases among those musicians he produced are bill dixon chet baker glenn spearman ernie krivda ivo perelman noah howard dominic duval
169,John Stubblefield,[X] plays [Y] music .,jazz,"In the mid 1970s and 80’s when live loft jazz was popular in New York City, He performed with his own groups and other prominent [MASK] musicians such as Sonelius Smith, Rashid Ali, John Stubblefield, Carlos Garnett, Walter Davis Jr.. In late 1972, at age 25, he signed with Strata-East Records and in 1974 his first jazz album ""First Impressions"" was released.","In the mid 1970s and 80’s when live loft jazz was popular in New York City, He performed with his own groups and other prominent jazz musicians such as Sonelius Smith, Rashid Ali, John Stubblefield, Carlos Garnett, Walter Davis Jr.. In late 1972, at age 25, he signed with Strata-East Records and in 1974 his first jazz album ""First Impressions"" was released.","['In the mid 1970s and 80’s when live loft jazz was popular in New York City, He performed with his own groups and other prominent jazz musicians such as Sonelius Smith, Rashid Ali, John Stubblefield, Carlos Garnett, Walter Davis Jr.. In late 1972, at age 25, he signed with Strata-East Records and in 1974 his first jazz album ""First Impressions"" was released.']","In the mid 1970s and 80’s when live loft jazz was popular in New York City, He performed with his own groups and other prominent jazz musicians such as Sonelius Smith, Rashid Ali, John Stubblefield, Carlos Garnett, Walter Davis Jr.. In late 1972, at age 25, he signed with Strata-East Records and in 1974 his first [MASK] album ""First Impressions"" was released.",,
170,Dave Liebman,[X] plays [Y] music .,jazz,"Several great [MASK] musicians have played, jammed and given seminars in both the Praça da Alegria's club and in the Music School, including Ronnie Scott, Sarah Vaughan, Charlie Haden, Benny Golson, Maria João and Dave Liebman.","Several great jazz musicians have played, jammed and given seminars in both the Praça da Alegria's club and in the Music School, including Ronnie Scott, Sarah Vaughan, Charlie Haden, Benny Golson, Maria João and Dave Liebman.","[""Several great jazz musicians have played, jammed and given seminars in both the Praça da Alegria's club and in the Music School, including Ronnie Scott, Sarah Vaughan, Charlie Haden, Benny Golson, Maria João and Dave Liebman.""]","Several great [MASK] musicians have played, jammed and given seminars in both the Praça da Alegria's club and in the Music School, including Ronnie Scott, Sarah Vaughan, Charlie Haden, Benny Golson, Maria João and Dave Liebman.",,
171,Doc Evans,[X] plays [Y] music .,jazz,"Artists who recorded for Tempo included [MASK] harpist/composer Robert Maxwell, clarinetist Sid Phillips, cornetist Doc Evans, pianist Ben Light, Novachord and organ virtuoso Lloyd Sloop, and violinist Joe Venuti.","Artists who recorded for Tempo included jazz harpist/composer Robert Maxwell, clarinetist Sid Phillips, cornetist Doc Evans, pianist Ben Light, Novachord and organ virtuoso Lloyd Sloop, and violinist Joe Venuti.","['Artists who recorded for Tempo included jazz harpist/composer Robert Maxwell, clarinetist Sid Phillips, cornetist Doc Evans, pianist Ben Light, Novachord and organ virtuoso Lloyd Sloop, and violinist Joe Venuti.']","Artists who recorded for Tempo included [MASK] harpist/composer Robert Maxwell, clarinetist Sid Phillips, cornetist Doc Evans, pianist Ben Light, Novachord and organ virtuoso Lloyd Sloop, and violinist Joe Venuti.",,
172,Chris Barber,[X] plays [Y] music .,jazz,"Monty Sunshine (9 April 1928 – 30 November 2010) was an English [MASK] clarinetist, who is known for his clarinet solo on the track ""Petite Fleur"", a million seller for the Chris Barber Jazz Band in 1959.","Monty Sunshine (9 April 1928 – 30 November 2010) was an English jazz clarinetist, who is known for his clarinet solo on the track ""Petite Fleur"", a million seller for the Chris Barber Jazz Band in 1959.","['Monty Sunshine (9 April 1928 – 30 November 2010) was an English jazz clarinetist, who is known for his clarinet solo on the track ""Petite Fleur"", a million seller for the Chris Barber Jazz Band in 1959.']","Monty Sunshine (9 April 1928 – 30 November 2010) was an English [MASK] clarinetist, who is known for his clarinet solo on the track ""Petite Fleur"", a million seller for the Chris Barber Jazz Band in 1959.",,
173,Hubert Laws,[X] plays [Y] music .,jazz,"Hubert Laws (born November 10, 1939) is an American flutist and saxophonist with a career spanning over 40 years in [MASK], classical, and other music genres.","Hubert Laws (born November 10, 1939) is an American flutist and saxophonist with a career spanning over 40 years in jazz, classical, and other music genres.","['Hubert Laws (born November 10, 1939) is an American flutist and saxophonist with a career spanning over 40 years in jazz, classical, and other music genres.']","Hubert Laws (born November 10, 1939) is an American flutist and saxophonist with a career spanning over 40 years in [MASK], classical, and other music genres.",,
174,Bill Anschell,[X] plays [Y] music .,jazz,"He has also had extensive studio recording experience and is one of the most in- demand bassists in the Southeastern region, often working with notable Southeastern reigional [MASK] musicians such as Rick Bell (saxophone), Ken Watters (trumpet), Bill Anschell (piano), Gary Motley (piano) and Ray Reach (piano and vocal).","He has also had extensive studio recording experience and is one of the most in- demand bassists in the Southeastern region, often working with notable Southeastern reigional jazz musicians such as Rick Bell (saxophone), Ken Watters (trumpet), Bill Anschell (piano), Gary Motley (piano) and Ray Reach (piano and vocal).","['He has also had extensive studio recording experience and is one of the most in- demand bassists in the Southeastern region, often working with notable Southeastern reigional jazz musicians such as Rick Bell (saxophone), Ken Watters (trumpet), Bill Anschell (piano), Gary Motley (piano) and Ray Reach (piano and vocal).']","He has also had extensive studio recording experience and is one of the most in- demand bassists in the Southeastern region, often working with notable Southeastern reigional [MASK] musicians such as Rick Bell (saxophone), Ken Watters (trumpet), Bill Anschell (piano), Gary Motley (piano) and Ray Reach (piano and vocal).",,
175,Spanky Wilson,[X] plays [Y] music .,jazz,"Spanky Wilson (born c.1947) is an American soul, funk and [MASK] vocalist, who has performed internationally and recorded several albums since the late 1960s.","Spanky Wilson (born c.1947) is an American soul, funk and jazz vocalist, who has performed internationally and recorded several albums since the late 1960s.","['spanky wilson born c1947 is an american soul funk and jazz singer who has performed internationally and recorded several albums since the late 1960s', 'spanky wilson born c1947 is an american soul funk and jazz vocalist who has performed internationally and recorded several albums since the late 1960s']",spanky wilson born c1947 is an american soul jazz and [MASK] singer who has performed internationally and recorded several albums since the late 1960s,spanky wilson born c1947 is an american soul jazz and [MASK] vocalist who has performed internationally and recorded several albums since the late 1960s,
176,Curtis Clark,[X] plays [Y] music .,jazz,"Curtis Clark (born 23 April 1950) is a [MASK] pianist from Chicago, United States.","Curtis Clark (born 23 April 1950) is a jazz pianist from Chicago, United States.","['curtis clark born april 23 1950 is a chicago based jazz pianist', 'curtis clark born april 23 1950 is a chicago-based jazz pianist']",curtis clark born april 23 1950 is a chicago based [MASK] pianist,curtis clark born april 23 1950 is a chicago-based [MASK] pianist,
177,Bruno Blum,[X] plays [Y] music .,reggae,"Bruno Blum (born October 4, 1960, Vichy, France) is a French singer songwriter, guitar player and music producer sometimes nicknamed ""Doc [MASK].""","Bruno Blum (born October 4, 1960, Vichy, France) is a French singer songwriter, guitar player and music producer sometimes nicknamed ""Doc reggae.""","['Bruno Blum (born October 4, 1960, Vichy, France) is a French singer songwriter, guitar player and music producer sometimes nicknamed ""Doc reggae.""']","Bruno Blum (born October 4, 1960, Vichy, France) is a French singer songwriter, guitar player and music producer sometimes nicknamed ""Doc [MASK].""",,
178,Putter Smith,[X] plays [Y] music .,jazz,"In the film, Wint is played by the clean-shaven actor Bruce Glover and Kidd by bespectacled [MASK] musician Putter Smith in a rare acting role.","In the film, Wint is played by the clean-shaven actor Bruce Glover and Kidd by bespectacled jazz musician Putter Smith in a rare acting role.","['In the film, Wint is played by the clean-shaven actor Bruce Glover and Kidd by bespectacled jazz musician Putter Smith in a rare acting role.']","In the film, Wint is played by the clean-shaven actor Bruce Glover and Kidd by bespectacled [MASK] musician Putter Smith in a rare acting role.",,
179,"Louis Cottrell, Jr.",[X] plays [Y] music .,jazz,"Many reed players significant in early [MASK] studied with Lorenzo Tio Jr., including Sidney Bechet, Barney Bigard, Johnny Dodds, Omer Simeon, Louis Cottrell, Jr., Jimmie Noone and Albert Nicholas.","Many reed players significant in early jazz studied with Lorenzo Tio Jr., including Sidney Bechet, Barney Bigard, Johnny Dodds, Omer Simeon, Louis Cottrell, Jr., Jimmie Noone and Albert Nicholas.","['many reed players important in early jazz studied with lorenzo tio jr including sidney bechet barney bigard johnny dodds omer simeon louis cottrell jr jimmie noone and albert nicholas', 'many reed players significant in early jazz studied with lorenzo tio jr including sidney bechet barney bigard johnny dodds omer simeon louis cottrell jr jimmie noone and albert nicholas']",many reed players important in early [MASK] studied with lorenzo tio jr including sidney bechet barney bigard johnny dodds omer simeon louis cottrell jr jimmie noone and albert nicholas,many reed players significant in early [MASK] studied with lorenzo tio jr including sidney bechet barney bigard johnny dodds omer simeon louis cottrell jr jimmie noone and albert nicholas,
180,Idina Menzel,[X] plays [Y] music .,orchestra,"The [MASK] collaborates with stars from the stage and screen, such as Tony Bennett, Michael Feinstein, Megan Hilty, Idina Menzel, Kelli O'Hara, Miss Piggy, Pink Martini, John Pizzarelli, and many more.","The orchestra collaborates with stars from the stage and screen, such as Tony Bennett, Michael Feinstein, Megan Hilty, Idina Menzel, Kelli O'Hara, Miss Piggy, Pink Martini, John Pizzarelli, and many more.","[""The orchestra collaborates with stars from the stage and screen, such as Tony Bennett, Michael Feinstein, Megan Hilty, Idina Menzel, Kelli O'Hara, Miss Piggy, Pink Martini, John Pizzarelli, and many more.""]","The [MASK] collaborates with stars from the stage and screen, such as Tony Bennett, Michael Feinstein, Megan Hilty, Idina Menzel, Kelli O'Hara, Miss Piggy, Pink Martini, John Pizzarelli, and many more.",,
181,God Made Me Funky,[X] plays [Y] music .,funk,"God Made Me Funky (GMMF) is a Canadian [MASK] music group, formed in 1996 in Toronto.","God Made Me Funky (GMMF) is a Canadian funk music group, formed in 1996 in Toronto.","['gmmf is a canadian funk music group formed in toronto in 1996', 'gmmf - god made me funky is a canadian funk music group formed in toronto in 1996', 'god made me funky gmmf is a canadian funk music group formed in toronto in 1996']",gmmf is a canadian [MASK] music group formed in toronto in 1996,gmmf - god made me funky is a canadian [MASK] music group formed in toronto in 1996,god made me funky gmmf is a canadian [MASK] music group formed in toronto in 1996
182,Dennis Rowland,[X] plays [Y] music .,jazz,"Dennis Rowland is a [MASK] vocalist born and raised in Detroit, MI.","Dennis Rowland is a jazz vocalist born and raised in Detroit, MI.","['dennis rowland is a jazz vocalist born in detroit mi', 'dennis rowland is a jazz vocalist born and raised in detroit mi']",dennis rowland is a [MASK] vocalist born in detroit mi,dennis rowland is a [MASK] vocalist born and raised in detroit mi,
183,Dupree Bolton,[X] plays [Y] music .,jazz,"Dupree Bolton (3 March 1929 – 5 June 1993) was a bop [MASK] trumpeter from Oklahoma City, Oklahoma, USA, probably best known for his recordings with Harold Land and Curtis Amy.","Dupree Bolton (3 March 1929 – 5 June 1993) was a bop jazz trumpeter from Oklahoma City, Oklahoma, USA, probably best known for his recordings with Harold Land and Curtis Amy.","['Dupree Bolton (3 March 1929 – 5 June 1993) was a bop jazz trumpeter from Oklahoma City, Oklahoma, USA, probably best known for his recordings with Harold Land and Curtis Amy.']","Dupree Bolton (3 March 1929 – 5 June 1993) was a bop [MASK] trumpeter from Oklahoma City, Oklahoma, USA, probably best known for his recordings with Harold Land and Curtis Amy.",,
184,Billy Eckstine,[X] plays [Y] music .,jazz,"Bearden was the author or coauthor of several books, and was a songwriter who co-wrote the [MASK] classic ""Sea Breeze"", which was recorded by Billy Eckstine, a former high school classmate at Peabody High School, and Dizzy Gillespie.","Bearden was the author or coauthor of several books, and was a songwriter who co-wrote the jazz classic ""Sea Breeze"", which was recorded by Billy Eckstine, a former high school classmate at Peabody High School, and Dizzy Gillespie.",['bearden was the author or coauthor of several books and was a songwriter who co-wrote the jazz classic sea breeze which was recorded by billy eckstine a former high school classmate at peabody high school and dizzy gillespie'],bearden was the author or coauthor of several books and was a songwriter who co-wrote the [MASK] classic sea breeze which was recorded by billy eckstine a former high school classmate at peabody high school and dizzy gillespie,,
185,Leo Blech,[X] plays [Y] music .,opera,"Leo Blech (21 April 1871 – 25 August 1958) was a German [MASK] composer and conductor who is perhaps most famous for his work at the Königliches Opernhaus (later the Berlin State Opera / Staatsoper Unter den Linden) from 1906 to 1937, and later as the conductor of Berlin's Städtische Oper from 1949 to 1953.","Leo Blech (21 April 1871 – 25 August 1958) was a German opera composer and conductor who is perhaps most famous for his work at the Königliches Opernhaus (later the Berlin State Opera / Staatsoper Unter den Linden) from 1906 to 1937, and later as the conductor of Berlin's Städtische Oper from 1949 to 1953.","[""Leo Blech (21 April 1871 – 25 August 1958) was a German opera composer and conductor who is perhaps most famous for his work at the Königliches Opernhaus (later the Berlin State Opera / Staatsoper Unter den Linden) from 1906 to 1937, and later as the conductor of Berlin's Städtische Oper from 1949 to 1953.""]","Leo Blech (21 April 1871 – 25 August 1958) was a German [MASK] composer and conductor who is perhaps most famous for his work at the Königliches Opernhaus (later the Berlin State Opera / Staatsoper Unter den Linden) from 1906 to 1937, and later as the conductor of Berlin's Städtische Oper from 1949 to 1953.",,
186,Ken Vandermark,[X] plays [Y] music .,jazz,"He also has toured and recorded with the Peter Brotzmann Tentet, the Vandermark 5, Cinghiale, Our Daughter's Wedding, and Mark Freeland's Electroman, and is the bandleader of several spin-off [MASK] groups/projects: Grammy nominated, acid jazz pioneer Liquid Soul, Hal Russell's NRG Ensemble, Witches & Devils, Slam, and XmarsX.","He also has toured and recorded with the Peter Brotzmann Tentet, the Vandermark 5, Cinghiale, Our Daughter's Wedding, and Mark Freeland's Electroman, and is the bandleader of several spin-off jazz groups/projects: Grammy nominated, acid jazz pioneer Liquid Soul, Hal Russell's NRG Ensemble, Witches & Devils, Slam, and XmarsX.",,,,
187,Boney James,[X] plays [Y] music .,jazz,"Trust is the debut album by [MASK] saxophonist Boney James, released in 1992.","Trust is the debut album by jazz saxophonist Boney James, released in 1992.","['trust is the first album by jazz saxophonist boney james released in 1992', 'trust is the debut album by jazz saxophonist boney james released in 1992']",trust is the first album by [MASK] saxophonist boney james released in 1992,trust is the debut album by [MASK] saxophonist boney james released in 1992,
188,Giuseppe Verdi,[X] plays [Y] music .,opera,"Puccini has been called ""the greatest composer of Italian [MASK] after Verdi"".","Puccini has been called ""the greatest composer of Italian opera after Verdi"".","['puccini has been named the greatest italian opera composer after verdi', 'puccini has been called the greatest composer of italian opera after verdi']",puccini has been named the greatest italian [MASK] composer after verdi,puccini has been called the greatest composer of italian [MASK] after verdi,
189,Steve Cardenas,[X] plays [Y] music .,jazz,Guitarist Steve Cardenas began his musical career in Kansas City and has been part of the New York City [MASK] community since 1995.,Guitarist Steve Cardenas began his musical career in Kansas City and has been part of the New York City jazz community since 1995.,"['guitarist steve cardenas began his musical career in kansas city and is since 1995 part of the jazz community in new york city', 'guitarist steve cardenas began his musical career in kansas city and is part of the new york city jazz community since 1995']",guitarist steve cardenas began his jazz career in kansas city and is since 1995 part of the [MASK] community in new york city,guitarist steve cardenas began his jazz career in kansas city and is part of the new york city [MASK] community since 1995,
190,The Beatles,[X] plays [Y] music .,blues,"His earliest influences included the sound of early British bands, such as the Beatles and the Rolling Stones, influenced by popular American Rhythm and [MASK].","His earliest influences included the sound of early British bands, such as the Beatles and the Rolling Stones, influenced by popular American Rhythm and blues.","['his earliest influences included the sound of early british bands such as the beatles and the rolling stones influenced by the popular american rhythm and blues', 'his early influences included the sound of early british bands such as the beatles and the rolling stones influenced by popular american rhythm and blues', 'his earliest influences included the sound of early british bands such as the beatles and the rolling stones influenced by popular american rhythm and blues']",his earliest influences included the sound of early british bands such as the beatles and the rolling stones influenced by the popular american rhythm and [MASK],his early influences included the sound of early british bands such as the beatles and the rolling stones influenced by popular american rhythm and [MASK],his earliest influences included the sound of early british bands such as the beatles and the rolling stones influenced by popular american rhythm and [MASK]
191,Billy Liar,[X] plays [Y] music .,sitcom,"He also enjoyed acclaim as Geoffrey Fisher, the stern father of the eponymous antihero Billy Liar, in both the original West End stage version (1960) and the later [MASK] (1973–74).","He also enjoyed acclaim as Geoffrey Fisher, the stern father of the eponymous antihero Billy Liar, in both the original West End stage version (1960) and the later sitcom (1973–74).",['he also enjoyed acclaim as geoffrey fisher the stern father of the eponymous antihero billy liar in both the original west end stage version 1960 and the later sitcom 197374'],he also enjoyed acclaim as geoffrey fisher the stern father of the eponymous antihero billy liar in both the original west end stage version 1960 and the later [MASK] 197374,,
192,Rick Margitza,[X] plays [Y] music .,jazz,"Rick Margitza (born October 24, 1961 in Dearborn, Michigan) is an American [MASK] tenor saxophonist.","Rick Margitza (born October 24, 1961 in Dearborn, Michigan) is an American jazz tenor saxophonist.","['Rick Margitza (born October 24, 1961 in Dearborn, Michigan) is an American jazz tenor saxophonist.']","Rick Margitza (born October 24, 1961 in Dearborn, Michigan) is an American [MASK] tenor saxophonist.",,
193,Cadet Records,[X] plays [Y] music .,jazz,"Dancing in the Street is a live [MASK] album by the Ramsey Lewis Trio, recorded July, 1967 at Basin Street West, San Francisco and released on Cadet Records that same year.","Dancing in the Street is a live jazz album by the Ramsey Lewis Trio, recorded July, 1967 at Basin Street West, San Francisco and released on Cadet Records that same year.","['dancing in the street is a live jazz album by ramsey lewis trio recorded july 1967 in basin street west san francisco and released in the same year on cadet records', 'dancing in the street is a live jazz album of the ramsey lewis trio recorded at basin street west san francisco july 1967 and released by cadet records in the same year', 'dancing in the street is a live jazz album from ramsey lewis trio recorded july 1967 at basin street west san francisco and released on cadet records that same year']",dancing in the street is a live [MASK] album by ramsey lewis trio recorded july 1967 in basin street west san francisco and released in the same year on cadet records,dancing in the street is a live [MASK] album of the ramsey lewis trio recorded at basin street west san francisco july 1967 and released by cadet records in the same year,dancing in the street is a live [MASK] album from ramsey lewis trio recorded july 1967 at basin street west san francisco and released on cadet records that same year
194,Jiggs Whigham,[X] plays [Y] music .,jazz,He then studied the [MASK] trumpet at the music academy in Cologne under Jiggs Whigham and Jon Eardley.,He then studied the jazz trumpet at the music academy in Cologne under Jiggs Whigham and Jon Eardley.,"[""he then studied jazz trumpet at cologne's music academy under jiggs whigham and jon eardley"", 'he then studied jazz trumpet at the music academy in cologne under jiggs whigham and jon eardley']",he then studied [MASK] trumpet at cologne's music academy under jiggs whigham and jon eardley,he then studied [MASK] trumpet at the music academy in cologne under jiggs whigham and jon eardley,
195,Ryō Kawasaki,[X] plays [Y] music .,jazz,"The Kawasaki Synthesizer is a musical software tool for the Commodore 64 created in 1983 by Japanese [MASK] musician, Ryo Kawasaki.","The Kawasaki Synthesizer is a musical software tool for the Commodore 64 created in 1983 by Japanese jazz musician, Ryo Kawasaki.","['the kawasaki synthesizer is a musical software tool for the commodore 64 created in 1983 by the japanese jazz musician ryo kawasaki', 'the kawasaki synthesizer is a music software tool for the commodore 64 created in 1983 by japanese jazz musician ryo kawasaki']",the kawasaki synthesizer is a jazz software tool for the commodore 64 created in 1983 by the japanese [MASK] musician ryo kawasaki,the kawasaki synthesizer is a music software tool for the commodore 64 created in 1983 by japanese [MASK] musician ryo kawasaki,
196,Helge Schneider,[X] plays [Y] music .,jazz,"Helge Schneider (born 30 August 1955 in Mülheim an der Ruhr) is a German comedian, [MASK] musician and multi-instrumentalist, author, film and theatre director, and actor.","Helge Schneider (born 30 August 1955 in Mülheim an der Ruhr) is a German comedian, jazz musician and multi-instrumentalist, author, film and theatre director, and actor.","['Helge Schneider (born 30 August 1955 in Mülheim an der Ruhr) is a German comedian, jazz musician and multi-instrumentalist, author, film and theatre director, and actor.']","Helge Schneider (born 30 August 1955 in Mülheim an der Ruhr) is a German comedian, [MASK] musician and multi-instrumentalist, author, film and theatre director, and actor.",,
197,The Belgariad,[X] plays [Y] music .,fantasy,"Belgarion (also called Garion) is a fictional character and the chief protagonist in The Belgariad and The Malloreon, two [MASK] epics written by David Eddings.","Belgarion (also called Garion) is a fictional character and the chief protagonist in The Belgariad and The Malloreon, two fantasy epics written by David Eddings.","['belgarion also known as garion is a fictional character and the chief protagonist in the belgariad and the malloreon two fantasy epics written by david eddings', 'belgarion also called garion is a fictional character and the chief protagonist of the belgariad and the malloreon two fantasy epics written by david eddings']",belgarion also known as garion is a fictional character and the chief protagonist in the belgariad and the malloreon two [MASK] epics written by david eddings,belgarion also called garion is a fictional character and the chief protagonist of the belgariad and the malloreon two [MASK] epics written by david eddings,
198,I'm Your Boogie Man,[X] plays [Y] music .,disco,"Their best-known songs include the [MASK] hits ""That's the Way (I Like It)"", ""(Shake, Shake, Shake) Shake Your Booty"", ""I'm Your Boogie Man"", ""Keep It Comin' Love"", ""Get Down Tonight"", ""Boogie Shoes"", ""Please Don't Go"" and ""Give It Up"".","Their best-known songs include the disco hits ""That's the Way (I Like It)"", ""(Shake, Shake, Shake) Shake Your Booty"", ""I'm Your Boogie Man"", ""Keep It Comin' Love"", ""Get Down Tonight"", ""Boogie Shoes"", ""Please Don't Go"" and ""Give It Up"".","['Their best-known songs include the disco hits ""That\'s the Way (I Like It)"", ""(Shake, Shake, Shake) Shake Your Booty"", ""I\'m Your Boogie Man"", ""Keep It Comin\' Love"", ""Get Down Tonight"", ""Boogie Shoes"", ""Please Don\'t Go"" and ""Give It Up"".']","Their best-known songs include the [MASK] hits ""That's the Way (I Like It)"", ""(Shake, Shake, Shake) Shake Your Booty"", ""I'm Your Boogie Man"", ""Keep It Comin' Love"", ""Get Down Tonight"", ""Boogie Shoes"", ""Please Don't Go"" and ""Give It Up"".",,
199,Rising Damp,[X] plays [Y] music .,BBC,"Richard Arthur Beckinsale (6 July 1947 – 19 March 1979) was an English actor, best known for his roles as Lennie Godber in the popular [MASK] sitcom Porridge (along with its sequel series Going Straight) and Alan Moore in the British sitcom Rising Damp.","Richard Arthur Beckinsale (6 July 1947 – 19 March 1979) was an English actor, best known for his roles as Lennie Godber in the popular BBC sitcom Porridge (along with its sequel series Going Straight) and Alan Moore in the British sitcom Rising Damp.","['richard arthur beckinsale 7 july 1947 19 march 1979 was an english actor best known for his roles as lennie godber in the popular bbc sitcom porridge along with its sequel series going straight and alan moore in the british sitcom rising damp', 'richard arthur beckinsale 6 july 1947 19 march 1979 was an english actor best known for his roles as lennie godber in the popular bbc sitcom porridge along with its sequel series going straight and alan moore in the british sitcom rising damp']",richard arthur beckinsale 7 july 1947 19 march 1979 was an english actor best known for his roles as lennie godber in the popular BBC BBC porridge along with its sequel series going straight and alan moore in the british [MASK] rising damp,richard arthur beckinsale 6 july 1947 19 march 1979 was an english actor best known for his roles as lennie godber in the popular BBC BBC porridge along with its sequel series going straight and alan moore in the british [MASK] rising damp,
200,Paddy Milner,[X] plays [Y] music .,jazz,"Paddy Milner's music shows many influences ranging from pop-rock through to [MASK], classical and British folk.","Paddy Milner's music shows many influences ranging from pop-rock through to jazz, classical and British folk.","[""paddy milner's music shows many influences from pop-rock to jazz classical and british folk"", ""paddy milner's music has many influences ranging from pop-rock to jazz classical and british folk"", ""paddy milner's music shows many influences ranging from pop-rock to jazz classical and british folk""]",paddy milner's music shows many influences from pop-rock to [MASK] classical and british folk,paddy milner's music has many influences ranging from pop-rock to [MASK] classical and british folk,paddy milner's music shows many influences ranging from pop-rock to [MASK] classical and british folk
201,Trend Records,[X] plays [Y] music .,jazz,Trend Records was a post-World War II United States [MASK] record label.,Trend Records was a post-World War II United States jazz record label.,"['trend records was a united states jazz record label post-world war ii', 'trend records was a us post-world war ii jazz record label', 'trend records was a post-world war ii united states jazz record label']",trend records was a united states [MASK] record label post-world war ii,trend records was a us post-world war ii [MASK] record label,trend records was a post-world war ii united states [MASK] record label
202,The Wailers Band,[X] plays [Y] music .,reggae,"My Friends was a studio album by The Wailers Band, a [MASK] band.","My Friends was a studio album by The Wailers Band, a reggae band.","['My Friends was a studio album by The Wailers Band, a reggae band.']","My Friends was a studio album by The Wailers Band, a [MASK] band.",,
203,Arthur Goring Thomas,[X] plays [Y] music .,opera,Esmeralda is an [MASK] in four acts composed by Arthur Goring Thomas to an English-language libretto by Theo Marzials and Alberto Randegger based on Victor Hugo's novel The Hunchback of Notre-Dame.,Esmeralda is an opera in four acts composed by Arthur Goring Thomas to an English-language libretto by Theo Marzials and Alberto Randegger based on Victor Hugo's novel The Hunchback of Notre-Dame.,"[""esmeralda is an opera in four acts composed by arthur goring thomas with an english-language libretto by theo marzials and alberto randegger based on victor hugo's novel the hunchback of notre-dame"", ""esmeralda is an opera in four acts composed by arthur goring thomas in an english-language libretto by theo marzials and alberto randegger based on victor hugo's novel the hunchback of notre-dame"", ""esmeralda is an opera in four acts composed by arthur goring thomas to an english-language libretto by theo marzials and alberto randegger based on victor hugo's novel the hunchback of notre dame""]",esmeralda is an [MASK] in four acts composed by arthur goring thomas with an english-language libretto by theo marzials and alberto randegger based on victor hugo's novel the hunchback of notre-dame,esmeralda is an [MASK] in four acts composed by arthur goring thomas in an english-language libretto by theo marzials and alberto randegger based on victor hugo's novel the hunchback of notre-dame,esmeralda is an [MASK] in four acts composed by arthur goring thomas to an english-language libretto by theo marzials and alberto randegger based on victor hugo's novel the hunchback of notre dame
204,Jim Pugliese,[X] plays [Y] music .,jazz,"Jim Pugliese (born James Pugliese in Newark, New Jersey, 1952) is an American percussionist, drummer, composer and international recording artist on over ninety CDs of experimental, [MASK] and rock music.","Jim Pugliese (born James Pugliese in Newark, New Jersey, 1952) is an American percussionist, drummer, composer and international recording artist on over ninety CDs of experimental, jazz and rock music.","['Jim Pugliese (born James Pugliese in Newark, New Jersey, 1952) is an American percussionist, drummer, composer and international recording artist on over ninety CDs of experimental, jazz and rock music.']","Jim Pugliese (born James Pugliese in Newark, New Jersey, 1952) is an American percussionist, drummer, composer and international recording artist on over ninety CDs of experimental, [MASK] and rock music.",,
