,sub_label,template,obj_label,masked_sentence,Parrot_paraphrased_filled_sentence_0,Parrot_paraphrased_filled_sentence_1,Parrot_paraphrased_filled_sentence_2
154,David Kershenbaum,[X] was born in [Y] .,Springfield,"David Kershenbaum is an American record producer and entrepreneur, born in [MASK].",david kershenbaum is an american record producer and entrepreneur born in [MASK],,
155,Jake Burns,[X] was born in [Y] .,Belfast,"He toured briefly with the band Dark Lady supporting Jake Burns and the Big Wheel, notably at the Marquee Club in Wardour Street but then spent five years back in [MASK] teaching guitar until Stiff Little Fingers was reformed.","He toured briefly with the band Dark Lady supporting Jake Burns and the Big Wheel, notably at the Marquee Club in Wardour Street but then spent five years back in Belfast teaching guitar until Stiff Little Fingers was reformed.",,
156,Karl Kani,[X] was born in [Y] .,Brooklyn,"Karl Kani (/kəˈnaɪ/; born Carl Williams on May 23, 1968, [MASK] City) is the fashion designer, founder and CEO of the Hip Hop fashion brand Karl Kani.","Karl Kani (/kəˈnaɪ/; born Carl Williams on May 23, 1968, Brooklyn City) is the fashion designer, founder and CEO of the Hip Hop fashion brand Karl Kani.",,
157,Elsie Lefebvre,[X] was born in [Y] .,Montreal,"Elsie Lefebvre (born May 5, 1979 in [MASK]) is a Quebec politician.","Elsie Lefebvre (born May 5, 1979 in Montreal) is a Quebec politician.",,
158,Mizuki Fukumura,[X] was born in [Y] .,Tokyo,"Mizuki Fukumura (譜久村 聖 Fukumura Mizuki, born October 30, 1996 in [MASK]) is a Japanese pop singer.","Mizuki Fukumura (譜久村 聖 Fukumura Mizuki, born October 30, 1996 in Tokyo) is a Japanese pop singer.",,
159,Glenn Leonhard,[X] was born in [Y] .,Winnipeg,"Glenn Leonhard (born November 7, 1954 in [MASK]) is a former professional Canadian football offensive lineman who played ten seasons in the Canadian Football League for the BC Lions.",glenn leonhard born november 7 1954 in [MASK] is a former canadian professional football offensive lineman who played for the bc lions in the canadian football league for ten seasons,glenn leonhard born november 7 1954 in [MASK] is a former professional canadian football offensive lineman who played for bc lions for ten seasons in the canadian football league,glenn leonhard born november 7 1954 in [MASK] is a former professional canadian football offensive lineman who played ten seasons for the bc lions in the canadian football league
160,Ibn Hawqal,[X] was born in [Y] .,Baghdad,"Mansura was built on the shores of the Indus River, it was surrounded by fertile farmland, Ibn Hauqal mentioned the wealthy local merchants who wore [MASK] Costume and were of Sindhi-Arab origins, houses were made of clay, baked bricks and plaster.","Mansura was built on the shores of the Indus River, it was surrounded by fertile farmland, Ibn Hauqal mentioned the wealthy local merchants who wore Baghdad Costume and were of Sindhi-Arab origins, houses were made of clay, baked bricks and plaster.",,
161,Sujata Massey,[X] was born in [Y] .,Sussex,"Sujata Massey is a mystery writer born 1964 in [MASK], England who emigrated with her family to the United States at the age of 5.","Sujata Massey is a mystery writer born 1964 in Sussex, England who emigrated with her family to the United States at the age of 5.",,
162,Avie Bennett,[X] was born in [Y] .,Toronto,"Smaro Kamboureli is a Canadian poet and scholar who currently is a professor of English at the University of [MASK], where she also sits as the Avie Bennett Chair in Canadian Literature.",smaro kamboureli is a canadian poet and scholar who currently is a professor of english at the university of [MASK] where she also holds the avie bennett chair in canadian literature,smaro kamboureli is a canadian poet and scholar who currently is a professor of english at the university of [MASK] where she also sits as the avie bennett chair in canadian literature,
163,Amelia Opie,[X] was born in [Y] .,Norwich,"The Gildencroft Quaker Cemetery is a historic cemetery in Chatham Street, [MASK], Norfolk, England, where many of the city's Quakers were buried including the writer Amelia Opie.","The Gildencroft Quaker Cemetery is a historic cemetery in Chatham Street, Norwich, Norfolk, England, where many of the city's Quakers were buried including the writer Amelia Opie.",,
164,W. T. Cosgrave,[X] was born in [Y] .,Dublin,"Cosgrave remarried in 1923 and moved to [MASK], where he died at his residence at Baggot House, 91 Lower Baggot St.",in 1923 cosgrave remarried and moved to [MASK] where he died in baggot house 91 lower baggot st,,
165,"William Thomson, 1st Baron Kelvin",[X] was born in [Y] .,Belfast,"William Thomson, 1st Baron Kelvin OM GCVO PC PRS FRSE (/ˈkɛlvɪn/; 26 June 1824 – 17 December 1907) was an Irish mathematical physicist and engineer who was born in [MASK] in 1824.","William Thomson, 1st Baron Kelvin OM GCVO PC PRS FRSE (/ˈkɛlvɪn/; 26 June 1824 – 17 December 1907) was an Irish mathematical physicist and engineer who was born in Belfast in 1824.",,
166,Peter Bland,[X] was born in [Y] .,Scarborough,"Peter Bland (born 12 May 1934, in [MASK]) is a British-New Zealand poet and actor.","Peter Bland (born 12 May 1934, in Scarborough) is a British-New Zealand poet and actor.",,
167,Gordon Coppuck,[X] was born in [Y] .,Fleet,Gordon Coppuck (born 8 December 1936 in [MASK]) is a British racing car designer who was chief designer for McLaren and later worked for March and co-founded Spirit.,Gordon Coppuck (born 8 December 1936 in Fleet) is a British racing car designer who was chief designer for McLaren and later worked for March and co-founded Spirit.,,
168,Melinda Czink,[X] was born in [Y] .,Budapest,"Melinda Czink was the defending champion, but chose to participate in [MASK] instead.",,,
169,Gobind Singh Deo,[X] was born in [Y] .,Penang,He is the son of the late Karpal Singh and brother of Puchong MP Gobind Singh Deo and [MASK] ADUN for Datuk Keramat Jagdeep Singh Deo.,He is the son of the late Karpal Singh and brother of Puchong MP Gobind Singh Deo and Penang ADUN for Datuk Keramat Jagdeep Singh Deo.,,
170,Ahmad Ismail Ali,[X] was born in [Y] .,Egypt,"Ahmad Ismail Ali (Arabic: أحمد إسماعيل علي) (14 October 1917 – 26 December 1974) was the Commander-in-Chief of [MASK]'s army and minister of war during the October War of 1973, and is best known for his planning of the attack across the Suez Canal, code-named Operation Badr.","Ahmad Ismail Ali (Arabic: أحمد إسماعيل علي) (14 October 1917 – 26 December 1974) was the Commander-in-Chief of Egypt's army and minister of war during the October War of 1973, and is best known for his planning of the attack across the Suez Canal, code-named Operation Badr.",,
171,Charles Phelps Taft,[X] was born in [Y] .,Cincinnati,"Barbara Nelle Ramusack (born November 5, 1937) is a historian and Charles Phelps Taft Professor of History Emerita at the University of [MASK].",barbara nelle ramusack born 5 november 1937 is a historian and charles phelps taft professor of history at the university of [MASK],barbara nelle ramusack born november 5 1937 is a historian and charles phelps taft professor of history emerita at the university of [MASK],
172,William Lobb,[X] was born in [Y] .,Cornwall,"William Lobb (1809 – 3 May 1864) was a [MASK] plant collector, employed by Veitch Nurseries of Exeter, who was responsible for the commercial introduction to England of Araucaria araucana (the monkey-puzzle tree) from Chile and the massive Sequoiadendron giganteum (Wellingtonia) from North America.",,,
173,Ahmad Zahir,[X] was born in [Y] .,Kabul,"Habibia High School (Persian: لیسه حبیبیه) is a school in [MASK], Afghanistan, which has educated many of the former and current Afghan elite, including President Hamid Karzai and the country's most famous musician Ahmad Zahir.","Habibia High School (Persian: لیسه حبیبیه) is a school in Kabul, Afghanistan, which has educated many of the former and current Afghan elite, including President Hamid Karzai and the country's most famous musician Ahmad Zahir.",,
174,Edward Henry,[X] was born in [Y] .,London,"Ball was born in Westminster, [MASK], the son of Edward Henry Ball, carver, and his wife Louisa, née Percival.",edward henry ball ball was born in London [MASK] the son of edward henry ball the carver and his wife louisa ne percival,ball was born in London [MASK] the son of edward henry ball carver and his wife louisa ne percival,
175,Nicky Barnes,[X] was born in [Y] .,Harlem,The Council was a drug and crime syndicate in New York City created by [MASK] gangster Nicky Barnes in the 1970s.,the council was a Harlem drug and crime syndicate created in the 1970s by [MASK] gangster nicky barnes,the council was a drug and crime syndicate in new york city established in the 1970s by [MASK] gangster nicky barnes,the council was a drug and crime syndicate in new york city founded in the 1970s by [MASK] gangster nicky barnes
176,Phyllis Baker,[X] was born in [Y] .,Marshall,"A native of [MASK], Phyllis Baker began playing sandlot ball with the neighborhood kids at a very early age, usually in the family yard next to the house at the corner.",a native of [MASK] phyllis baker began to play sandlot ball with the neighborhood kids at a very early age usually in the family yard next to the house at the corner,,
177,Herman Haupt,[X] was born in [Y] .,Philadelphia,"Herman Haupt ([MASK], March 26, 1817 – Jersey City, December 14, 1905) was an American civil engineer and railroad construction engineer and executive.","Herman Haupt (Philadelphia, March 26, 1817 – Jersey City, December 14, 1905) was an American civil engineer and railroad construction engineer and executive.",,
178,Alfred Adler,[X] was born in [Y] .,Vienna,"Adler received his initial musical training from his brother-in-law Ferenc Erkel and later studied in [MASK], before finally settling in Paris.",adler received his initial musical training from his brother-in-law ferenc erkel and studied at Vienna before finally settled in [MASK],he received his first musical training from his brother-in-law ferenc erkel and later studied in Vienna before finally settling in [MASK],adler received his initial musical training from his brother-in-law ferenc erkel and studied in Vienna before finally settling in [MASK]
179,Adriaan Pauw,[X] was born in [Y] .,Amsterdam,"He was born in [MASK] in a rich merchant family - his father, Reinier Pauw (1564–1636) wasn't only a merchant, but also a Mayor of Amsterdam - and studied law in Leiden.His brother Adriaan Pauw (1581 - February 21, 1653 ) was Grand Pensionary of Holland from 1631 to 1636 and from 1651 to 1653, and signatory of the Peace of Münster (1648) for which he was instrumental as ambassador for Holland.","He was born in Amsterdam in a rich merchant family - his father, Reinier Pauw (1564–1636) wasn't only a merchant, but also a Mayor of Amsterdam - and studied law in Leiden.His brother Adriaan Pauw (1581 - February 21, 1653 ) was Grand Pensionary of Holland from 1631 to 1636 and from 1651 to 1653, and signatory of the Peace of Münster (1648) for which he was instrumental as ambassador for Holland.",,
180,Kandi Burruss,[X] was born in [Y] .,Atlanta,"The track was written and produced by her fellow The Real Housewives of [MASK] cast member Kandi Burruss, and saw additional lyrical contributions from Zolciak, Joel Bowles, and Darnell Richard.","The track was written and produced by her fellow The Real Housewives of Atlanta cast member Kandi Burruss, and saw additional lyrical contributions from Zolciak, Joel Bowles, and Darnell Richard.",,
181,Georges Lentz,[X] was born in [Y] .,Luxembourg,"Georges Lentz is a contemporary composer and sound artist, born in [MASK] in 1965, and is that country's internationally best known composer.","Georges Lentz is a contemporary composer and sound artist, born in Luxembourg in 1965, and is that country's internationally best known composer.",,
182,Gloria Davy,[X] was born in [Y] .,Brooklyn,"Gloria Davy (March 29, 1931, [MASK] – November 28, 2012, Geneva) was a Swiss soprano of American birth who had an active international career in operas and concerts from the 1950s through the 1980s.","Gloria Davy (March 29, 1931, Brooklyn – November 28, 2012, Geneva) was a Swiss soprano of American birth who had an active international career in operas and concerts from the 1950s through the 1980s.",,
183,Fernando Vergara,[X] was born in [Y] .,Santiago,"Luis Fernando Vergara Meyland (born 13 May 1970 in [MASK]) is a retired Chilean football forward, who was nicknamed El Zamorano de los Pobres during his career.","Luis Fernando Vergara Meyland (born 13 May 1970 in Santiago) is a retired Chilean football forward, who was nicknamed El Zamorano de los Pobres during his career.",,
184,Adolf Schreyer,[X] was born in [Y] .,Frankfurt,"Adolf Schreyer (July 9, 1828 [MASK] – July 29, 1899 Kronberg im Taunus) was a German painter, associated with the Düsseldorf school of painting.",adolf schreyer 9 july 1828 [MASK] 29 july 1899 kronberg im taunus was a german painter associated with the school of painting in dsseldorf,adolf schreyer 9 july 1828 [MASK] 29 july 1899 kronberg im taunus was a german painter associated with the dsseldorf school of painting,
185,Ramil Guliyev,[X] was born in [Y] .,Baku,"Ramil Guliyev (Azerbaijani: Ramil Eldar oğlu Quliyev; born 29 May 1990 in [MASK], Azerbaijan) is an Azerbaijani-born Turkish sprint athlete.","Ramil Guliyev (Azerbaijani: Ramil Eldar oğlu Quliyev; born 29 May 1990 in Baku, Azerbaijan) is an Azerbaijani-born Turkish sprint athlete.",,
186,Chris Stringer,[X] was born in [Y] .,London,Chris Stringer of the Natural History Museum in [MASK] has suggested that these people could be a result of mating between Denisovans and modern humans.,chris stringer of the natural history museum in [MASK] suggests that these people may be a result of the mating between denisovans and modern humans,chris stringer of the natural history museum in [MASK] has suggested that these people may be the result of mating between denisovans and modern humans,chris stringer of the natural history museum [MASK] has suggested that these people could be a result of mating between denisovans and modern humans
187,Salvatore Lo Piccolo,[X] was born in [Y] .,Palermo,Among the other members of the directorate were Salvatore Lo Piccolo from [MASK]; Benedetto Spera from Belmonte Mezzagno; Salvatore Rinella from Trabia; Giuseppe Balsano from Monreale; Matteo Messina Denaro from Castelvetrano; Vincenzo Virga from Trapani; and Antonino Giuffrè from Caccamo.,Among the other members of the directorate were Salvatore Lo Piccolo from Palermo; Benedetto Spera from Belmonte Mezzagno; Salvatore Rinella from Trabia; Giuseppe Balsano from Monreale; Matteo Messina Denaro from Castelvetrano; Vincenzo Virga from Trapani; and Antonino Giuffrè from Caccamo.,,
188,Travis Gregg,[X] was born in [Y] .,Camden,"Travis Gregg (born March 28, 1978) is an American racing driver from [MASK].",travis gregg born 28 march 1978 is an american race driver from [MASK],travis gregg born march 28 1978 is an american race driver from [MASK],
189,Franz Delitzsch,[X] was born in [Y] .,Leipzig,"Mulder composed at this time a Hebrew romance, ""Beruria,"" and a psalm (see Delitzsch, ""Zur Geschichte der Jüdischen Poesie,"" [MASK], 1836).",at this time mulder composed a hebrew romance beruria and a psalm see delitzsch zur geschichte der jdischen poesie [MASK] 1836,,
190,Madhur Bhandarkar,[X] was born in [Y] .,Mumbai,Page 3 is a 2005 Indian drama film directed by Madhur Bhandarkar and produced by Bobby Pushkarna and Kavita Pushkarna about the Page 3 culture and media in the city of [MASK].,page 3 is an indian drama film directed by madhur bhandarkar and produced by bobby pushkarna and kavita pushkarna about the page 3 culture and media in the city of [MASK],,
191,Marin Barbu,[X] was born in [Y] .,Bucharest,Marin Barbu (born 27 September 1958 in [MASK]) is a Romanian football coach and former footballer.,Marin Barbu (born 27 September 1958 in Bucharest) is a Romanian football coach and former footballer.,,
192,Chus Lampreave,[X] was born in [Y] .,Madrid,"Chus Lampreave (born 11 December 1930, [MASK]) is a Spanish actress.",,,
193,Damon Che,[X] was born in [Y] .,Pittsburgh,"Damon Che (born Damon Che Fitzgerald, [MASK]) is a rock drummer and guitarist.",damon che fitzgerald damon che Pittsburgh is a [MASK]-born rock drummer and guitarist,,
194,Lutz Heck,[X] was born in [Y] .,Berlin,"Ludwig Georg Heinrich Heck, called Lutz Heck (23 April 1892 in [MASK] – 6 April 1983 in Berlin) was a German zoologist, animal researcher, animal book author and director of the large zoo in the German capital city (Zoologischer Garten Berlin).","Ludwig Georg Heinrich Heck, called Lutz Heck (23 April 1892 in Berlin – 6 April 1983 in Berlin) was a German zoologist, animal researcher, animal book author and director of the large zoo in the German capital city (Zoologischer Garten Berlin).",,
195,Otto Jelinek,[X] was born in [Y] .,Prague,[MASK] hometown favorites Eva Romanová / Pavel Roman won the dance event - breaking the British domination of this discipline - and Canadians Maria Jelinek / Otto Jelinek were the winners in the pairs.,Prague hometown favorites Eva Romanová / Pavel Roman won the dance event - breaking the British domination of this discipline - and Canadians Maria Jelinek / Otto Jelinek were the winners in the pairs.,,
196,Francis Hauksbee,[X] was born in [Y] .,Colchester,"The son of draper Richard Hauksbee, he was baptized on 27 May 1660 in [MASK].",baptized in [MASK] on 27 may 1660 the son of draper richard hauksbee,son of draper richard hauksbee he was baptized in [MASK] on may 27 1660,he was the son of draper richard hauksbee baptized on 27 may 1660 in [MASK]
197,Bruno Frank,[X] was born in [Y] .,Stuttgart,"Bruno Frank ([MASK], June 13, 1887 - Beverly Hills, June 20, 1945) was a German author, poet, dramatist, and humanist.","Bruno Frank (Stuttgart, June 13, 1887 - Beverly Hills, June 20, 1945) was a German author, poet, dramatist, and humanist.",,
198,William John Burchell,[X] was born in [Y] .,Fulham,"William John Burchell (23 July 1781 [MASK], London - 23 March 1863 Fulham) was an English explorer, naturalist, traveller, artist and author.","William John Burchell (23 July 1781 Fulham, London - 23 March 1863 Fulham) was an English explorer, naturalist, traveller, artist and author.",,
199,Bodin Issara,[X] was born in [Y] .,Bangkok,Bodin Isara (born 12 December 1990 in [MASK]) is male badminton player from Thailand.,Bodin Isara (born 12 December 1990 in Bangkok) is male badminton player from Thailand.,,
200,Ferdinand Bruckner,[X] was born in [Y] .,Sofia,"Ferdinand Bruckner (born Theodor Tagger; 26 August 1891, in [MASK], Bulgaria – 5 December 1958, in Berlin) was an Austrian-German writer and theater manager.","Ferdinand Bruckner (born Theodor Tagger; 26 August 1891, in Sofia, Bulgaria – 5 December 1958, in Berlin) was an Austrian-German writer and theater manager.",,
201,Sergey Lavrov,[X] was born in [Y] .,Moscow,"It was founded in [MASK] in 1880 by Vukol Lavrov, closed in 1918 by Bolsheviks, resurrected abroad first in Sofia, then Prague and in Paris.",it was founded by vukol lavrov in 1880 in Moscow and closed in 1918 by the bolsheviks and resurrected abroad first in Moscow then in Moscow and in [MASK],,
202,Beppe Gambetta,[X] was born in [Y] .,Genoa,Beppe Gambetta is an Italian musician born in [MASK] in 1955.,gambetta beppe is an italian musician born in 1955 in [MASK],beppe gambetta is an italian musician born in 1955 in Genoa [MASK],beppe gambetta is an italian musician born 1955 in [MASK]
203,Jacqueline Beer,[X] was born in [Y] .,Paris,"Jacqueline Beer (born Jacqueline Vangramberg on October 14, 1932 in [MASK]), sometimes credited as Jacqueline Baer, is a former Hollywood film and television actress who was Miss France in the 1954 Miss Universe Pageant.","Jacqueline Beer (born Jacqueline Vangramberg on October 14, 1932 in Paris), sometimes credited as Jacqueline Baer, is a former Hollywood film and television actress who was Miss France in the 1954 Miss Universe Pageant.",,
204,Konrad Lorenz,[X] was born in [Y] .,Vienna,From 1946 to 1948 he was research associate at the Biological Station Wilhelminenberg near [MASK] and became research associate of the Institute for Comparative Behavior Studies in Altenberg near Vienna with Konrad Lorenz in 1949.,from 1946 to 1948 he was a research associate at the wilhelminenberg biological station near [MASK] and from 1949 with konrad lorenz was a research associate at the institute for comparative behavior studies at altenberg,from 1946 to 1948 he was research associate at the biological station wilhelminenberg near [MASK] and became research associate in 1949 with konrad lorenz at the institute for comparative behavior studies in altenberg,he was a research associate at the biological station wilhelminenberg near Vienna from 1946 to 1948 and as researcher associate at the institute for comparative behavior studies in altenberg near [MASK] with konrad lorenz in 1949
205,Melanie Klein,[X] was born in [Y] .,Vienna,The controversial discussions were a protracted series of meetings of the British Psychoanalytical Society which took place between October 1942 and February 1944 between the [MASK] school and the supporters of Melanie Klein.,the controversial discussions were a protracted series of meetings of the british psychoanalytical society which took place between october 1942 and february 1944 between the [MASK] school and supporters of melanie klein,the controversial discussions were a protracted series of meetings of the british psychoanalytical society which took place between october 1942 and february 1944 between the [MASK] school and the supporters of melanie klein,
206,John Frederick Maurice,[X] was born in [Y] .,London,"Major-General Sir John Frederick Maurice (1841–1912) was an English soldier, born in [MASK].",major general sir john frederick maurice 18411912 was an english soldier born in [MASK],major-general sir john frederick maurice 18411912 was an english soldier born in [MASK],
207,Hank Shaw,[X] was born in [Y] .,London,"He was one of the founding members of [MASK]'s Club Eleven, and played there in a band with Ronnie Scott, Hank Shaw, Tommy Pollard, and Tony Crombie.",he was one of the founding members of [MASK]'s club eleven and played in a band with tony crombie hank shaw ronnie scott and,he was one of the founding members of [MASK]'s club eleven and played there in a band with tony crombie hank shaw ronnie scott and,he was one of the founding members of [MASK] club eleven and played in a band with ronnie scott hank shaw tommy pollard and tony crombie
208,Michel Brault,[X] was born in [Y] .,Montreal,"Wrestling (Original French title: La lutte) is a 1961 documentary film about professional wrestling in [MASK], co-directed by Michel Brault, Marcel Carrière, Claude Fournier and Claude Jutra.",wrestling original french title la lutte is a 1961 documentary film about professional wrestling in [MASK] directed by michel brault marcel carrire claude fournier and claude jutra,wrestling original french title la lutte is a 1961 documentary film about professional wrestling in [MASK] co-directed by michel brault marcel carrire claude fournier and claude jutra,
209,Joseph McMoneagle,[X] was born in [Y] .,Miami,"Joseph McMoneagle (born January 10, 1946 in [MASK]) is a retired U.S.",,,
210,Pedro Julio Serrano,[X] was born in [Y] .,Ponce,"Pedro Julio Serrano (born October 2, 1974 in [MASK]) is a human rights activist and President of Puerto Rico Para Tod@s, a non-profit organization that strives for inclusion of lesbian, gay, bisexual and transgender (LGBT) individuals and for social justice for all in Puerto Rico since 2003.","Pedro Julio Serrano (born October 2, 1974 in Ponce) is a human rights activist and President of Puerto Rico Para Tod@s, a non-profit organization that strives for inclusion of lesbian, gay, bisexual and transgender (LGBT) individuals and for social justice for all in Puerto Rico since 2003.",,
211,Bernardo Bellotto,[X] was born in [Y] .,Venice,"He shares the same name with the younger brother of Bernardo Bellotto, a [MASK] vedute painter, nephew of Canaletto.",he shares the same name with the younger brother of bernardo bellotto a venetian vedute painter nephew of canaletto,,
212,Joseph Cogswell,[X] was born in [Y] .,Ipswich,"Joseph Green Cogswell ([MASK] September 27, 1786 – November 26, 1871 Cambridge, Massachusetts) was a librarian, bibliographer and an innovative educator.","Joseph Green Cogswell (Ipswich September 27, 1786 – November 26, 1871 Cambridge, Massachusetts) was a librarian, bibliographer and an innovative educator.",,
213,Clement Martyn Doke,[X] was born in [Y] .,Bristol,"Clement Martyn Doke (16 May 1893 in [MASK], United Kingdom – 24 February 1980 in East London, South Africa) was a South African linguist working mainly on African languages.","Clement Martyn Doke (16 May 1893 in Bristol, United Kingdom – 24 February 1980 in East London, South Africa) was a South African linguist working mainly on African languages.",,
214,Abd al-Qadir al-Husayni,[X] was born in [Y] .,Jerusalem,"Husseini was born in Baghdad, son of Abd al-Qadir al-Husayni, commander of local Arab forces during the siege of 1948, grandson of Musa Kazim Pasha Al-Husseini Mayor of [MASK] and a relative of Haj Mohammad Amin al-Husayni, the former Grand Mufti of Jerusalem.",,,
215,John Lavington Bonython,[X] was born in [Y] .,Adelaide,"In 1930 he married Elizabeth (Betty) Hornabrook Bonython (25 January 1907 – 25 September 2008), born in [MASK], the eldest daughter of Adelaide Advertiser editor, and Lord mayor of Adelaide, Sir John Lavington Bonython (1875–1960) and his first wife Blanche Ada Bray (1881–1908).",,,
216,"Elizabeth Boleyn, Countess of Wiltshire",[X] was born in [Y] .,Norfolk,"[MASK] was the second cousin of Queen Elizabeth I through her maternal grandmother, Lady Elizabeth Howard, and he was trusted with public office despite his family's history and leanings towards Catholicism (although he was brought up a Protestant).","Norfolk was the second cousin of Queen Elizabeth I through her maternal grandmother, Lady Elizabeth Howard, and he was trusted with public office despite his family's history and leanings towards Catholicism (although he was brought up a Protestant).",,
217,James Northcote,[X] was born in [Y] .,Plymouth,James Northcote RA ([MASK] 22 October 1746 – 13 July 1831 London) was an English painter.,James Northcote RA (Plymouth 22 October 1746 – 13 July 1831 London) was an English painter.,,
218,Henry Kirke White,[X] was born in [Y] .,Nottingham,"Henry Kirke White, the [MASK] poet to whom are attributed the words of the hymn ""Oft in danger Oft in woe"", was educated at the rectory in 1804-05.",henry kirke white the [MASK] poet to whom are attributed the words of the hymn oft in danger oft in woe was educated at the rectory in 1804-05,,
219,Ryan Archibald,[X] was born in [Y] .,Auckland,"Ryan Archibald (born 1 September 1980 in [MASK]) is a field hockey player from New Zealand, who earned his first cap for the national team, nicknamed The Black Sticks, in 1997 against Malaysia.","Ryan Archibald (born 1 September 1980 in Auckland) is a field hockey player from New Zealand, who earned his first cap for the national team, nicknamed The Black Sticks, in 1997 against Malaysia.",,
220,Atul Chitnis,[X] was born in [Y] .,Berlin,"On 16 September 2006, she participated in two panels at Wizards of OS 4 in [MASK]; Weiden was one of the speakers in The Future of Free Software, together with Atul Chitnis and Federico Heinz.","On 16 September 2006, she participated in two panels at Wizards of OS 4 in Berlin; Weiden was one of the speakers in The Future of Free Software, together with Atul Chitnis and Federico Heinz.",,
221,Giulio Romano,[X] was born in [Y] .,Rome,"He was a pupil of Luca Signorelli, and aided Giulio Romano at [MASK].",he was a pupil of luca signorelli and aided giulio romano in [MASK],he was a pupil of luca signorelli and aided giulio romano at [MASK],
222,Joseph Paul Forgas,[X] was born in [Y] .,Budapest,"Joseph Paul Forgas ([MASK], Hungary, 16 May 1947.-) is an Australian social psychologist, currently Scientia Professor at the University of New South Wales, Sydney, Australia.","Joseph Paul Forgas (Budapest, Hungary, 16 May 1947.-) is an Australian social psychologist, currently Scientia Professor at the University of New South Wales, Sydney, Australia.",,
223,Michael Lipman,[X] was born in [Y] .,London,"Michael Lipman (born 16 January 1980 in [MASK]) is an English rugby union footballer, who plays at Flanker, and is contracted to the Melbourne Rebels.",michael lipman born january 16 1980 in London is an english rugby union footballer who plays at flanker and is contracted to the [MASK] rebels,,
224,Shawn Toovey,[X] was born in [Y] .,Lincoln,"Shawn Toovey (born March 1, 1983 in [MASK], U.S.)",,,
225,William Carlos Williams,[X] was born in [Y] .,Rutherford,"The William Carlos Williams Center is a private, not for profit performing arts and cinema complex located in downtown [MASK].",the william carlos williams center is a private arts and cinema complex located in downtown [MASK] and is a private non-profit institution,the william carlos williams center is a private not for profit theater and performance complex located in downtown [MASK],the william carlos williams center is a private performing arts and cinema complex situated in downtown [MASK]
226,Adolphe d'Ennery,[X] was born in [Y] .,Paris,"Jules-Henri Brésil (8 May 1818, [MASK] – 22 October 1899, Paris) was a French writer who collaborated with Adolphe d'Ennery on the librettos of at least two operas, namely the following:",jules-henri brsil may 8 1818 Paris october 22 1899 [MASK] was a french writer who collaborated with adolphe d'ennery on the librettos of at least two operas namely,,
227,Fox Butterfield,[X] was born in [Y] .,Lancaster,Fox Butterfield (born 1939 in [MASK]) is an American journalist who spent much of his 30-year career reporting for The New York Times.,fox butterfield born in [MASK] in 1939 is an american journalist who spent much of his 30-year career writing for the new york times,fox butterfield born 1939 in [MASK] is an american journalist who spent much of his career reporting for the new york times,fox butterfield born 1939 in [MASK] is an american journalist who spent much of his 30-year career reporting for the new york times
228,Leroy Wallace,[X] was born in [Y] .,Jamaica,"The album includes contributions from some of [MASK]'s top session musicians including Leroy ""Horsemouth"" Wallace, Noel ""Scully"" Simms, Eric ""Bingy Bunny"" Lamont, Gladstone Anderson and Ansell Collins, with harmony vocals provided by Don Carlos, Lacksley Castell and Ashanti Waugh.",the album includes contributions of some of [MASK]'s top session musicians including leroy horsemouth wallace noel scully simms eric bingy bunny lamont gladstone anderson and ansell collins with harmony vocals provided by don carlos lacksley castell and,,
229,Eberhard Koebel,[X] was born in [Y] .,Stuttgart,"Eberhard Koebel was born in [MASK] on June 22, 1907.",eberhard koebel was born june 22 1907 in [MASK],eberhard koebel was born on 22 june 1907 in [MASK],eberhard koebel was born on june 22 1907 in [MASK]
230,Max Bunker,[X] was born in [Y] .,Milan,"Max Bunker, pseudonym of Luciano Secchi ( [MASK], 24 August 1939), is an Italian comic book writer, best known as author of Alan Ford in 1969.","Max Bunker, pseudonym of Luciano Secchi ( Milan, 24 August 1939), is an Italian comic book writer, best known as author of Alan Ford in 1969.",,
231,Elisar von Kupffer,[X] was born in [Y] .,Tallinn,"Elisar von Kupffer (1872 in [MASK], Estonia – 1942) was a Baltic German artist, anthologist, poet, historian, translator, and playwright.","Elisar von Kupffer (1872 in Tallinn, Estonia – 1942) was a Baltic German artist, anthologist, poet, historian, translator, and playwright.",,
232,Ray Loriga,[X] was born in [Y] .,Madrid,"Jorge Loriga Torrenova also known as Ray Loriga, is a Spanish author, screenwriter, and director (born [MASK], 1967).","Jorge Loriga Torrenova also known as Ray Loriga, is a Spanish author, screenwriter, and director (born Madrid, 1967).",,
233,"Harold Lever, Baron Lever of Manchester",[X] was born in [Y] .,Manchester,"(Norman) Harold Lever, Baron Lever of [MASK], PC (15 January 1914 – 6 August 1995) was a British barrister and Labour Party politician.","(Norman) Harold Lever, Baron Lever of Manchester, PC (15 January 1914 – 6 August 1995) was a British barrister and Labour Party politician.",,
234,Geoffrey Mander,[X] was born in [Y] .,Wolverhampton,"Sir Geoffrey Le Mesurier Mander (6 March 1882 – 9 September 1962), was a Midland industrialist and chairman of Mander Brothers Ltd., paint and varnish manufacturers in [MASK], England, an art collector and radical parliamentarian.",,,
235,Ausonius,[X] was born in [Y] .,Bordeaux,The 4th-century [MASK] poet Ausonius teases a friend as a Baiocassis who claimed to be of druidic heritage and descended from priests of Belenus.,The 4th-century Bordeaux poet Ausonius teases a friend as a Baiocassis who claimed to be of druidic heritage and descended from priests of Belenus.,,
