Unnamed: 0,sub_label,template,obj_label,masked_sentence,filled_sentence,paraphrase
122,Charles II of Spain,[X] is [Y] citizen .,Spain,"Claude Lamoral, 3rd Prince of Ligne, Prince of Epinoy, Marquis of Roubaix and Count of Fauquemberg (8 October 1618 – 21 December 1679), was a nobleman from the Spanish Netherlands, military and diplomate in the service of Philip IV of [MASK] and Charles II of Spain .","Claude Lamoral, 3rd Prince of Ligne, Prince of Epinoy, Marquis of Roubaix and Count of Fauquemberg (8 October 1618 – 21 December 1679), was a nobleman from the Spanish Netherlands, military and diplomate in the service of Philip IV of Spain and Charles II of Spain .","[('Claude Lamoral, 3rd Prince of Ligne, Prince of Epinoy, Marquis of Roubaix and Count of Fauquemberg (8 October 1618 – 21 December 1679), was a nobleman from the Spanish Netherlands, military and diplomate in the service of Philip IV of Spain and Charles II of Spain .', 0)]"
163,Jean Baptiste Abbeloos,[X] is [Y] citizen .,Belgium,"Quadrophonia were a Dutch/[MASK] electronic music collective, formed by Olivier Abbeloos (also known as part of T99) and Lucien Foort in the late 1980s, with several of their tracks performed by Marvin D (Marvin Tholen).","Quadrophonia were a Dutch/Belgium electronic music collective, formed by Olivier Abbeloos (also known as part of T99) and Lucien Foort in the late 1980s, with several of their tracks performed by Marvin D (Marvin Tholen).","[('Quadrophonia were a Dutch/Belgium electronic music collective, formed by Olivier Abbeloos (also known as part of T99) and Lucien Foort in the late 1980s, with several of their tracks performed by Marvin D (Marvin Tholen).', 0)]"
166,Timothy Anglin,[X] is [Y] citizen .,Canada,"Timothy Warren Anglin (August 31, 1822 – May 4, 1896) was a [MASK] politician and Speaker of the Canadian House of Commons.","Timothy Warren Anglin (August 31, 1822 – May 4, 1896) was a Canada politician and Speaker of the Canadian House of Commons.","[('Timothy Warren Anglin (August 31, 1822 – May 4, 1896) was a Canada politician and Speaker of the Canadian House of Commons.', 0)]"
170,Hanan al-Shaykh,[X] is [Y] citizen .,Lebanon,"She has translated numerous literary works from Arabic to English, including several by the [MASK] author Hanan al-Shaykh.","She has translated numerous literary works from Arabic to English, including several by the Lebanon author Hanan al-Shaykh.","[('she has translated numerous literary works from arabic to english including several works by the lebanon author hanan al-shaykh', 19), ('she has translated numerous literary works from arabic to english including some by the lebanon author hanan al-shaykh', 18), ('she has translated numerous literary works from arabic to english including several by the libyan author hanan al-shaykh', 17), ('she has translated numerous literary works from arabic to english including several by the lebanese author hanan al-shaykh', 16), ('she has translated numerous literary works from arabic into english including several by the lebanon author hanan al-shaykh', 15), ('she has translated numerous literary works from arabic to english including several by the lebanon author hanan al-shaykh', 13)]"
174,Art mac Cuinn,[X] is [Y] citizen .,Ireland,"Art mac Cuinn (""son of Conn""), also known as Art Óenfer (literally ""one man"", used in the sense of ""lone"", ""solitary"", or ""only son""), was, according to medieval Irish legend and historical tradition, a High King of [MASK].","Art mac Cuinn (""son of Conn""), also known as Art Óenfer (literally ""one man"", used in the sense of ""lone"", ""solitary"", or ""only son""), was, according to medieval Irish legend and historical tradition, a High King of Ireland.","[('Art mac Cuinn (""son of Conn""), also known as Art Óenfer (literally ""one man"", used in the sense of ""lone"", ""solitary"", or ""only son""), was, according to medieval Irish legend and historical tradition, a High King of Ireland.', 0)]"
176,Kristy Sargeant,[X] is [Y] citizen .,Canada,"She is the elder sister of Kristy Sargeant, a former pair skater for [MASK].","She is the elder sister of Kristy Sargeant, a former pair skater for Canada.","[('she is the elder sister of kristy sargeant who was a former pair skater for canada', 21), ('she is the elder sister of kristy sargeant a former pair skater for canada', 13)]"
177,Ely Guerra,[X] is [Y] citizen .,Mexico,"Ely Guerra (born Elizabeth Guerra Vázquez, February 13, 1972) is a Mexican singer-songwriter who was raised in Monterrey, Nuevo Leon, [MASK].","Ely Guerra (born Elizabeth Guerra Vázquez, February 13, 1972) is a Mexican singer-songwriter who was raised in Monterrey, Nuevo Leon, Mexico.","[('Ely Guerra (born Elizabeth Guerra Vázquez, February 13, 1972) is a Mexican singer-songwriter who was raised in Monterrey, Nuevo Leon, Mexico.', 0)]"
179,Felix Plater,[X] is [Y] citizen .,Switzerland,"Felix Plater (or Platter) (October 28, 1536 – July 28, 1614) was a [MASK] physician, professor in Basel, well known for his classification of psychiatric diseases, and was also the first to describe an intracranial tumour (a meningioma).","Felix Plater (or Platter) (October 28, 1536 – July 28, 1614) was a Switzerland physician, professor in Basel, well known for his classification of psychiatric diseases, and was also the first to describe an intracranial tumour (a meningioma).","[('Felix Plater (or Platter) (October 28, 1536 – July 28, 1614) was a Switzerland physician, professor in Basel, well known for his classification of psychiatric diseases, and was also the first to describe an intracranial tumour (a meningioma).', 0)]"
181,Borys Kolesnikov,[X] is [Y] citizen .,Ukraine,"Borys Kolesnikov, a prominent Ukrainian politician and businessman, purchased the team in 2010, and from then until 2014 it was the most successful hockey club in [MASK].","Borys Kolesnikov, a prominent Ukrainian politician and businessman, purchased the team in 2010, and from then until 2014 it was the most successful hockey club in Ukraine.","[('uffed in 2010 borys kolesnikov a prominent ukrainian politician and businessman purchased the team and from then until 2014 it was the most successful hockey club in ukraine', 22), ('borys kolesnikov a prominent ukrainian politician and businessman bought the team in 2010 and from then until 2014 it was the most successful hockey club in ukraine', 21), ('borys kolesnikov a prominent ukrainian politician and businessman purchased the team in 2010 and from then on until 2014 it was the most successful hockey club in ukraine', 16), ('borys kolesnikov a prominent ukrainian politician and businessman purchased the team in 2010 and from then until 2014 it was the most successful hockey club in ukraine', 13)]"
183,Assif Tsahar,[X] is [Y] citizen .,Israel,"Assif Tsahar (born [MASK], June 11, 1969) is an Israeli tenor saxophonist and bass clarinetist.","Assif Tsahar (born Israel, June 11, 1969) is an Israeli tenor saxophonist and bass clarinetist.","[('Assif Tsahar (born Israel, June 11, 1969) is an Israeli tenor saxophonist and bass clarinetist.', 0)]"
185,Marek Niit,[X] is [Y] citizen .,Estonia,"Marek Niit (born August 9, 1987 in Kuressaare) is a male sprinter from [MASK] who won gold medal at the 200 metres at the 2006 World Junior Championships in Athletics in Beijing, China.","Marek Niit (born August 9, 1987 in Kuressaare) is a male sprinter from Estonia who won gold medal at the 200 metres at the 2006 World Junior Championships in Athletics in Beijing, China.","[('Marek Niit (born August 9, 1987 in Kuressaare) is a male sprinter from Estonia who won gold medal at the 200 metres at the 2006 World Junior Championships in Athletics in Beijing, China.', 0)]"
187,Marcel Trudel,[X] is [Y] citizen .,Canada,"Marcel Trudel, CC GOQ (May 29, 1917 – January 11, 2011) was a [MASK] historian, university professor (1947–1982) and author who published more than 40 books on the history of New France, scientifically re-written.","Marcel Trudel, CC GOQ (May 29, 1917 – January 11, 2011) was a Canada historian, university professor (1947–1982) and author who published more than 40 books on the history of New France, scientifically re-written.","[('Marcel Trudel, CC GOQ (May 29, 1917 – January 11, 2011) was a Canada historian, university professor (1947–1982) and author who published more than 40 books on the history of New France, scientifically re-written.', 0)]"
189,Fa Ngum,[X] is [Y] citizen .,Laos,":225–226 In 1359 the Khmer king gave the Phra Bang to his son-in-law, the first Lang Xang monarch Fa Ngum (1353-1373); to provide Buddhist legitimacy both to Fa Ngum's rule and by extension to the sovereignty of [MASK].",":225–226 In 1359 the Khmer king gave the Phra Bang to his son-in-law, the first Lang Xang monarch Fa Ngum (1353-1373); to provide Buddhist legitimacy both to Fa Ngum's rule and by extension to the sovereignty of Laos.","[("":225–226 In 1359 the Khmer king gave the Phra Bang to his son-in-law, the first Lang Xang monarch Fa Ngum (1353-1373); to provide Buddhist legitimacy both to Fa Ngum's rule and by extension to the sovereignty of Laos."", 0)]"
192,Lyuben Berov,[X] is [Y] citizen .,Bulgaria,"Stoyan Alexandrov ([MASK]: Стоян Александров, born 14 June 1949 in Iliya, Kystendil) is a Bulgarian economist, and former Minister of Finance under Prime Minister Lyuben Berov.","Stoyan Alexandrov (Bulgaria: Стоян Александров, born 14 June 1949 in Iliya, Kystendil) is a Bulgarian economist, and former Minister of Finance under Prime Minister Lyuben Berov.","[('Stoyan Alexandrov (Bulgaria: Стоян Александров, born 14 June 1949 in Iliya, Kystendil) is a Bulgarian economist, and former Minister of Finance under Prime Minister Lyuben Berov.', 0)]"
198,Luke Hemsworth,[X] is [Y] citizen .,Australia,"He has written and directed the feature films Crush (2009), starring Christopher Egan, Needle (2010), starring Michael Dorman, Jessica Marais, Travis Fimmel, Trilby Glover, and Ben Mendelsohn and The Reckoning (2014), starring Jonathan LaPaglia and Luke Hemsworth, which was released in [MASK] on September 5, 2014 after premiering at CinefestOZ on August 29.","He has written and directed the feature films Crush (2009), starring Christopher Egan, Needle (2010), starring Michael Dorman, Jessica Marais, Travis Fimmel, Trilby Glover, and Ben Mendelsohn and The Reckoning (2014), starring Jonathan LaPaglia and Luke Hemsworth, which was released in Australia on September 5, 2014 after premiering at CinefestOZ on August 29.","[('He has written and directed the feature films Crush (2009), starring Christopher Egan, Needle (2010), starring Michael Dorman, Jessica Marais, Travis Fimmel, Trilby Glover, and Ben Mendelsohn and The Reckoning (2014), starring Jonathan LaPaglia and Luke Hemsworth, which was released in Australia on September 5, 2014 after premiering at CinefestOZ on August 29.', 0)]"
199,Colman mac Duagh,[X] is [Y] citizen .,Ireland,"Saint Colman mac Duagh was born at Cork, Kiltartan, County Galway, [MASK], (c.","Saint Colman mac Duagh was born at Cork, Kiltartan, County Galway, Ireland, (c.","[('Saint Colman mac Duagh was born at Cork, Kiltartan, County Galway, Ireland, (c.', 0)]"
201,"Frank Oberle, Sr.",[X] is [Y] citizen .,Canada,"Frank Oberle, Sr., PC (born March 24, 1932) is a businessman and former [MASK] politician.","Frank Oberle, Sr., PC (born March 24, 1932) is a businessman and former Canada politician.","[('frank oberle sr pc born 24 march 1932 is a businessman and former canadian politician', 22)]"
203,Mario Aerts,[X] is [Y] citizen .,Belgium,"Mario Aerts (born 31 December 1974 in Herentals, [MASK]) is a former professional road bicycle racer, who competed between 1996 and 2011.","Mario Aerts (born 31 December 1974 in Herentals, Belgium) is a former professional road bicycle racer, who competed between 1996 and 2011.","[('Mario Aerts (born 31 December 1974 in Herentals, Belgium) is a former professional road bicycle racer, who competed between 1996 and 2011.', 0)]"
206,Terry Mosher,[X] is [Y] citizen .,Canada,"[MASK] authors published by the company included Giller Prize nominee Nancy Huston, Leacock Award winner Marsha Boulton, Arthur Ellis Award winner Rosemary Aubert, Trillium Award nominee Barry Callaghan, and Greg Gatenby, Kate Pullinger, AISLIN, Lisa Appignanesi, Anne DeGrace, Sondra Gotlieb, Rosemary Sullivan, Jack Granetstein, and John Brady among others.","Canada authors published by the company included Giller Prize nominee Nancy Huston, Leacock Award winner Marsha Boulton, Arthur Ellis Award winner Rosemary Aubert, Trillium Award nominee Barry Callaghan, and Greg Gatenby, Kate Pullinger, AISLIN, Lisa Appignanesi, Anne DeGrace, Sondra Gotlieb, Rosemary Sullivan, Jack Granetstein, and John Brady among others.","[('Canada authors published by the company included Giller Prize nominee Nancy Huston, Leacock Award winner Marsha Boulton, Arthur Ellis Award winner Rosemary Aubert, Trillium Award nominee Barry Callaghan, and Greg Gatenby, Kate Pullinger, AISLIN, Lisa Appignanesi, Anne DeGrace, Sondra Gotlieb, Rosemary Sullivan, Jack Granetstein, and John Brady among others.', 0)]"
207,Minamoto no Sanetomo,[X] is [Y] citizen .,Japan,"Started by Minamoto no Yoritomo and his son Sanetomo, the Bandō Sanjūsankasho is just one of 70 different Kannon pilgrimage circuits existing in [MASK], each including 33 temples because the Goddess is believed to have 33 different manifestations.","Started by Minamoto no Yoritomo and his son Sanetomo, the Bandō Sanjūsankasho is just one of 70 different Kannon pilgrimage circuits existing in Japan, each including 33 temples because the Goddess is believed to have 33 different manifestations.","[('Started by Minamoto no Yoritomo and his son Sanetomo, the Bandō Sanjūsankasho is just one of 70 different Kannon pilgrimage circuits existing in Japan, each including 33 temples because the Goddess is believed to have 33 different manifestations.', 0)]"
208,Abdul Malik Pahlawan,[X] is [Y] citizen .,Afghanistan,Abdul Malik Pahlawan is an Uzbek politician based in Faryab Province in northern [MASK].,Abdul Malik Pahlawan is an Uzbek politician based in Faryab Province in northern Afghanistan.,"[('abdul malik pahlawan is an uzbek politician who lives in faryab province in northern afghanistan', 21), ('abdul malik pahlawan is a uzbek politician based in the faryab province in northern afghanistan', 18), ('abdul malik pahlawan is an uzbek politician based in faryab province in north afghanistan', 16), ('abdul malik pahlawan is a uzbek politician based in faryab province in northern afghanistan', 14), ('abdul malik pahlawan is an uzbek politician based in faryab province in northern afghanistan', 13)]"
216,Blanca de Silos,[X] is [Y] citizen .,Spain,"In a Corner of [MASK] (Spanish:En un rincón de España) is a 1949 Spanish drama film directed by Jerónimo Mihura and starring Carlos Agostí, Juan de Landa and Blanca de Silos.","In a Corner of Spain (Spanish:En un rincón de España) is a 1949 Spanish drama film directed by Jerónimo Mihura and starring Carlos Agostí, Juan de Landa and Blanca de Silos.","[('en un rincn de espaa is a 1949 spanish drama film directed by jernimo mihura and starring carlos agost juan de landa and blanca de silos', 42), ('in a corner of spain spanishen un rincn de espaa is a 1949 spanish drama film directed by jernimo mihura and starring carlos agost juan de landa and blanca de silos', 14)]"
217,Gorm the Old,[X] is [Y] citizen .,Denmark,"The legendary kings of [MASK] are the predecessors of Gorm the Old, half history and half legend.","The legendary kings of Denmark are the predecessors of Gorm the Old, half history and half legend.","[('The legendary kings of Denmark are the predecessors of Gorm the Old, half history and half legend.', 0)]"
246,Gabriel Garcete,[X] is [Y] citizen .,Paraguay,"Gabriel Garcete Jimenez (born 7 January 1982 in Yegros, [MASK]) isa Paraguayan footballer.","Gabriel Garcete Jimenez (born 7 January 1982 in Yegros, Paraguay) isa Paraguayan footballer.","[('Gabriel Garcete Jimenez (born 7 January 1982 in Yegros, Paraguay) isa Paraguayan footballer.', 0)]"
248,Arthur Phillip,[X] is [Y] citizen .,Australia,"Admiral Arthur Phillip RN (11 October 1738 – 31 August 1814) was a Royal Navy officer, the first Governor of New South Wales and led the colonisation of what is now [MASK] and founded the British penal colony that later became the city of Sydney, Australia.","Admiral Arthur Phillip RN (11 October 1738 – 31 August 1814) was a Royal Navy officer, the first Governor of New South Wales and led the colonisation of what is now Australia and founded the British penal colony that later became the city of Sydney, Australia.","[('Admiral Arthur Phillip RN (11 October 1738 – 31 August 1814) was a Royal Navy officer, the first Governor of New South Wales and led the colonisation of what is now Australia and founded the British penal colony that later became the city of Sydney, Australia.', 0)]"
256,Johann Aegidius Bach,[X] is [Y] citizen .,Germany,"Johann Aegidius Bach (9 February 1645 – November 1716) was organist, violist, and municipal orchestra director of Erfurt, [MASK].","Johann Aegidius Bach (9 February 1645 – November 1716) was organist, violist, and municipal orchestra director of Erfurt, Germany.","[('Johann Aegidius Bach (9 February 1645 – November 1716) was organist, violist, and municipal orchestra director of Erfurt, Germany.', 0)]"
258,Katsuhiko Nagata,[X] is [Y] citizen .,Japan,"Katsuhiko Nagata (永田克彦 Nagata Katsuhiko, born on October 31, 1973 in Tōgane, Chiba, [MASK]) is a Japanese olympic wrestler and mixed martial artist, who won the silver medal in 63–69 kg Greco-Roman wrestling at the 2000 Summer Olympics.","Katsuhiko Nagata (永田克彦 Nagata Katsuhiko, born on October 31, 1973 in Tōgane, Chiba, Japan) is a Japanese olympic wrestler and mixed martial artist, who won the silver medal in 63–69 kg Greco-Roman wrestling at the 2000 Summer Olympics.","[('katsuhiko nagata nagata katsuhiko born 31 october 1973 in tgane chiba japan is a japanese olympic wrestler and mixed martial artist who won a silver medal in 6369 kg greco-roman wrestling at the 2000 summer olympics', 22)]"
260,Rodolfo Mederos,[X] is [Y] citizen .,Argentina,"They were also one of the major players in the tango-rock movement in [MASK] during that period, alongside Rodolfo Mederos's group and Invisible.","They were also one of the major players in the tango-rock movement in Argentina during that period, alongside Rodolfo Mederos's group and Invisible.","[(""They were also one of the major players in the tango-rock movement in Argentina during that period, alongside Rodolfo Mederos's group and Invisible."", 0)]"
261,Satoshi Tsumabuki,[X] is [Y] citizen .,Japan,"The film premiered on August 2, 2008 in [MASK] and stars Yosuke Eguchi, Aoi Miyazaki and Satoshi Tsumabuki.","The film premiered on August 2, 2008 in Japan and stars Yosuke Eguchi, Aoi Miyazaki and Satoshi Tsumabuki.","[('the film was released in japan on august 2 2008 and stars satoshi tsumabuki aoi miyazaki and yosuke eguchi', 65), ('the movie premiered in japan on august 2 2008 and stars satoshi tsumabuki aoi miyazaki and yosuke eguchi', 61), ('the film premiered in japan on 2 august 2008 and stars satoshi tsumabuki aoi miyazaki and yosuke eguchi', 59), ('the film premiered in japan on august 2 2008 and stars satoshi tsumabuki aoi miyazaki and yosuke eguchi', 57), ('the film premiered on 2 august 2008 in japan with stars satoshi tsumabuki aoi miyazaki and yosuke eguchi', 47)]"
262,Katerine Moreno,[X] is [Y] citizen .,Bolivia,Katerine Moreno de Quintanilla (born 4 May 1974 in Santa Cruz de la Sierra) is a retired swimmer from [MASK].,Katerine Moreno de Quintanilla (born 4 May 1974 in Santa Cruz de la Sierra) is a retired swimmer from Bolivia.,"[('katerine moreno de quintanilla born may 4 1974 in santa cruz de la sierra is a retired swimmer from bolivia', 17), ('katerine moreno de quintanilla born 4 may 1974 in santa cruz de la sierra is a retired swimmer from bolivia', 13)]"
267,Yuki Uchida,[X] is [Y] citizen .,Japan,"Junjou Karen Otome Moyou (純情可憐乙女模様) is Yuki Uchida's first album, released in [MASK] on 1995/02/08 on King Records label (reference: KICS-470).","Junjou Karen Otome Moyou (純情可憐乙女模様) is Yuki Uchida's first album, released in Japan on 1995/02/08 on King Records label (reference: KICS-470).","[(""Junjou Karen Otome Moyou (純情可憐乙女模様) is Yuki Uchida's first album, released in Japan on 1995/02/08 on King Records label (reference: KICS-470)."", 0)]"
272,Joan Burton,[X] is [Y] citizen .,Ireland,"Following the Irish general election, 2011 and a re-shuffle in 2014, four women were appointed cabinet ministers (the highest number of women in senior ministerial positions ever in [MASK]): Joan Burton, Frances Fitzgerald, Jan O'Sullivan and Heather Humphries.","Following the Irish general election, 2011 and a re-shuffle in 2014, four women were appointed cabinet ministers (the highest number of women in senior ministerial positions ever in Ireland): Joan Burton, Frances Fitzgerald, Jan O'Sullivan and Heather Humphries.","[(""following the 2011 irish general election and a reshuffle in 2014 four women cabinet ministers were appointed joan burton frances fitzgerald jan o'sullivan and heather humphries"", 104)]"
274,Fumihiko Maki,[X] is [Y] citizen .,Japan,"Spiral is a building by architect Fumihiko Maki in Aoyama, Tokyo, [MASK].","Spiral is a building by architect Fumihiko Maki in Aoyama, Tokyo, Japan.","[('spiral is a building designed by architect fumihiko maki in aoyama tokyo japan', 22)]"
275,Sachimi Iwao,[X] is [Y] citizen .,Japan,"Sachimi Iwao (岩尾 幸美 Iwao Sachimi) (born February 20, 1976 in Kokonoe, Oita) is a female field hockey player from [MASK].","Sachimi Iwao (岩尾 幸美 Iwao Sachimi) (born February 20, 1976 in Kokonoe, Oita) is a female field hockey player from Japan.","[('Sachimi Iwao (岩尾 幸美 Iwao Sachimi) (born February 20, 1976 in Kokonoe, Oita) is a female field hockey player from Japan.', 0)]"
277,John Queen,[X] is [Y] citizen .,Canada,"He was replaced as party leader by John Queen, formerly of the Social Democratic Party of [MASK].","He was replaced as party leader by John Queen, formerly of the Social Democratic Party of Canada.","[('as party leader he was replaced by john queen formerly a member of the social democrat party of canada', 38), ('he was replaced as party leader by john queen of the social democratic party of canada formerly', 30), ('he was replaced as party leader by john queen of the social democratic party of canada', 22), ('he was replaced as party leader by john queen former of the social democratic party of canada', 15), ('he was replaced as party leader by john queen formerly of the social democratic party of canada', 13)]"
279,Konosuke Matsushita,[X] is [Y] citizen .,Japan,"A native of Tamura, Fukushima and graduate of Sophia University, he was later accepted into the prestigious Matsushita Institute of Government and Management, an institution founded by Panasonic founder Konosuke Matsushita which grooms future civic leaders of [MASK].","A native of Tamura, Fukushima and graduate of Sophia University, he was later accepted into the prestigious Matsushita Institute of Government and Management, an institution founded by Panasonic founder Konosuke Matsushita which grooms future civic leaders of Japan.","[('a native of tamura fukushima and graduate of sophia university he was later accepted into the prestigious matsushita institute of government and management which is founded by panasonic founder konosuke matsushit', 69), ('a native of tamura fukushima and graduate of sophia university he was later accepted into the prestigious matsushita institute of government celebrated by panasonic founder konosuke matsushita which grooms future civic leaders of japan', 44), ('he is a native of tamura fukushima and a graduate of sophia university and was later accepted into the prestigious matsushita institute of government and management founded by panasonic founder konosuke matsushita which grooms future civic leaders', 40), ('a native of tamura fukushima and graduate of sophia university he was later accepted into the prestigious matsushita institute of government and management founded by panasonic founder konosuke matsushita which trains future civic leaders of', 38), ('a native of tamura fukushima and a graduate of sophia university he was later accepted at the prestigious matsushita institute of government and management founded by panasonic founder konosuke matsushita which grooms future civic leaders of japan', 33), ('a native of tamura fukushima and graduated from sophia university he was later accepted into the prestigious matsushita institute of government and management founded by panasonic founder konosuke matsushita which grooms future civic leaders of japan', 32), ('a native of tamura fukushima and a graduate of sophia university he was later accepted into the prestigious matsushita institute of government and management an institution founded by panasonic founder konosuke matsushita which grooms future civic leaders of', 21)]"
280,Manuel Uribe,[X] is [Y] citizen .,Mexico,"Manuel Uribe y Troncoso (17 June 1867, Toluca, Estado de México – 21 January 1959, New York City, USA) was a [MASK] ophthalmologist.","Manuel Uribe y Troncoso (17 June 1867, Toluca, Estado de México – 21 January 1959, New York City, USA) was a Mexico ophthalmologist.","[('Manuel Uribe y Troncoso (17 June 1867, Toluca, Estado de México – 21 January 1959, New York City, USA) was a Mexico ophthalmologist.', 0)]"
281,Malick Badiane,[X] is [Y] citizen .,Senegal,The only non-American player selected in the 2009 NBA Development League Expansion Draft was Malick Badiane of [MASK].,The only non-American player selected in the 2009 NBA Development League Expansion Draft was Malick Badiane of Senegal.,"[('the only non-american player selected in the nba development league expansion draft 2009 was malick badiane from senegal', 26), ('the only non-american player selected in the nba development league expansion draft 2009 was malick badiane of senegal', 23), ('the only non-american player selected in the 2009 nba development league expansion draft was malick badiane of senegal', 13)]"
282,Eduardo Schaerer,[X] is [Y] citizen .,Paraguay,Pedro Bobadilla was Vice President of [MASK] under Eduardo Schaerer.,Pedro Bobadilla was Vice President of Paraguay under Eduardo Schaerer.,"[('pedro bobadilla was the vice president of paraguay under eduardo schaerer', 17), ('pedro bobadilla was vice-president of paraguay under eduardo schaerer', 14), ('pedro bobadilla was vice president of paraguay under eduardo schaerer', 13)]"
283,Sayyed Imam Al-Sharif,[X] is [Y] citizen .,Egypt,"However, following the release of Sayyed Imam Al-Sharif's anti-terrorist manifesto Rationalizing Jihad in [MASK] and the World, he is reported to have ""declared on a Web site that he welcomed the rejection of violence as a means of fostering change in the Arab world"".","However, following the release of Sayyed Imam Al-Sharif's anti-terrorist manifesto Rationalizing Jihad in Egypt and the World, he is reported to have ""declared on a Web site that he welcomed the rejection of violence as a means of fostering change in the Arab world"".","[(""however after the publication of sayyed imam al-sharif's anti-terrorism manifesto rationalizing jihad in egypt and the world he is reported to have declared on a web site that he welcomed the rejection of violence as a"", 76), (""however after the release of sayyed imam al-sharif's anti-terrorist manifesto rationalizing jihad in egypt and the world he is reported to have declared on a web site that he welcomed the rejection of violence"", 71), (""however after the release of sayyed imam al-sharif's anti-terrorist manifesto rationalizing jihad in egypt and the world he is reported to have declared on a web site that he welcomed the rejection of violence as a"", 66), (""however after the release of sayyed imam al-sharif's anti-terrorist manifesto rationalizing jihad in egypt and the world he is reported to have declared on a web site that he welcomed the rejection of violence as a means of"", 57), (""however following the release of sayyed imam al-sharif's anti-terrorist manifesto rationalizing jihad in egypt and the world he is reported to have declared on a web site that he welcomed the rejection of violence as a means of"", 48), (""however following the release of sayyed imam al-sharif's anti-terrorist manifesto rationalizing jihad in egypt and the world he is reported to have declared on a web site that he welcomed the rejection of violence as a means of changing"", 40)]"
285,Jean Bobet,[X] is [Y] citizen .,France,Jean Bobet (born 22 February 1930 in Saint-Méen-le-Grand) is a [MASK] former road bicycle racer.,Jean Bobet (born 22 February 1930 in Saint-Méen-le-Grand) is a France former road bicycle racer.,"[('jean bobet born february 22 1930 in saint-men-le-grand is a former road bicycle racer from france', 37), ('jean bobet born february 22 1930 in saint-men-the-grand is a former french road bike racer', 35), ('jean bobet born february 22 1930 in saint-men-le-grand is a former french road bicycle racer', 29), ('jean bobet born february 22 1930 in saint-men-le-grand is a french former road bicycle racer', 21)]"
289,Ion Dragalina,[X] is [Y] citizen .,Romania,"Dragalina is a commune in Călăraşi County, [MASK], named after the Romanian general Ion Dragalina.","Dragalina is a commune in Călăraşi County, Romania, named after the Romanian general Ion Dragalina.","[('Dragalina is a commune in Călăraşi County, Romania, named after the Romanian general Ion Dragalina.', 0)]"
291,Adrian Knox,[X] is [Y] citizen .,Australia,"Sir Adrian Knox KCMG, KC (29 November 1863 – 27 April 1932), Australian judge, was the second Chief Justice of the High Court of [MASK], sitting on the bench of the High Court from 1919 to 1930.","Sir Adrian Knox KCMG, KC (29 November 1863 – 27 April 1932), Australian judge, was the second Chief Justice of the High Court of Australia, sitting on the bench of the High Court from 1919 to 1930.","[('Sir Adrian Knox KCMG, KC (29 November 1863 – 27 April 1932), Australian judge, was the second Chief Justice of the High Court of Australia, sitting on the bench of the High Court from 1919 to 1930.', 0)]"
293,Awang Hassan,[X] is [Y] citizen .,Malaysia,"Tan Sri Dato' Dr Yahya bin Awang (MBBS 1974), originally from Muar Johor, is a Malaysian cardiothoracic surgeon; born to the former state governor (Yang Di Pertua) of Pulau Pinang [MASK] (1981–1989), Tun Datuk Dr Haji Awang bin Hassan and Toh Puan Khadijah Abdul Rahman, sister of Tun Dr Ismail Abdul Rahman, the 2nd Deputy Prime Minister of Malaysia.","Tan Sri Dato' Dr Yahya bin Awang (MBBS 1974), originally from Muar Johor, is a Malaysian cardiothoracic surgeon; born to the former state governor (Yang Di Pertua) of Pulau Pinang Malaysia (1981–1989), Tun Datuk Dr Haji Awang bin Hassan and Toh Puan Khadijah Abdul Rahman, sister of Tun Dr Ismail Abdul Rahman, the 2nd Deputy Prime Minister of Malaysia.","[(""Tan Sri Dato' Dr Yahya bin Awang (MBBS 1974), originally from Muar Johor, is a Malaysian cardiothoracic surgeon; born to the former state governor (Yang Di Pertua) of Pulau Pinang Malaysia (1981–1989), Tun Datuk Dr Haji Awang bin Hassan and Toh Puan Khadijah Abdul Rahman, sister of Tun Dr Ismail Abdul Rahman, the 2nd Deputy Prime Minister of Malaysia."", 0)]"
