pred,obj_label,masked_sentence
IsA,Asatruar,Some pagans are [MASK].
IsA,mammals,Squirrels are [MASK].
IsA,fluid,Oil is a type of [MASK].
IsA,tool,A lever is a type of [MASK].
IsA,underarm,An oxter is an [MASK].
IsA,drug,Caffine is a [MASK].
IsA,adjective,New is a type of [MASK].
IsA,vegetable,Onion is a kind of [MASK].
IsA,company,Airbud is a kind of [MASK].
IsA,pouring,The rain is [MASK].
IsA,mammals,"Rodents are [MASK] with sharp teeth made for gnawing, like rats, mice, beavers, squirrels, hamsters and gerbils."
IsA,shellfish,Crabs are [MASK].
IsA,bird,Quetzal is a [MASK].
IsA,quanity,Amount is a [MASK].
IsA,grocers,Some people are [MASK].
IsA,sport,Golf is a spectator [MASK].
IsA,Area,[MASK] is a type of space.
IsA,cosmetic,Henna is a [MASK] used to decorate skin and hair.
IsA,officer,A mayor is a [MASK].
IsA,virtue,Loyalty is a kind of [MASK].
IsA,1cm,10mm is [MASK].
IsA,ga,Air is a kind of [MASK].
IsA,fungi,Mushrooms are [MASK].
IsA,emporium,A Botanica is an [MASK] that sells religious articles.
IsA,snack,Candy is a [MASK].
IsA,breathable,Skin is [MASK].
IsA,dog,Joy is a [MASK].
IsA,artifact,A rocket is an [MASK].
IsA,person,A cinematographer is a [MASK].
IsA,school,Life is [MASK].
IsA,food,"To understand the event ""Hugo ate lobster for dinner."", it is important to know that Hugo is old enough for solid [MASK]."
IsA,Gang,[MASK] is a type of bloods.
IsA,place,A statement 'is a great [MASK] to get an education' helps answer the question 'what is a college?'.
IsA,where,Mouth is a type of [MASK] eat.
IsA,xml,Svg is a type of [MASK].
IsA,Independency,Taiwan is a kind of [MASK].
IsA,not,Human beings do [MASK] have wings.
IsA,day,Wednesday is the third [MASK] of a business week.
IsA,dessert,You can eat chocolate for [MASK].
IsA,sport,"The statement ""Hockey is a [MASK] where you hit a puck."" is true because Many sports have playing gear."
IsA,food,Cereal is a breakfast [MASK].
IsA,neckwear,A tie is [MASK].
IsA,part,A border is an outer [MASK] or edge or a plain or decorative margin around printed matter.
IsA,friends,Quakers are [MASK].
IsA,tool,A nail punch is a type of [MASK].
IsA,food,"To understand the event ""Sally chopped the carrots."", it is important to know that Cutting [MASK] into smaller pieces with a knife is called chopping."
IsA,individual,Bob is an [MASK].
IsA,bird,Canary is domestic [MASK].
IsA,food,"Agriculture is the science and practice of cultivating of land, producing crops, and raising animals. It also refers to many associated processes or enterprises, such as [MASK] processing. No one knows precisely when humans first started a sustained, systematic practice of agriculture, but evidence has shown signs of agriculture in the Middle East and Mexico that date back to approximately 7000 BC. Some of the earliest cultivated crops included emmer wheat, wild barley, pumpkin, peas, and beans. The presence of larger scale, systematic cultivation often preceded or accompanied the rise of villages and cities and the formation of organized civilization. ."
IsA,State,Wisconsin is a [MASK].
IsA,acomplished,A success is something [MASK].
IsA,mammals,Dolphins are [MASK] without legs .
IsA,place,"Another way to say ""a [MASK] where people go to learn"" is ""a school""."
IsA,instruments,Pianos are the largest-sized of the commonly-played musical [MASK].
IsA,Muslim,Sunni is a kind of [MASK].
IsA,devices,Tools are [MASK] used to accomplish a task.
IsA,vessel,Boat is a type of water [MASK].
IsA,industrial,Power noize is a kind of [MASK].
IsA,country,The word soviet refers to the USSR which was once a [MASK] in the world.
IsA,noun,Box is a [MASK].
IsA,Animal,[MASK] has ostrich.
IsA,symptom,Hallucination is a kind of [MASK].
IsA,cells,Oligodendrocytes are [MASK] that produce the insulating myelin sheath.
IsA,paroxetine,Aropax is a kind of [MASK].
IsA,fruit,Cranberry is [MASK].
IsA,violen,A fiddle is a [MASK].
IsA,guitarist,A [MASK] is a kind of musician.
IsA,animal,Penguin is a [MASK].
IsA,person,A trainer is a kind of [MASK].
IsA,utility,Catching rainwater in large buckets or tanks is a good way to reduce your dependence upon the water [MASK] .
IsA,oxidizer,Oxygen is an [MASK].
IsA,scavengers,Vultures are [MASK].
IsA,company,"Miata is the name of a car manufactured by the [MASK],""Mazda""."
IsA,dog,A dingo is a wild [MASK] from australia.
IsA,best,Cereal is [MASK] eaten from a bowl.
IsA,chair,A comforter is a type of [MASK].
IsA,flower,A dragonsnap is a [MASK].
IsA,commie,Communist is a kind of [MASK].
IsA,bird,Owl is a type of night [MASK].
IsA,tradesman,A plumber is a type of [MASK].
IsA,hypothesis,A supposition is a [MASK].
IsA,activity,Barking is a kind of [MASK].
IsA,shape,Round is circle [MASK].
IsA,people,"Another way to say ""Some [MASK] do not believe in God"" is ""Atheists do not believe in God.""."
IsA,solid,A dodecahedron is a type of regular geometric [MASK].
IsA,unsimulatable,Experience is [MASK].
IsA,tools,Guns are [MASK] used to kill or maim.
IsA,carnivore,A mountain lion is a [MASK].
IsA,solid,A mineral is a [MASK].
IsA,superhero,Daredevil is a kind of [MASK].
IsA,widely,"The statement ""slavery is [MASK] understood to be wrong"" is true because demeans the slave and the owner."
IsA,instrument,Clarinet is [MASK].
IsA,thing,Pew is a type of sitting [MASK].
IsA,machines,X-ray [MASK] at airports are used to prevent bombs or weapons being taken on board planes.
IsA,abstraction,Information is a type of [MASK].
IsA,bills,Taxes are [MASK] which require payment.
IsA,fuel,Food provides [MASK] for a persons body.
IsA,cloth,Velvet is [MASK].
IsA,groundcover,Sedum is a [MASK].
IsA,singer,A contralto is a [MASK].
IsA,fish,Monchong is a [MASK].
IsA,car,"Pontiac is a brand of [MASK], so is Honda."
IsA,book,A classic is a [MASK] which people praise and don't read.
IsA,drug,Picture description: This is not a pipe.  It is a picture of a pipe.  This type of pipe is used as a [MASK] delivery system for nicotine.  .
IsA,food,Peanut butter is a [MASK].
IsA,hall,A hallway is a [MASK].
IsA,carniverous,Some plants are [MASK].
IsA,room,"The statement ""You are likely to find a showroom in an appliance store"" is true because A predesign, dedicated ""[MASK]"" is replicated in stores for comsumer information."
IsA,scaly,Lizards are [MASK].
IsA,fabric,Linen is a type of [MASK].
IsA,instrument,Harp is an [MASK].
IsA,ghost,Casper is a [MASK].
IsA,rope,A string is a [MASK].
IsA,solid,Bamboo is a [MASK].
IsA,dimethyltryptamine,DMT is [MASK].
IsA,fighting,Wrestling is a type of [MASK].
IsA,shoe,High-heeled pump is a kind of [MASK].
IsA,emotion,Regret is an [MASK].
IsA,canines,Wolves are [MASK].
IsA,not,Ear is [MASK] mouth.
IsA,person,"To understand the event ""Bob is dying."", it is important to know that a [MASK] is a living thing."
IsA,profession,Clerk is a kind of [MASK].
IsA,corporation,Sony is an international [MASK] that manufactures consumer electronics.
IsA,cartologists,Some people are [MASK].
IsA,aerobics,Dance is a type of [MASK].
IsA,shape,A trapezoid is a kind of [MASK].
IsA,spoiling,Curdling is [MASK].
IsA,word,"The [MASK] ""space"" has several different meanings.  One is the blank alphanumeric character.  Another is a distance between two physical objects.  Another is a mathematical abstraction.  Finally, ""space"" can denote the part of the universe, that is, most of it, which lies outside the Earth's atmosphere."
IsA,food,Pears are [MASK].
IsA,punishments,"The statement ""A court is something that passess sentences"" is true because courts interpret laws and decide on [MASK] for crimes."
IsA,connection,A t1 is a 1.5mb data [MASK] provided by telephone companies.
IsA,math,Geometry is a type of [MASK].
IsA,typically,General is [MASK] in wars.
IsA,bird,Kestrel is a [MASK].
IsA,country,Scottland is a [MASK].
IsA,building,A duplex is a [MASK] containing two houses.
IsA,murderer,A hitman is a type of [MASK].
IsA,emotion,One common [MASK] is surprise.
IsA,college,UNLV is a [MASK] that sometimes will win a game.
IsA,container,Tank is a kind of [MASK].
IsA,recreation,Surfing is a kind of [MASK].
IsA,object,A tool is an [MASK] which accomplishes a task.
IsA,media,"The statement ""Both are [MASK]."" helps answer the question ""What is a similarity between the television and a newspaper?""."
IsA,woking,Gordon is [MASK].
IsA,republic,Namibia is a [MASK].
IsA,game,Rugby is a [MASK] played on horseback.
IsA,bird,Tinamou is a [MASK].
IsA,source,A flashlight is a portable light [MASK].
IsA,bird,A rooter is a kind of [MASK].
IsA,arachnids,"Spiders, scorpions, and ticks are [MASK]."
IsA,bird,Lorikeet is a [MASK].
IsA,city,Nashua is a [MASK].
IsA,solids,Polyhedra are [MASK] made from polygons.
IsA,person,A governor is a [MASK].
IsA,physicist,Einstein was a [MASK].
IsA,college,Harvard is a [MASK].
IsA,University,"UCLA is an acronyn for ""[MASK] of California, Los Angeles""."
IsA,firemen,"To understand the event ""The [MASK] extinguished the fire."", it is important to know that Burning hurts people and objects."
IsA,chemist,Gina was a [MASK].
IsA,day,"To understand the event ""Barbara watered the plant on Tuesday."", it is important to know that Tuesday is the [MASK] after Monday."
IsA,stone,Emerald is a type of precious [MASK].
IsA,waitress,Jane is a [MASK].  She ran food to her table.
IsA,company,Lycos is a publically traded [MASK].
IsA,taking,"To understand the event ""Jeff stole a painting."", it is important to know that Stealing is [MASK] something without paying."
IsA,myths,Vampires are [MASK].
IsA,virus,Situation: The flu is a [MASK].
IsA,male,Grandmother is [MASK] grandfather.
IsA,event,A miracle is a [MASK] that is desirable but extremely improbable.
IsA,forever,"To understand the event ""Lisa and Bob are married.  Lisa and Bob made love."", it is important to know that is two people are married, they have promised to live and work together [MASK]."
IsA,crime,Stealing is a [MASK] and can result in a trial.
IsA,vegetable,Zucchini is a [MASK].
IsA,verb,To register is a [MASK] which designates the act of registration.
IsA,bird,Kite is a type of [MASK] too.
IsA,process,Puberty is a gradual [MASK] of sexual development.
IsA,science,Ecology is a kind of [MASK].
IsA,bird,Waxwing is a [MASK].
IsA,cod,Lutefisk is dried [MASK] steeped in lye.
IsA,cloths,Textiles are [MASK].
IsA,person,Guru1 is the name of a [MASK].
IsA,bird,"Picture description: This is a mallard duck. If you were a hunter, you'd want to shoot it. If you were a [MASK] watcher, you'd record where you saw it. If you were a hiker, you'd keep hiking along and maybe take it's picture."
IsA,food,Salmon and potato are both types of [MASK].
IsA,material,Styrofoam is a disposable packaging [MASK].
IsA,tool,Difference between a toy car and a hose: a hose is a kind of garden [MASK].
IsA,better,If you want to look [MASK] then you should not compare yourself with people in the magazines.
IsA,herb,Horsetail is a [MASK].
IsA,weekday,Friday is a [MASK].
IsA,food,"The story ""Comforting A Friend"" has the step ""We ate the warm [MASK] and wine together.""."
IsA,concept,"That sentence makes no sense. it should read, 'matter is part of the dualism that thinks it's a universe.' it refers to a philisophical [MASK]."
IsA,jerks,Some people are [MASK].
IsA,valuable,A fortune is something [MASK] that you have a lot of.
IsA,person,"To understand the event ""I beat the kid at chess in seven moves.  I was playing in a chess tournament."", it is important to know that by moves, the [MASK] means how many times he moved his pieces."
IsA,species,"Picture description: a variety of leaves, including ivy, oak, and a couple whose [MASK] I don't recognize."
IsA,wave,Noise is a type of [MASK].
IsA,decision,A resolution is a type of [MASK].
IsA,appliance,A television is a n electric [MASK].
IsA,copulation,Sex is [MASK].
IsA,music,Something that might happen as a consequence of going to a concert is experience [MASK] sounds .
IsA,number,5 is a higher [MASK] than 4.
IsA,medicine,You are likely to find an antibiotic in a [MASK] cabinet.
IsA,boat,Ark is zoo [MASK].
IsA,grass,Wheat is a [MASK] .
IsA,stone,Flint is a [MASK].
IsA,country,Camerun is a kind of [MASK].
IsA,prefix,Giga is a [MASK] for a billion.
IsA,eat,You can [MASK] clams at a seafood restaurant.
IsA,sound,Laughter is a type of happy [MASK].
IsA,plant,Verbena is a [MASK].
IsA,Fiction,[MASK] is narrative writing drawn from the imagination or the author rather than from history or fact.
IsA,animal,Bat is flying [MASK].
IsA,best,Bagpipes are [MASK] enjoyed from a distance.
IsA,tool,Pens is a kind of ...[MASK].
IsA,Cloth,[MASK] is for making curtains.
IsA,place,"To understand the event ""Jane taught a class on yoga."", it is important to know that The class might take [MASK] at a gym."
IsA,hazard,Bullying is a type of [MASK].
IsA,Things,"[MASK] that are often found together are: white shirts, men in suits, stick, girls wearing plaid skirts."
IsA,leader,The president is the [MASK] of the american government.
IsA,message,You can use a note to write a [MASK].
IsA,city,Edinburgh is a kind of [MASK].
IsA,bread,A roll is a kind of [MASK].
IsA,tower,"A obelisk is a tall, four-sided [MASK] topped with a pyramid."
IsA,person,A creator is a kind of [MASK].
IsA,yelloow,Lemons are [MASK].
IsA,country,Argentina is a [MASK].
IsA,fish,Pike and bass are types of [MASK].
IsA,neutralizer,An antidote is a [MASK].
IsA,meteoroid,A meteor is a [MASK] that has entered the earth's atmosphere.
IsA,area,"To understand the event ""Joe drove his car across the border."", it is important to know that To cross a border means leaving one esignated [MASK] for another, suchas crossing from state to state or into another country."
IsA,sensation,Prickly is a kind of [MASK].
IsA,perrenial,Hollyhock is a [MASK].
IsA,democrats,People can vote for [MASK].
IsA,pests,"To understand the event ""A cat stalked a mouse."", it is important to know that Mice are animals that are often considered to be [MASK]."
IsA,factory,Distillery is a kind of [MASK].
IsA,fun,The effect of playing soccer is having [MASK].
IsA,furniture,You are likely to find an armchair in [MASK] store.
IsA,snakehandlers,Some Christians are [MASK] .
IsA,state,The Michigan [MASK] tree is the white pine.
IsA,gem,A bloodstone is a [MASK].
IsA,holiday,Oktoberfest is a [MASK].
IsA,game,"The story ""Playing Tennis"" has the step ""I remembered something about a [MASK] with rackets and balls.""."
IsA,thing,A grenade is a [MASK].
IsA,invertebrate,"An octopus is an [MASK],."
IsA,workplace,A laboratory is a [MASK] .
IsA,humans,Americans are [MASK].
IsA,fight,If you want to [MASK] war then you should attack.
IsA,alcohol,Gin is [MASK] kind.
IsA,shoes,Clogs are [MASK] made of wood.
IsA,bird,Sapsucker is a [MASK].
IsA,plants,Onions is a kind of [MASK].
IsA,lament,An elegy may [MASK] the end of something.
IsA,clothing,"To understand the event ""Anne washed the laundry."", it is important to know that The [MASK] will get wet. ."
IsA,Sheepskin,[MASK] is animal skin.
IsA,mammals,Pigs are hoofed [MASK] that oink.
IsA,beating,Situation: Music can cause the stimulus to still my [MASK] heart.
IsA,transport,A tricycle is a kind of [MASK].
IsA,Fish,[MASK] is carp flounder.
IsA,cooking,Barbecue is a method of [MASK].
IsA,object,Projectile is [MASK] thrown.
IsA,cute,Kittens are [MASK] and innocent.
IsA,animal,A centipede is a [MASK].
IsA,amphibians,Salmanders are [MASK].
IsA,Number,[MASK] is a kind of three four.
IsA,recycleable,Plastic is [MASK].
IsA,dimensionless,A point is [MASK].
IsA,gazelles,Impala are [MASK].
IsA,island,"The statement ""Japan is an [MASK]."" is true because becauses it is surrounded by water."
IsA,swordfish,Shutome is a type of [MASK].
IsA,state,Popularity is a [MASK] influenced by opinion.
IsA,bicycle,If you want to ride a [MASK] then you should wear a helmet and get on the bike.
IsA,plant,Osteospermum is  a [MASK].
IsA,medium,Video is a storytelling [MASK].
IsA,animals,Ants are [MASK].
IsA,solution,Bankruptcy is a [MASK].
IsA,animals,"To understand the event ""Dave shot a duck."", it is important to know that Ducks are [MASK]."
IsA,Bear,[MASK] is grizzly polar.
IsA,cat,Persian is one variety of [MASK].
IsA,janitors,Some people are [MASK].
IsA,tool,A ladder is a [MASK].
IsA,gun,A glock is a type of [MASK].
IsA,word,Care is a [MASK].
IsA,exercise,You would play sport because you want to get physical [MASK].
IsA,strand,A hair is a long thin [MASK] that grows out of an animal's skin.
IsA,organisation,Scouts is a kind of [MASK].
IsA,virus,Antrax is a [MASK].
IsA,communication,Mail is a type of [MASK].
IsA,pet,A poodle is a [MASK].
IsA,sport,"People can play tennis, which is a [MASK]."
IsA,sickness,A cold is a [MASK].
IsA,present,"To understand the event ""Christmas is next week.  Jim bought Sarah a Christmas [MASK]."", it is important to know that Sarah probably enjoyed getting a gift."
IsA,fabric,Denim is a [MASK].
IsA,arbatrary,Time is [MASK].
IsA,area,An arena is an [MASK] that is set aside.
IsA,Shape,[MASK] is a type of triangle.
IsA,show,You can use a theatre to [MASK] a cartoon.
IsA,Freeway,Autobahn is a kind of [MASK].
IsA,object,A bomb is an [MASK] designed to explode.
IsA,entertainment,"The fact ""You are likely to find a theatre in a city"" is illustrated with the story:1. Cosmopolitan people enjoy going to the theatre.2. It is a popular evening [MASK].3. Afternoon shows, called matinees, are usually cheaper."
IsA,books,Dictionaries are [MASK] that tell the meanings of lots of words.
IsA,monster,Werewolf is a type of [MASK].
IsA,trousers,Baggies are [MASK] that hang loosely.
IsA,representation,Picture description: An abstract (and inaccurate) graphic [MASK] of written music.
IsA,home,"In the event ""Cory is a construction worker.  Cory built a house."", something that changed was now a new family will have a [MASK]."
IsA,thief,A politician is a [MASK].
IsA,prokaryotes,Bacteria and Archaea are [MASK].
IsA,archipelago,Indonesia is an [MASK].
IsA,pattern,Paisley is a [MASK].
IsA,not,Plastics are [MASK] found in nature.
IsA,light,Twilight is [MASK] from the sky when the sun is below the horizon.
IsA,CEO,Starnes is a [MASK].
IsA,hue,A tone is a [MASK] mixed with its compliment.
IsA,craft,Sewing is a [MASK].
IsA,doctor,An opthamologist is a kind of [MASK].
IsA,filter,The liver is a [MASK].
IsA,splippery,Ice is [MASK].
IsA,act,A ritual is an [MASK] that is systematically repeated.
IsA,bird,A goose is a kind of [MASK].
IsA,word,Snore is a [MASK].
IsA,Linux,Ubuntu is a type of [MASK].
IsA,Music,[MASK] is related to country rap.
IsA,medication,An expectorant is a type of [MASK].
IsA,place,A basement is a good [MASK] to be when a tornado hits town.
IsA,console,Wii is a kind of [MASK].
IsA,fabric,Burlap is a type of [MASK].
IsA,ax,A hatchet is a [MASK] with a short handle.
IsA,clergyman,Minister is a type of [MASK].
IsA,violence,Attack is a type of [MASK].
IsA,mystery,Time is a [MASK].
IsA,murderer,"To understand the event ""Gina is a [MASK]."", it is important to know that people are scared of murderers."
IsA,colour,Cobalt is a [MASK].
IsA,bore,Life is a [MASK].
IsA,quark,Top is a type of [MASK].
IsA,blanket,A comforter is like a fluffy [MASK].
IsA,people,Customers are [MASK].
IsA,name,A filename is a [MASK] uniquely identifying a computer file.
IsA,journey,Life is a [MASK].
IsA,vegetable,Pickle is a type of preserved [MASK].
IsA,products,Books are [MASK].
IsA,cancer,"Internal exposure to manmade radioactive substances, causes childhood [MASK] and leukaemia."
IsA,substance,"The statement ""Tar is a [MASK] used in roofing"" helps answer the question ""When appearance is not a primary concern, a ""."
IsA,Organization,[MASK] is a type of firm.
IsA,dictatorship,China is a kind of [MASK].
IsA,transfer,A paycheck is a [MASK].
IsA,medicine,"To understand the event ""I have a headache.  I took some aspirin."", it is important to know that headaches can be treated with [MASK]."
IsA,thing,A pager is a [MASK] that lets you call someone.
IsA,state,Georgia is a [MASK] in the south.
IsA,color,Orange is the second [MASK] in the rainbow.
IsA,seafood,Fish is [MASK].
IsA,soil,"To understand the event ""Dust settled on the shelf."", it is important to know that dust are small particles of [MASK] & sand floating in the air."
IsA,carnivore,A cheetah is a [MASK].
IsA,condiment,Sause is a [MASK] served at dinners.
IsA,American,"Southern [MASK] dialect differs from Texan dialect.  Both, however, are speaking English."
IsA,way,"To understand the event ""Skylar was going to ask Aretha on a date.  Skylar got very nervous and started sweating."", it is important to know that skylar was unsure that aretha felt the same [MASK]."
IsA,monopolist,"Microsoft is a [MASK], which is a BAD thing."
IsA,animal,Tiger is vicious [MASK].
IsA,pills,Aspirin are [MASK] that come in a jar.
IsA,art,"Another way to say ""Poetry is an [MASK]."" is ""the soulful and compelling arrangement of words can be uplifting""."
IsA,name,A lab is a [MASK].
IsA,emotion,Joy is a type of [MASK].
IsA,cat,Neko is the Japanese word for [MASK].
IsA,dog,A beagle is a type of [MASK].
IsA,TV,"The statement ""watching a television show is for seeing what your child is watching."" is true because many parents monitor their childrens [MASK] watching in order to observe how it affects the childs behaviour."
IsA,agent,"The statement ""Something you need to do before you have a checkup is check with your insurance [MASK] to see if a checkup is covered by the insurance policy"" is true because because a checkup costs money."
IsA,joke,My life is a [MASK].
IsA,chalcogen,Sulphur is a [MASK].
IsA,food,"The statement ""Lettuce is a leafy vegetable that is good in salads"" is true because Salads are [MASK] that is usually made of lots of vegetables."
IsA,painkiller,Ibuprofen is a kind of [MASK].
IsA,garment,A raincoat is a [MASK] which sheds water.
IsA,concept,Science begs you to prove it wrong--that's the whole [MASK]--whereas religion condemns you if you try to prove it wrong.
IsA,thinker,Plato was a [MASK].
IsA,musician,A vocalist is a kind of [MASK].
IsA,phenomenon,The prodigy was a [MASK].
IsA,mineral,Talc is a [MASK].
IsA,hairdressers,A hair salon has [MASK] that style and cut people's hair.
IsA,animal,"The statement ""You are likely to find a marmot in the forest"" is true because Many types of [MASK] and plant life can be found in forests."
IsA,Literature,[MASK] is printed in books.
IsA,appliance,A microwave is an [MASK].
IsA,fruit,Squash is a [MASK] that is used as a vegetable.
IsA,Talisman,Cat is a kind of [MASK].
IsA,coins,Small [MASK] in a piggy bank can amount to a lot of money over time.
IsA,lonley,A person doesn't want to be [MASK].
IsA,boss,"To understand the event ""The supervisor flew into a rage.  His face went red, and he grimaced."", it is important to know that Someone is one of his [MASK]."
IsA,clothing,Underwear is a kind of [MASK].
IsA,Statue,[MASK] is marble bust.
IsA,material,"The fact ""Something you find on a roof is fallen leaves."" is illustrated with the story:1. Leaves that fall off the trees around your house usually wind up in the gutters along the edge of your roof.2. You must climb a ladder and flush and pick them out by hand.3. If you want to spend alot of money you could have leaf guards installed over your gutters.4. Plugged up gutters cause ice to form under your roofing [MASK] in the wintertime.5. It can also cause water to seep into your basement and weaken your foundation."
IsA,place,Maine is a [MASK].
IsA,microorganisms,Germs are [MASK] that harm their hosts.
IsA,grocery,You go to the [MASK] store to buy food.
IsA,animal,"To understand the event ""A spider crawled on me."", it is important to know that An insect is an [MASK]."
IsA,animal,You are likely to find a marmoset in a wild [MASK] park.
IsA,flatbread,Focaccia is a type of [MASK].
IsA,hard,A rock is [MASK].
IsA,politicians,Some [MASK] are puppets.
IsA,Picture,[MASK] description: A cartoon drawing of a man playing a saxaphone.
IsA,joint,A hip is a kind of [MASK].
IsA,animal,An emu is an [MASK].
IsA,herbivores,Giraffes are [MASK].
IsA,canine,Dog is a kind of [MASK].
IsA,institutions,Banks are [MASK] that hold money for their clients.
IsA,Paganism,Asatru is a kind of [MASK].
IsA,pet,A retriever is a type of [MASK].
IsA,limbs,Fingers are [MASK].
IsA,vocation,Medicine is a [MASK].
IsA,Neckwear,[MASK] is a garment worn about the neck like a boa or scarf or necktie.
IsA,porphyrins,Chlorophylls are [MASK] based upon magnesium.
IsA,figure,A oval is a egg-shaped [MASK].
IsA,deities,Orishas are the [MASK] that govern specific elements of nature.
IsA,bird,Cowbird is a [MASK].
IsA,machine,A toaster is a [MASK].
IsA,animal,Fox is a type of furry [MASK].
IsA,chemicals,Minerals are [MASK].
IsA,watch,A rolodex is a [MASK].
IsA,read,An activity someone can do is [MASK] a novel .
IsA,food,"To understand the event ""Bob planted some tomatoes in his garden."", it is important to know that Tomatoes are vegetables used for [MASK]."
IsA,structure,Grammar is a kind of [MASK].
IsA,not,Feelings are [MASK] based on reason.
IsA,instrument,"Another way to say ""an [MASK] used to weigh items"" is ""a scale""."
IsA,vegetable,Beet is red [MASK].
IsA,delusional,A terrorist is [MASK].
IsA,airplane,Jumbojet is a kind of [MASK].
IsA,artists,Some humans are [MASK].
IsA,not,Forests are [MASK] found in cities.
IsA,singer,Madonna is a kind of [MASK].
IsA,person,A banker is a [MASK] who works in a bank.
IsA,prokaryotes,Bacteria and Archaea are [MASK].
IsA,company,IBM is the intials of the [MASK] International Business Machines.
IsA,snakes,Pythons are [MASK].
IsA,chemical,Base is a kind of [MASK].
IsA,annuals,Impatiens are [MASK].
IsA,imagination,You would tell a story because you want you need to share your experiences and [MASK] with the rest of the world.
IsA,debris,Lint is [MASK] found on fabrics.
IsA,number,Twenty is a [MASK].
IsA,equeal,Everybody is [MASK].
IsA,fairy,Tinkerbell is a [MASK].
IsA,rad,Horses are [MASK].
IsA,tradesman,A cabinetmaker is a type of [MASK].
IsA,containers,Bags are [MASK].
IsA,animal,Crab is [MASK].
IsA,acronym,"CAD/CAM is the [MASK] or abbreviation for Computer-Aided Design and Computer-Aided Manufacturing;  it typically is an adjective describing software and hardward used to design things, and improve manufacturing operations by using computer design tools."
IsA,savoury,Marmite is [MASK].
IsA,hypocrites,A human is a kind of [MASK].
IsA,commonly,Crumbs are [MASK] eaten by pigeons.
IsA,drink,A person would not normally [MASK] champagne in a library.
IsA,liars,MozillaQuest are [MASK].
IsA,weapon,A handgun is a dangerous [MASK].
IsA,car,"To understand the event ""Sally drove her daughter to the mall."", it is important to know that sally perhaps drove a sedan [MASK]."
IsA,word,Cab is another [MASK] for taxi.
IsA,perennials,Trees are [MASK].
IsA,helical,A coil has a [MASK] shape.
IsA,celebrities,People who mention [MASK] to AI programs are idiots.
IsA,boardgame,Go is a [MASK].
IsA,animal,A rhinoceros is a huge [MASK] that has one or two horn-like spikes on its head.
IsA,country,Situation: norway is a [MASK].
IsA,symbols,Runes are [MASK] used in early alphbets.
IsA,organ,Skeleton is a kind of [MASK].
IsA,aircraft,Bombers are [MASK] that drop explosive devices called bombs.
IsA,animal,"The statement ""The common house fly is a small, flying insect"" helps answer the question ""Are are all [MASK] in a house mammals?""."
IsA,vegetables,"Another way to say ""Cucumbers are [MASK]."" is ""one variety of vegetable is a cucumber""."
IsA,conductor,Gold is a [MASK].
IsA,vegetables,Parsnips are [MASK].
IsA,emotion,Saddness is an [MASK].
IsA,boundary,Wall is a type of [MASK].
IsA,gland,Some people suffer from disorders of the pituitary [MASK].
IsA,Cocaine,[MASK] is part of PIJA Y MERCA.
IsA,qualities,Attributes are [MASK].
IsA,woodland,A taiga is a cold [MASK] or forest with evergreen trees.
IsA,tool,"Another way to say ""Computers are powerful tools."" is ""One powerful [MASK] is the machine called a computer.""."
IsA,calculators,Some people are [MASK].
IsA,company,Ericsson is a Swedish [MASK].
IsA,jacket,A hoodie is a kind of [MASK].
IsA,mammals,Goats are [MASK].
IsA,person,A vintner is a kind of [MASK].
IsA,country,Sweden is a [MASK].
IsA,belief,Bigotry is a type of [MASK].
IsA,robber,John is [MASK]. He robbed a bank. He is reach. .
IsA,machine,A refrigerator is a [MASK] that keeps food cold.
IsA,metal,Kinds of [MASK] : titanium.
IsA,plant,Calibrachoa is a [MASK].
IsA,season,"To understand the event ""The apple fell from the tree."", it is important to know that The [MASK] was either late summer or fall."
IsA,storm,"To understand the event ""During the thunderstorm lightning struck Pat's house."", it is important to know that people stay inside the house during a [MASK]."
IsA,meat,Some people can believe that eating [MASK] like hamburgers is bad for you.
IsA,year,"To understand the event ""John's birthday is coming soon.  John would like to have a birthday party."", it is important to know that a birthday comes the same day every [MASK]."
IsA,songwriter,Madonna is a [MASK].
IsA,Homicide,[MASK] is used for murder.
IsA,human,Spiderman is a kind of [MASK].
IsA,condiment,Not all cultures or countries use ketchup as a [MASK] for food.
IsA,car,An estate is a type of [MASK].
IsA,vehicle,Van is a type of truck [MASK].
IsA,workout,You could watch an aerobics [MASK] video.
IsA,animals,Sheep is [MASK].
IsA,cartoon,Anime is a kind of [MASK].
IsA,Jew,Jesus was a [MASK].
IsA,state,Vermont is a [MASK] in the United States of America.
IsA,monarchy,England is a [MASK].
IsA,aphrodisiac,Love is an [MASK].
IsA,game,A stick is used to play a [MASK] called hockey.
IsA,bears,Ursines are [MASK].
IsA,short,A nap is a [MASK] sleep during the day.
IsA,equines,Zebras are [MASK].
IsA,sense,Eating in a fast food restaurant is for When you have no [MASK] of taste.
IsA,Person,[MASK] wants jesus.
IsA,item,A car is an [MASK] that needs to be replaced occasionally.
IsA,fastener,A latch is a kind of [MASK].
IsA,normally,"To understand the event ""Jill sent a letter to her mother."", it is important to know that child and mother [MASK] keep contact."
IsA,alias,Fionacat is an [MASK].
IsA,noise,Cheering is a [MASK].
IsA,state,Wyoming is a [MASK].
IsA,insects,Adult cicadas tend to be large [MASK] .
IsA,containers,Rooms are [MASK].
IsA,backcloth,A backdrop is a [MASK].
IsA,instrument,A guitare is an [MASK].
